label,order,name,list name
anticline,0,anticline,wg6ry31
syncline,1,syncline,wg6ry31
monocline,2,monocline,wg6ry31
antiform,3,antiform,wg6ry31
synform,4,synform,wg6ry31
s-fold,5,s_fold,wg6ry31
z-fold,6,z_fold,wg6ry31
m-fold,7,m_fold,wg6ry31
sheath,,sheath,wg6ry31
single-layer buckle,,single_layer_b,wg6ry31
ptygmatic,,ptygmatic,wg6ry31
crenulation,,crenulation,wg6ry31
interfolial,,interfolial,wg6ry31
other,,other,wg6ry31
chevron,0,chevron,fa6tb91
cuspate,1,cuspate,fa6tb91
circular,2,circular,fa6tb91
elliptical,3,elliptical,fa6tb91
upright,0,upright,iq4bx64
overturned,1,overturned,iq4bx64
vertical,2,vertical,iq4bx64
horizontal,3,horizontal,iq4bx64
recumbent,4,recumbent,iq4bx64
inclined,5,inclined,iq4bx64
gentle   (180º –120º),,gentle,ao3ks66
open   (120º–70º),,open,ao3ks66
close   (70º–30º),,close,ao3ks66
tight   (30º–10º),,tight,ao3ks66
isoclinal   (10º–0º),,isoclinal,ao3ks66
North,1,north,iu9ug45
NE,3,ne,iu9ug45
East,5,east,iu9ug45
SE,7,se,iu9ug45
South,9,south,iu9ug45
SW,11,sw,iu9ug45
West,13,west,iu9ug45
NW,15,nw,iu9ug45
accurate,,accurate,gl2mf38
approximate,,approximate,gl2mf38
irregular,,irregular,gl2mf38
axial planar,,axial_planar,xi7el52
fanning-convergent,,fanning_conver,xi7el52
fanning-divergent,,fanning_diverg,xi7el52
transected,,transected,xi7el52
unidirectional,,unidirectional,hm3vv92
bidirectional,,bidirectional,hm3vv92
symmetrical,,symmetrical,cf1so76
asymmetrical,,asymmetrical,cf1so76
N side up,0,n_side_up,ia36i83
NE side up,1,ne_side_up,ia36i83
E side up,2,e_side_up,ia36i83
SE side up,3,se_side_up,ia36i83
S side up,4,s_side_up,ia36i83
SW side up,5,sw_side_up,ia36i83
W side up,6,w_side_up,ia36i83
NW side up,7,nw_side_up,ia36i83
top to N,8,top_to_n,ia36i83
top to NE,9,top_to_ne,ia36i83
top to E,10,top_to_e,ia36i83
top to SE,11,top_to_se,ia36i83
top to S,12,top_to_s,ia36i83
top to SW,13,top_to_sw,ia36i83
top to W,14,top_to_w,ia36i83
top to NW,15,top_to_nw,ia36i83
right-lateral,16,right_lateral,ia36i83
left-lateral,17,left_lateral,ia36i83
other,,other,ia36i83
5 - best - accurate,0,5,ex15z66
4,1,4,ex15z66
3 - approximate,2,3,ex15z66
2,3,2,ex15z66
1 - poor - irregular - uncertain,4,1,ex15z66
S tectonite,1,s_tectonite,su3eo23
SL tectonite,2,sl_tectonite,su3eo23
LS tectonite,3,ls_tectonite,su3eo23
L tectonite,4,l_tectonite,su3eo23
S only,,s_only,yd4gc48
S >> L,,s___l,yd4gc48
S > L,,s___l_1,yd4gc48
S = L,,s___l_2,yd4gc48
L > S,,l___s,yd4gc48
L >> S,,l___s_1,yd4gc48
L only,,l_only,yd4gc48
unidirectional,,unidirectional,jl7aw25
bidirectional,,bidirectional,jl7aw25
symmetrical,,symmetrical,tl3qt96
asymmetrical,,asymmetrical,tl3qt96
finite strain,,finite_strain,za4pc84
shape preferred orientation,,shape_preferred_orientation,za4pc84
anisotropy of magnetic suspectibility,,anisotropy_of_magnetic_suspect,za4pc84
stress,,stress,za4pc84
infinitesimal strain,,infinitesimal_strain,za4pc84
other,,other,za4pc84
5 - best,,5___best,zz1pg14
4,,4,zz1pg14
3,,3,zz1pg14
2,,2,zz1pg14
1 - worst,,1___worst,zz1pg14
Flow Apophyses,,flow_apophyses,ub43c80
Displacements,,displacements,ub43c80
Other,,other,ub43c80
finite strain,,finite_strain,rj1ox37
preferred shape orientation,,preferred_shap,rj1ox37
other,,other,rj1ox37
accurate,,accurate,sq9gr31
approximate,,approximate,sq9gr31
irregular,,irregular,sq9gr31
