list_name,name,label
sv2ru77,tectonite,tectonite
sv2ru77,igneous_migmat,igneous/migmatite
sv2ru77,soft_sediment_,soft sediment deformation
sv2ru77,other_fabric,other fabric
tectonite_type_ny4wm6D8TYk_,s_tectonite,S tectonite
tectonite_type_ny4wm6D8TYk_,sl_tectonite,SL tectonite
tectonite_type_ny4wm6D8TYk_,ls_tectonite,LS tectonite
tectonite_type_ny4wm6D8TYk_,l_tectonite,L tectonite
tectonite_character_gSrbYXndbvA_,s_only,S only
tectonite_character_gSrbYXndbvA_,s___l,S >> L
tectonite_character_gSrbYXndbvA_,s___l_1,S > L
tectonite_character_gSrbYXndbvA_,s___l_2,S = L
tectonite_character_gSrbYXndbvA_,l___s,L > S
tectonite_character_gSrbYXndbvA_,l___s_1,L >> S
tectonite_character_gSrbYXndbvA_,l_only,L only
