type,name,label,hint,required,appearance,relevant,calculation,$given_name
start,start,,,,,,,
end,end,,,,,,,
text,label,Label,If a label is not specified a default label will be given.,false,,,,,,
select_one ej9ja31,inco_nofol,"Incohesive, non-foliated fabric",,false,horizontal-compact,,,
text,inco_nofo_char,Characterize fabric,,false,multiline,${inco_nofol} != '' and ${inco_nofol} != 'other',,
text,oth_inco_nofol,"Other incohesive, non-foliated fabric characterization",,false,multiline,${inco_nofol} = 'other',,
select_one hn4ya89,inco_fol,"Incohesive, foliated fabric",,false,horizontal-compact,,,
text,inco_fo_char,Characterize fabric,,false,multiline,${inco_fol} != '' and ${inco_fol} != 'other_incoh_fo',,
text,other_inco_fol,"Other incohesive, foliated fabric characterization",,false,multiline,${inco_fol} = 'other_incoh_fo',,
select_one dt8ce19,co_nofol,"Cohesive, non-foliated fabric",,false,horizontal-compact,,,
text,co_nofo_char,Characterize fabric,,false,multiline,${co_nofol} != '' and ${co_nofol} != 'other',,
text,other_rand_choes,"Other cohesive, non-foliated fabric characterization",,false,multiline,${co_nofol} = 'other',,
select_one oo1yw77,co_fol,"Cohesive, foliated fabric",,false,horizontal-compact,,,
text,co_fo_char,Characterize fabric,,false,multiline,${co_fol} != 'other' and ${co_fol} != '',,
text,other_fol_cohes,"Other cohesive, foliated fabric characterization",,false,multiline,${co_fol} = 'other',,
select_one au84l98,tectonite_type,Tectonite classification,,false,horizontal-compact,,,
text,other_char_tec,Other tectonite characterization,Describe the tectonite,false,multiline,${tectonite_type} = 'other',,
select_multiple lg33p50,structural_fabric,Additional fabric(s),,false,horizontal-compact,,,
text,char_fold,Characterize folding,,false,multiline,"selected(${structural_fabric}, 'folding')",,
text,char_frac,Characterize fractures,,false,multiline,"selected(${structural_fabric}, 'fractures')",,
select_one zb5mg25,boudin_type,Type of boudin,,false,,"selected(${structural_fabric}, 'boudinage')",,
text,oth_boud_char,Characterize other boudin,,false,multiline,${boudin_type} = 'other_boudin',,
text,comp_band_min,Mineral(s) that define compositional banding,,false,multiline,"selected(${structural_fabric}, 'comp_banding')",,
text,comp_min_align,Mineral(s) that are aligned,,false,multiline,"selected(${structural_fabric}, 'mineral_alignm')",,
text,schist_min,Mineral(s) that define schistosity,,false,multiline,"selected(${structural_fabric}, 'schistosity')",,
select_one hd2ex57,cleavage_char,Characterize cleavage,,false,horizontal-compact,"selected(${structural_fabric}, 'cleavage')",,
text,other_clvg_char,Other cleavage characterization,,false,multiline,${cleavage_char} = 'other_clvg',,
text,char_scaly_fab,Characterize scaly fabric,,false,multiline,"selected(${structural_fabric}, 'scaly_fabric')",,
text,char_stylo,Characterize stylolite,,false,multiline,"selected(${structural_fabric}, 'stylolite')",,
text,alter_zone_char,Describe the alteration zone,Spatial variability and extent? Thickness? Appearance?,false,multiline,"selected(${structural_fabric}, 'alter_zone')",,
text,alter_zone_min,Mineral(s) that define alteration zone,Add minerals in the alteration zone,false,multiline,"selected(${structural_fabric}, 'alter_zone')",,
text,other_str_fab,Other characterization,,false,multiline,"selected(${structural_fabric}, 'other')",,
select_multiple mm2ld90,spatial_config,Spatial configuration,,false,horizontal-compact,,,
