type,name,label,hint,required,appearance,relevant,calculation,$given_name
start,start,,,,,,,
end,end,,,,,,,
text,label,Label,If a label is not specified a default label will be given.,false,,,,
select_one bt7xf34,grain_size,Grain size,,false,horizontal-compact,,,
text,specify,Specify grain size distribution,Describe the grain size distribution,false,multiline,${grain_size} = 'other' or ${grain_size} = 'bimodal',,
select_multiple cs2ki85,planar_fabric,Planar fabric(s),,false,horizontal-compact,,,
select_one mj2eg99,cleavage,Cleavage,Describe cleavage type:,false,horizontal-compact,"selected(${planar_fabric}, 'cleavage')",,
text,clvg_char,Characterize the cleavage,,false,multiline,${cleavage} = 'other_clvg',,
text,other_planar,Other characterization,Characterize the planar fabric,false,multiline,"selected(${planar_fabric}, 'other_planar')",,
text,plan_fab_min_1,Mineral(s) that define planar fabric,,false,numbers,"not(selected(${planar_fabric}, 'no_planar')) and ${planar_fabric} != ''",,
text,plan_fab_min_2,Mineral(s) that define planar fabric,,false,numbers,"not(selected(${planar_fabric}, 'no_planar')) and ${planar_fabric} != ''",,
text,plan_fab_min_3,Mineral(s) that define planar fabric,,false,numbers,"not(selected(${planar_fabric}, 'no_planar')) and ${planar_fabric} != ''",,
text,plan_fab_min_4,Mineral(s) that define planar fabric,,false,numbers,"not(selected(${planar_fabric}, 'no_planar')) and ${planar_fabric} != ''",,
select_one jw6do33,spatial_var,Spatial variability,,false,horizontal-compact,"not(selected(${planar_fabric}, 'no_planar')) and ${planar_fabric} != ''",,
text,length_scale,Length scale?,What is the length scale of spacing?,false,multiline,${spatial_var} = 'spaced' or ${spatial_var} = 'domainal',,
select_multiple sv9wq27,linear_fab,Linear fabric(s),,false,horizontal-compact,,,
text,other_char_lin,Other characterization,Characterize the linear fabric,false,multiline,"selected(${linear_fab}, 'other_lin')",,
text,int_lin_char,Intersection lineation characterization,e.g. what intersecting planes define the lineation,false,multiline,"selected(${linear_fab}, 'intersect_lin')",,
text,lin_fab_min_1,Mineral(s) that define the linear fabric,,false,,"not(selected(${linear_fab}, 'no_lin')) and ${linear_fab} != '' and not(selected(${linear_fab}, 'intersect_lin'))",,
text,lin_fab_min_2,Mineral(s) that define the linear fabric,,false,,"not(selected(${linear_fab}, 'no_lin')) and ${linear_fab} != '' and not(selected(${linear_fab}, 'intersect_lin'))",,
text,lin_fab_min_3,Mineral(s) that define the linear fabric,,false,,"not(selected(${linear_fab}, 'no_lin')) and ${linear_fab} != '' and not(selected(${linear_fab}, 'intersect_lin'))",,
text,lin_fab_min_4,Mineral(s) that define the linear fabric,,false,,"not(selected(${linear_fab}, 'no_lin')) and ${linear_fab} != '' and not(selected(${linear_fab}, 'intersect_lin'))",,
select_multiple ps78s13,other_met_fab,Other metamorphic fabric(s)?,,false,horizontal-compact,,,
text,metasomatic,Characterize metasomatic fabric,"E.g. mineralogy, reactions, spatial extent",false,multiline,"selected(${other_met_fab}, 'metasom')",,
text,migmatitic,Characterize migmatitic fabric,"E.g. mineralogy of leucosome and melanosome, diatexite vs. metatexite, etc.",false,multiline,"selected(${other_met_fab}, 'migmatite')",,
