type,name,label,hint,required,relevant,constraint,appearance,constraint_message,calculation
start,start,,,,,,,,
end,end,,,,,,,,
begin_group,group_image_data,Image Data,,,,,,,
text,title,Image Name,,false,,,,,
select_one cs3xd00,image_type,Image Type,,true,,,,,
text,other_image_type,Other Image Type,,true,${image_type} = 'other_image_ty',. != '',,,
select_one fx9ay49,micrograph_image_type,Micrograph Image Type,,true,${image_type} = 'micrograph',,,,
text,other_micrograph_image_type,Other Micrograph Image Type,,false,${micrograph_image_type} = 'other',. =  '',,,
select_one oc3xw76,type_of_light,Type of Light,,false,${micrograph_image_type} = 'light',,,,
select_one gx5mp47,polarizer,Polarizer,,false,${micrograph_image_type} = 'light',,,,
select_one xc4hd43,plates,Plates,,false,${micrograph_image_type} = 'light',,,,
text,caption,Image Description,,false,,,multiline,,
text,image_source,Image Source,,false,,,,,
text,scale_of_image,Scale of Overall Image,,false,,,,,
text,scale_of_object,Scale and type of object in image (m),,false,,,,,
decimal,width_of_image_view,Width of Image View,Enables Scalebar,false,,. > 0,,Value must be greater than 0.,
select_one vt86z05,units_of_image_view,Units of Image View,,true,${width_of_image_view} != '',,,,
select_one bn1hn18,image_subject,Image Subject,,false,,,,,
text,other_image_subject,Other Image Subject,,false,${image_subject} = 'other',,,,
begin_group,group_camera_orientation,Camera Orientation,,,,,,,
integer,view_azimuth_trend,View azimuth (trend),,false,,. >= 0 and . <= 360,,Value must be a whole number between 0-360.,
integer,view_angle_plunge,View angle (plunge),,false,,. >= -90 and . <= 90,,Value must be a whole number between -90 (down) and +90 (up).,
text,orientation_of_view_subject,Orientation of View Subject,"e.g., facing direction of cliff face",false,,,,,
end_group,,,,,,,,,
end_group,,,,,,,,,
calculate,__version__,,,,,,,,'vLZrVLixru4PA3oZetLSgQ'
