type,name,label,hint,required,constraint_message,constraint,relevant,default,appearance,calculation
start,start,,,,,,,,,
end,end,,,,,,,,,
text,label,Label,If a label is not specified a default label will be given.,false,,,,,,
integer,trend,Trend,Azimuth in degrees,false,Value must be a whole number between 0-360.,. >= 0 and . <= 360,,,,
integer,plunge,Plunge,,false,Value must be a whole number between 0-90.,. >= 0 and . <= 90,,,,
integer,rake,Rake,down dip angle from strike on plane (0-180)?,false,Value must be a whole number between 0-180.,. >= 0 and . <= 180,,,,
select_one hq7tk98,rake_calculated,Rake Calculated?,,false,,,${rake} != '',no,,
select_one ex15z66,quality,Linear Measurement Quality,Quality of linear feature or of measurement,false,,,,,likert,
select_one wa7uq58,feature_type,Linear Feature Type,"Specific lineation type: e.g., striation, groove mark, intersection, fold hinge, alignment, many others",false,,,,,horizontal,
text,other_feature,Other Linear Feature,,true,,,${feature_type} = 'other',,,
text,defined_by,Lineation Defined by,,false,,,,,,
select_one ip7ah36,vorticity,Vorticity Type,Clockwise or counterclockwise looking down plunge,true,,,${feature_type} = 'vorticity_axis',,,
text,notes,Line Notes,,false,,,,,multiline,
calculate,__version__,,,,,,,,,'vmKCTo8owwfCY9nKw4j89Y'
