type,name,label,required,relevant,calculation
start,start,,,,
end,end,,,,
text,apparatus_name,Apparatus Name,false,,
select_one ee8xd16,assembly,Assembly,false,,
text,gas_specify,Gas-Specify,false,${assembly} = 'gas',
text,solid_specify,Solid-Specify,false,${assembly} = 'solid',
text,liquid_specify,Liquid-Specify,false,${assembly} = 'liquid',
text,other_specify,Other-Specify,false,${assembly} = 'other',
text,apparatus_stiffness,Apparatus Stiffness,false,,
select_multiple hc9iu03,types_of_devices_transducers,Types of Devices/Transducers,false,,
text,strain_gauge_calibration,Strain Gauge Calibration,false,"selected(${types_of_devices_transducers}, 'strain_gauge')",
text,piezoelectric_calibration,Piezoelectric Calibration,false,"selected(${types_of_devices_transducers}, 'piezoelectric')",
text,lvdt_calibration,LVDT Calibration,false,"selected(${types_of_devices_transducers}, 'lvdt')",
text,dcdt_calibration,DCDT Calibration,false,"selected(${types_of_devices_transducers}, 'dcdt')",
text,temperature_gauge_type,Temperature Gauge Type,false,"selected(${types_of_devices_transducers}, 'temperature')",
text,temperature_gauge_calibration,Temperature Gauge Calibration,false,"selected(${types_of_devices_transducers}, 'temperature')",
text,force_gauge_type,Force Gauge Type,false,"selected(${types_of_devices_transducers}, 'force_gauge')",
text,force_gauge_calibration,Force Gauge Calibration,false,"selected(${types_of_devices_transducers}, 'force_gauge')",
text,pressure_transducer_type,Pressure Transducer Type,false,"selected(${types_of_devices_transducers}, 'pressure_trans')",
text,pressure_transducer_calibratio,Pressure Transducer Calibration,false,"selected(${types_of_devices_transducers}, 'pressure_trans')",
text,other_transducer_type,Other Transducer Type,false,"selected(${types_of_devices_transducers}, 'other')",
text,other_transducer_calibration,Other Transducer Calibration,false,"selected(${types_of_devices_transducers}, 'other')",
calculate,__version__,,,,'vXAVhw7e47RPrcL7LpiCWG'
