list_name,name,label,order
em3fy79,strain_gauge,Strain Gauge,
em3fy79,piezoelectric,Piezoelectric,
em3fy79,lvdt,LVDT,
em3fy79,dcdt,DCDT,
em3fy79,temperature,Temperature,
em3fy79,force_gauge,Force Gauge,
em3fy79,pressure,Pressure,
em3fy79,other,Other,
mu7bg28,single,Single,
mu7bg28,double,Double,1
mu7bg28,none,None,2
mu7bg28,other,Other,3
nu2up86,gold,Gold,
nu2up86,silver,Silver,
nu2up86,copper,Copper,
nu2up86,lead,Lead,
nu2up86,teflon,Teflon,
nu2up86,polyolefin,Polyolefin,
nu2up86,other,Other,
hj1em57,gold,Gold,
hj1em57,silver,Silver,
hj1em57,copper,Copper,
hj1em57,lead,Lead,
hj1em57,teflon,Teflon,
hj1em57,polyolefin,Polyolefin,
hj1em57,other,Other,
ev7qo75,uniaxial,Uniaxial,
ev7qo75,biaxial,Biaxial,
ev7qo75,conv_triaxial,Conventional Triaxial,
ev7qo75,full_triaxial,Full Triaxial,
ev7qo75,rotary,Rotary,
ev7qo75,direct_shear,Direct Shear,
ev7qo75,precut_shear,Precut Shear (30 or 45 degrees),
ev7qo75,general_shear,General Shear,
ev7qo75,dbl_dir_shear,Double Direct Shear,
ev7qo75,other,Other,
