type,name,label,hint,required,appearance,relevant,calculation
start,start,,,,,,
end,end,,,,,,
select_multiple em3fy79,types_of_devices_transducers,Types of Devices/Transducers,,false,horizontal-compact,,
text,strain_gauge_calibration,Strain Gauge Calibration,,false,,"selected(${types_of_devices_transducers}, 'strain_gauge')",
text,piezoelectric_calibration,Piezoelectric Calibration,,false,,"selected(${types_of_devices_transducers}, 'piezoelectric')",
text,lvdt_calibration,LVDT Calibration,,false,,"selected(${types_of_devices_transducers}, 'lvdt')",
text,dcdt_calibration,DCDT Calibration,,false,,"selected(${types_of_devices_transducers}, 'dcdt')",
text,type_of_temp_device,Type of Temperature Device,,false,,"selected(${types_of_devices_transducers}, 'temperature')",
text,temp_device_calibration,Temperature Device Calibration,,false,,"selected(${types_of_devices_transducers}, 'temperature')",
text,force_gauge_type,Force Gauge Type,,false,,"selected(${types_of_devices_transducers}, 'force_gauge')",
text,force_gauge_calibration,Force Gauge Calibration,,false,,"selected(${types_of_devices_transducers}, 'force_gauge')",
text,pressure_transducer_type,Pressure Transducer Type,,false,,"selected(${types_of_devices_transducers}, 'pressure')",
text,pressure_transducer_calibratio,Pressure Transducer Calibration,,false,,"selected(${types_of_devices_transducers}, 'pressure')",
text,other_transducer_type,Other Transducer Type,,false,,"selected(${types_of_devices_transducers}, 'other')",
text,other_transducer_calibration,Other Transducer Calibration,,false,,"selected(${types_of_devices_transducers}, 'other')",
select_one mu7bg28,jacket_type,Jacket Type,,false,,,
text,other_jacket_type,"If Other, Describe",,false,,${jacket_type} = 'other',
select_multiple nu2up86,jacket_material,Jacket Material,,false,,${jacket_type} != 'none',
decimal,jacket_thickness_mm,Jacket Thickness (mm),,false,,${jacket_type} != 'none',
text,other_jacket_material,"If Other, Describe",,false,,"selected(${jacket_material}, 'other')",
select_multiple hj1em57,second_jacket_material,Second Jacket Material,,false,,${jacket_type} = 'double',
decimal,second_jacket_thickness_mm,Second Jacket Thickness (mm),,false,,${jacket_type} = 'double',
text,other_second_jacket_material,"If Other, Describe",,false,,"selected(${second_jacket_material}, 'other')",
text,jacket_setup_description,Jacket Setup Description,,false,multiline,${jacket_type} != 'none',
text,sample_orientation_before,Sample Orientation-Before,Sample Orientation relative to experimental setup,false,,,
text,sample_orientation_after,Sample Orientation-After,,false,,,
select_one ev7qo75,experimental_geometry,Experimental Geometry,,false,horizontal-compact,,
text,other_experimental_geometry,Other Experimental Geometry,,false,,${experimental_geometry} = 'other',
text,other_experiment_notes,Other Assembly Notes,,false,multiline,,
calculate,__version__,,,,,,'v85AbM4p6Rp9aUmsmH8NeW'
