type,name,label,required,relevant,calculation
start,start,,,,
end,end,,,,
decimal,temperature,Temperature,false,,
select_one fz2pa27,temperature_unit,Temperature Unit,false,,
decimal,strain_rate,Strain Rate,false,,
decimal,x10,x10^##,false,,
select_one yh3pr64,strain_rate_conditions,Strain Rate Conditions,false,,
decimal,confining_pressure,Confining Pressure,false,,
select_one ze9wx62,pc_units,Pc Units,false,,
select_one qs8tg01,sample_is,Sample is,false,,
text,fluid,Fluid:,false,${sample_is} = 'wet',
acknowledge,pore_fluid,Pore Fluid in Experiment?,false,,
select_one cn55a58,number_of_phases,Number of Phases,false,${pore_fluid} != '',
select_one lr3gm28,fluid_phases,Fluid Phases,false,${number_of_phases} = 'sgl_phase_flu',
select_multiple sr3wj71,fluid_phases_multi,Fluid Phases,false,${number_of_phases} = 'multiphase_flu',
text,fluid_composition,Fluid Composition,false,${pore_fluid} != '',
text,fugacity,Fugacity,false,${pore_fluid} != '',
select_one ze9wx62,fugacity_units,Fugacity Units,false,${pore_fluid} != '',
text,activities,Activities,false,${pore_fluid} != '',
text,axial_strain,Axial Strain,false,,
text,displacement,Displacement,false,,
decimal,differential_stress,Differential Stress,false,,
select_one si9ao54,differential_stress_units,Differential Stress Units,false,,
text,force_load,Force/Load,false,,
text,torque,Torque,false,,
text,other_notes,Other Notes,false,,
calculate,__version__,,,,'vcJJbADktkgkyESbBXFhwi'
