type,name,label,required,relevant,calculation
start,start,,,,
end,end,,,,
select_one yk45i75,temperature,Temperature,false,,
decimal,elevated_temperature,Elevated Temperature,false,${temperature} = 'elevated_temp',
select_one fz2pa27,temperature_unit,Temperature Unit,false,${temperature} = 'elevated_temp',
decimal,strain_rate,Strain Rate,false,,
decimal,x10,x10^##,false,,
select_one yh3pr64,strain_rate_conditions,Strain Rate Conditions,false,,
decimal,confining_pressure,Confining Pressure,false,,
select_one ze9wx62,pc_units,Pc Units,false,,
select_one qs8tg01,sample_is,Sample is,false,,
text,fluid,Fluid:,false,${sample_is} = 'wet',
acknowledge,pore_fluid,Pore Fluid in Experiment?,false,,
select_one lr3gm28,fluid_phases,Fluid Phases,false,${pore_fluid} != '',
text,pore_fluid_composition,Pore Fluid Composition,false,${pore_fluid} != '',
text,fugacity,Fugacity,false,${pore_fluid} != '',
select_one ze9wx62,fugacity_units,Fugacity Units,false,${pore_fluid} != '',
text,activities,Activities,false,${pore_fluid} != '',
decimal,pore_fluid_pressure,Pore Fluid Pressure,false,${pore_fluid} != '',
select_one ze9wx62,pore_pressure_units,Pore Pressure Units,false,${pore_fluid} != '',
select_one cc35a87,pore_pressure_is_drained,Pore Pressure is drained?,false,${pore_fluid} != '',
decimal,effective_pressure,Effective Pressure,false,,
select_one ze9wx62,peff_units,Peff Units,false,,
text,strain,Strain,false,,
select_one xo17m36,strain_type,Strain Type,false,,
text,displacement,Displacement,false,,
select_multiple ya5mn23,stress,Stress ,false,,
decimal,differential_stress,Differential Stress,false,"selected(${stress}, 'differential_s')",
select_one si9ao54,differential_stress_units,Differential Stress Units,false,"selected(${stress}, 'differential_s')",
select_multiple oj4wz46,mechanical_conditions,Mechanical Conditions,false,,
select_one yh3pr64,creep_conditions,Creep Conditions,false,"selected(${mechanical_conditions}, 'creep')",
decimal,creep,Creep,false,"selected(${mechanical_conditions}, 'creep')",
select_one yh3pr64,stress_rate_conditions,Stress Rate Conditions,false,"selected(${mechanical_conditions}, 'stress_rate')",
text,stress_rate,Stress Rate,false,"selected(${mechanical_conditions}, 'stress_rate')",
select_one yh3pr64,displacement_rate_conditions,Displacement Rate Conditions,false,"selected(${mechanical_conditions}, 'displace_rate')",
text,displacement_rate,Displacement Rate,false,"selected(${mechanical_conditions}, 'displace_rate')",
calculate,__version__,,,,'vb9BkbRfPvxCUvcReX8pGn'
