type,name,label,required,relevant,calculation
start,start,,,,
end,end,,,,
select_one qs8tg01,sample_is,Sample is,false,,
text,fluid,Fluid:,false,${sample_is} = 'wet',
select_one td3fv51,wet_sample,Wet Sample,false,${sample_is} = 'wet',
acknowledge,pore_fluid,Pore Fluid in Experiment?,false,,
begin_group,group_tm1zd18,Pore Fluid,,,
select_one lr3gm28,fluid_phases,Fluid Phases,false,,
text,pore_fluid_composition,Pore Fluid Composition,false,${pore_fluid} != '',
text,fugacity,Fugacity,false,${pore_fluid} != '',
text,activities,Activities,false,${pore_fluid} != '',
end_group,,,,,
note,pressure,Pressure,false,,
decimal,confining_pressure,Confining Pressure,false,,
select_one ze9wx62,pc_units,Pc Units,false,,
decimal,pore_fluid_pressure,Pore Fluid Pressure,false,${pore_fluid} != '',
select_one ze9wx62,pore_pressure_units,Pore Pressure Units,false,${pore_fluid} != '',
select_one cc35a87,pore_pressure_is_drained,Pore Pressure is drained?,false,${pore_fluid} != '',
decimal,effective_pressure,Effective Pressure,false,,
select_one ze9wx62,peff_units,Peff Units,false,,
select_one yk45i75,temperature,Temperature,false,,
decimal,elevated_temperature,Elevated Temperature,false,${temperature} = 'elevated_temperature',
select_one fz2pa27,temperature_unit,Temperature Unit,false,${temperature} = 'elevated_temperature',
text,strain,Strain,false,,
select_one xo17m36,strain_type,Strain Type,false,,
text,displacement,Displacement,false,,
select_one bq1he67,displacement_type,Displacement Type,false,,
begin_group,group_cm8rh72,Stress,,,
select_multiple ya5mn23,stress,Stress ,false,,
decimal,shear_stress,Shear Stress,false,"selected(${stress}, 'shear_stress')",
select_one si9ao54,shear_stress_units,Shear Stress Units,false,"selected(${stress}, 'shear_stress')",
decimal,normal_stress,Normal Stress,false,"selected(${stress}, 'normal_stress')",
select_one si9ao54,normal_stress_units,Normal Stress Units,false,"selected(${stress}, 'normal_stress')",
decimal,axial_stress,Axial Stress,false,"selected(${stress}, 'axial_stress')",
select_one si9ao54,axial_stress_units,Axial Stress Units,false,"selected(${stress}, 'axial_stress')",
decimal,differential_stress,Differential Stress,false,"selected(${stress}, 'differential_s')",
select_one si9ao54,differential_stress_units,Differential Stress Units,false,"selected(${stress}, 'differential_s')",
text,indentation_hardness,Indentation Hardness,false,"selected(${stress}, 'indentation_ha')",
end_group,,,,,
text,force_load,Force/Load,false,,
text,torque,Torque,false,,
select_multiple oj4wz46,mechanical_conditions,Mechanical Conditions,false,,
select_one yh3pr64,creep_conditions,Creep Conditions,false,"selected(${mechanical_conditions}, 'creep')",
text,creep,Creep,false,"selected(${mechanical_conditions}, 'creep')",
select_one yh3pr64,strain_rate_conditions,Strain Rate Conditions,false,"selected(${mechanical_conditions}, 'strain_rate')",
text,strain_rate_s_1,Strain Rate (s^-1),false,"selected(${mechanical_conditions}, 'strain_rate')",
select_one yh3pr64,stress_rate_conditions,Stress Rate Conditions,false,"selected(${mechanical_conditions}, 'stress_rate')",
text,stress_rate,Stress Rate,false,"selected(${mechanical_conditions}, 'stress_rate')",
select_one yh3pr64,displacement_rate_conditions,Displacement Rate Conditions,false,"selected(${mechanical_conditions}, 'displacement_r')",
text,displacement_rate,Displacement Rate,false,"selected(${mechanical_conditions}, 'displacement_r')",
calculate,__version__,,,,'vNQPjd7VRiEXYiL3pM5zks'
