list_name,name,label
ji0rg23,confined__2_3,Confined ?2=?3
ji0rg23,confined__1_2,Confined ?1=?2
ji0rg23,confined__2_3_1,Confined ?2??3
jk9hb34,ultimate_shear,Ultimate Shear Strength
jk9hb34,shear_yield_st,Shear Yield Stress
jk9hb34,true_triaxial_,True Triaxial Strength
jk9hb34,compressive_st,Compressive Strength
jk9hb34,torsion_streng,Torsion Strength
jk9hb34,yield_strength,Yield Strength
jk9hb34,flow_strength,Flow Strength
jk9hb34,fracture_stren,Fracture Strength
ec7he07,pa,Pa
ec7he07,kpa,kPa
ec7he07,mpa,MPa
ec7he07,gpa,GPa
ec7he07,n_m_2,N/m^2
ec7he07,kn_mm_2,kN/mm^2
fj8co57,steady_state,Steady State
fj8co57,transient,Transient
vr46o50,imposed_slip,Imposed Slip
vr46o50,imposed_stress,Imposed Stress
mc4rf85,rate_state,Rate-State
mc4rf85,initial,Initial
mc4rf85,kinetic,Kinetic
mc4rf85,static,Static
mc4rf85,steady_state,Steady-State
se3ad34,cm_2,cm^2
se3ad34,m_2,m^2
se3ad34,dm,dm
se3ad34,md,md
se3ad34,nd,nd
cf0su32,bulk_modulus,Bulk Modulus
cf0su32,shear_modulus,Shear Modulus
cf0su32,young_s_modulus,Young's Modulus
lb7aq95,elastic_anisot,Elastic Anisotropy
lb7aq95,seismic_anisot,Seismic Anisotropy
ej9uh22,melting,Melting
cj9wh19,_micro_crack_f,(micro)Crack/Fracture
cj9wh19,brittle,Brittle
cj9wh19,ductile,Ductile
cj9wh19,brittle_ductil,Brittle-Ductile
cj9wh19,cataclastic,Cataclastic
cj9wh19,brittle_plasti,Brittle-Plastic
cj9wh19,brittle_viscou,Brittle-Viscous
cj9wh19,plastic,Plastic
cj9wh19,deformation_ba,Deformation Bands
