type,name,label,hint,required,relevant,calculation
start,start,,,,,
end,end,,,,,
select_multiple ji0rg23,strength,Strength,,false,,
begin_group,group_vb4hi60,Group,,,,
select_multiple jk9hb34,strength_measurements,Strength Measurements,,false,,
decimal,ultimate_shear_strength_uss,Ultimate Shear Strength (USS or ?),,false,"selected(${strength_measurements}, 'ultimate_shear')",
select_one ec7he07,uss_unit,USS Unit,,false,"selected(${strength_measurements}, 'ultimate_shear')",
decimal,shear_yield_strength_sys,Shear Yield Strength (SYS),,false,"selected(${strength_measurements}, 'shear_yield_st')",
select_one ec7he07,sys_unit,SYS Unit,,false,"selected(${strength_measurements}, 'shear_yield_st')",
decimal,true_triaxial_strength,True Triaxial Strength,,false,"selected(${strength_measurements}, 'true_triaxial_')",
select_one ec7he07,true_triaxial_unit,True Triaxial Unit,,false,"selected(${strength_measurements}, 'true_triaxial_')",
decimal,compressive_strength,Compressive Strength,,false,,
select_one ec7he07,compressive_strength_unit,Compressive Strength Unit,,false,,
decimal,torsion_strength,Torsion Strength,,false,"selected(${strength_measurements}, 'torsion_streng')",
select_one ec7he07,torsion_unit,Torsion Unit,,false,"selected(${strength_measurements}, 'torsion_streng')",
decimal,yield_strength,Yield Strength,,false,"selected(${strength_measurements}, 'yield_strength')",
select_one ec7he07,yield_strength_unit,Yield Strength Unit,,false,"selected(${strength_measurements}, 'yield_strength')",
decimal,flow_strength,Flow Strength,,false,"selected(${strength_measurements}, 'flow_strength')",
select_one ec7he07,flow_strength_unit,Flow Strength Unit,,false,"selected(${strength_measurements}, 'flow_strength')",
decimal,fracture_strength,Fracture Strength,,false,"selected(${strength_measurements}, 'fracture_stren')",
select_one ec7he07,fracture_strength_unit,Fracture Strength Unit,,false,"selected(${strength_measurements}, 'fracture_stren')",
end_group,,,,,,
select_one fj8co57,strength_is,Strength is ,,false,,
select_one vr46o50,friction,Friction,,false,,
select_one mc4rf85,imposed_slip,Imposed Slip,,false,,
text,friction_001,Friction,,false,,
decimal,permeability,Permeability,Permeability k=,false,,
select_one se3ad34,permeability_units,Permeability Units,,false,,
note,acoustic_emissions_link_note,Acoustic Emissions Link**NOTE** Link to Dataset,,false,,
select_multiple cf0su32,elasticity,Elasticity,,false,,
decimal,bulk_modulus_gpa,Bulk Modulus (GPa),,false,"selected(${elasticity}, 'bulk_modulus')",
decimal,shear_modulus_gpa,Shear Modulus (GPa),,false,"selected(${elasticity}, 'shear_modulus')",
decimal,young_s_modulus_gpa,Young's Modulus (GPa),,false,"selected(${elasticity}, 'young_s_modulus')",
select_multiple lb7aq95,anisotropy,Anisotropy?,,false,,
text,anelastic,Anelastic,,false,,
note,anelastic_link_to_dataset,Anelastic Link to Dataset *NOTE Link to Dataset*,,false,,
text,attenuation,Attenuation,,false,,
note,attenuation_link_to_dataset,Attenuation Link to Dataset *NOTE Link to Dataset*,,false,,
decimal,thermal_conductivity,Thermal Conductivity (W.m^-1.K^-1),,false,,
select_multiple ej9uh22,phase_transition,Phase Transition,,false,,
text,phase_transition_notes,Phase Transition Notes,,false,,
text,grain_size,Grain Size,,false,,
select_multiple cj9wh19,damage,Damage,,false,,
text,_micro_crack_fracture_notes,(micro)Crack/Fracture Notes,,false,"selected(${damage}, '_micro_crack_f')",
text,brittle_failure_notes,Brittle Failure Notes,,false,"selected(${damage}, 'brittle')",
text,ductile_notes,Ductile Notes,,false,"selected(${damage}, 'ductile')",
text,brittle_ductile_notes,Brittle-Ductile Notes,,false,"selected(${damage}, 'brittle_ductil')",
text,cataclastic_notes,Cataclastic Notes,,false,"selected(${damage}, 'cataclastic')",
text,brittle_plastic_notes,Brittle-Plastic Notes,,false,"selected(${damage}, 'brittle_plasti')",
text,brittle_viscous_notes,Brittle-Viscous Notes,,false,"selected(${damage}, 'brittle_viscou')",
text,plastic_notes,Plastic Notes,,false,"selected(${damage}, 'plastic')",
text,deformation_band_notes,Deformation Band Notes,,false,"selected(${damage}, 'deformation_ba')",
note,grain_size_link_note_link,Grain Size Link *NOTE LINK*,,false,,
calculate,__version__,,,,,'v4acZAd54PXmYT9uFGKvvy'
