list_name,name,label,order
pl6vo60,synthetic,Synthetic,
pl6vo60,natural,Natural,
eg0ei06,single_crystal,Single Crystal,
eg0ei06,polycrystallin,Polycrystalline aggregate/rock,
vr54h31,sedimentary,Sedimentary,
vr54h31,igneous,Igneous,1
vr54h31,metamorphic,Metamorphic,2
vr54h31,fault_rock,Fault Rock,3
vr54h31,synthetic,Synthetic,4
vr54h31,other,Other,5
jf9td77,spot_number_of,Spot Number of Original Sample,
jf9td77,known_location,Known Location,
jf9td77,catalog_sample,Catalog Sample,
jf9td77,other,Other,
hw2wh20,intact,Intact,
hw2wh20,disaggregated,Disaggregated,
hw2wh20,composite,Composite,
nc1rg13,powder,Powder,
nc1rg13,hot_pressed,Hot Pressed,
us88k07,pa,Pa,
us88k07,bar,bar,
us88k07,torr,torr,
us88k07,atm,atm,
us88k07,other,other,
mq5pa38,c,C,
mq5pa38,k,K,
mq5pa38,f,F,
yc8eo85,cube_block,Cube/Block,
yc8eo85,core,Core,
yc8eo85,other,Other,
aj5wk43,cm,cm,
aj5wk43,mm,mm,
aj5wk43,in,in,
ql5da18,cm,cm,
ql5da18,mm,mm,
ql5da18,in,in,
cl11j06,none,None,
cl11j06,sawcut,Sawcut,
cl11j06,gauge,Gauge,
