list_name,name,label,order
qn6uc31,gas,Gas,
qn6uc31,solid,Solid,
qn6uc31,liquid,Liquid,
qn6uc31,other,Other,
wj1rj37,strain_gauge,Strain Gauge,
wj1rj37,distortion,Piezoelectric,1
wj1rj37,displacement,LVDT,2
wj1rj37,dcdt,DCDT,3
wj1rj37,temperature,Temperature,4
wj1rj37,force_gauge,Force Gauge,5
wj1rj37,pressure,Pressure,6
wj1rj37,other,Other,
qm35l04,single,Single,
qm35l04,double,Double,1
qm35l04,none,None,2
qm35l04,other,Other,3
uj2sg83,gold,Gold,
uj2sg83,silver,Silver,
uj2sg83,copper,Copper,
uj2sg83,lead,Lead,
uj2sg83,teflon,Teflon,
uj2sg83,polyolefin,Polyolefin,
uj2sg83,other,Other,
zg3fl49,constant_stress_test,Constant Stress Test,
zg3fl49,constant_strain_rate_test,Constant Strain Rate Test,
zg3fl49,load_relaxation,Load Relaxation,
zg3fl49,stepping_tests,Stepping Tests,
zg3fl49,other,Other,
gi5pp37,c,C,
gi5pp37,mpa_1,bar,
gi5pp37,mpa,MPa,1
gi5pp37,kbar_1,kbar,1
gi5pp37,k,K,2
gi5pp37,torr,torr,2
gi5pp37,mpa_2,MPa,2
gi5pp37,kbar,kbar,
gi5pp37,torr_1,torr,
gi5pp37,psi,Psi,
gi5pp37,kbar_2,kbar,1
gi5pp37,mpa_3,MPa,2
or1gv41,uniaxial,Uniaxial,
or1gv41,biaxial,Biaxial,
or1gv41,conventional_triaxial,Conventional Triaxial,
or1gv41,full_triaxial,Full Triaxial,
or1gv41,rotary,Rotary,
or1gv41,direct_shear,Direct shear,
or1gv41,precut_shear__30_or_45_degrees,Precut shear (30 or 45 degrees),
or1gv41,general_shear,General Shear,
or1gv41,double_direct_shear,Double-direct shear,
or1gv41,other,Other,
