type,name,label,hint,required,appearance,relevant,default,calculation
start,start,,,,,,,
end,end,,,,,,,
text,name_of_experiment,Name Of Experiment,,true,,,,
date,date_of_experiment,Date of Experiment,,true,,,,
text,operator_name,Operator Name,,true,,,,
text,experiment_purpose,Experiment Purpose,,true,multiline,,,
text,experiment_procedure,Experiment Procedure,,true,multiline,,,
text,attach_apparatus_tag,Attach Apparatus Tag,,false,,,,
begin_group,apparatus_info,Apparatus Information,,,,${attach_apparatus_tag} = '',,
select_one ck0ni31,apparatus,Apparatus,,false,,,,
text,other_apparatus_specify,Other Apparatus- Specify,,false,multiline,${apparatus} = 'other',,
text,gas_specify,Gas- Specify,,false,multiline,${apparatus} = 'gas',,
text,solid_specify,Solid- Specify,,false,multiline,${apparatus} = 'solid',,
text,liquid_specify,Liquid- Specify,,false,multiline,${apparatus} = 'liquid',,
text,apparatus_stiffness,Apparatus Stiffness,,false,,,,
select_multiple em3fy79,types_of_devices_transducers,Types of Devices/Transducers,,false,horizontal-compact,,,
text,strain_gauge_calibration,Strain Gauge Calibration,,false,,"selected(${types_of_devices_transducers}, 'strain_gauge')",,
text,piezoelectric_calibration,Piezoelectric Calibration,,false,,"selected(${types_of_devices_transducers}, 'piezoelectric')",,
text,lvdt_calibration,LVDT Calibration,,false,,"selected(${types_of_devices_transducers}, 'lvdt')",,
text,dcdt_calibration,DCDT Calibration,,false,,"selected(${types_of_devices_transducers}, 'dcdt')",,
text,type_of_temp_device,Type of Temperature Device,,false,,"selected(${types_of_devices_transducers}, 'temperature')",,
text,temp_device_calibration,Temperature Device Calibration,,false,,"selected(${types_of_devices_transducers}, 'temperature')",,
text,force_gauge_type,Force Gauge Type,,false,,"selected(${types_of_devices_transducers}, 'force_gauge')",,
text,force_gauge_calibration,Force Gauge Calibration,,false,,"selected(${types_of_devices_transducers}, 'force_gauge')",,
text,pressure_transducer_type,Pressure Transducer Type,,false,,"selected(${types_of_devices_transducers}, 'pressure')",,
text,pressure_transducer_calibratio,Pressure Transducer Calibration,,false,,"selected(${types_of_devices_transducers}, 'pressure')",,
text,other_transducer_type,Other Transducer Type,,false,,"selected(${types_of_devices_transducers}, 'other')",,
text,other_transducer_calibration,Other Transducer Calibration,,false,,"selected(${types_of_devices_transducers}, 'other')",,
end_group,,,,,,,,
select_one mu7bg28,jacket_type,Jacket Type,,false,,,,
text,other_jacket_type,"If Other, Describe",,false,,${jacket_type} = 'other',,
select_multiple nu2up86,jacket_material,Jacket Material,,false,,${jacket_type} != 'none',,
decimal,jacket_thickness_mm,Jacket Thickness (mm),,false,,${jacket_type} != 'none',,
text,other_jacket_material,"If Other, Describe",,false,,"selected(${jacket_material}, 'other')",,
select_multiple hj1em57,second_jacket_material,Second Jacket Material,,false,,${jacket_type} = 'double',,
decimal,second_jacket_thickness_mm,Second Jacket Thickness (mm),,false,,${jacket_type} = 'double',,
text,other_second_jacket_material,"If Other, Describe",,false,,"selected(${second_jacket_material}, 'other')",,
text,jacket_setup_description,Jacket Setup Description,,false,multiline,${jacket_type} != 'none',,
note,experimental_conditions,Experimental Conditions,,false,,,,
decimal,confining_pressure,Confining Pressure,,false,,,,
select_one gx7ns27,confining_pressure_units,Confining Pressure Units,,false,minimal,,,
text,other_confining_pressure_units,"If Other, Specify",,false,,${confining_pressure_units} = 'other',,
decimal,pore_pressure,Pore Pressure,,false,,,,
select_one ba9ne27,pore_pressure_units,Pore Pressure Units,,false,minimal,,,
text,other_pore_pressure_units,"If Other, Specify",,false,,${pore_pressure_units} = 'other',,
decimal,effective_pressure,Effective Pressure,,false,,,,
select_one vb63e62,effective_pressure_units,Effective Pressure Units,,false,minimal,,,
text,other_effective_pressure_units,"If Other, specify",,false,,${effective_pressure_units} = 'other',,
integer,temperature,Temperature (degrees C),,false,,,,
decimal,strain_rate,Strain Rate,,false,,,,
decimal,differential_stress,Differential Stress,,false,,,,
select_one sq7ei65,differential_stress_units,Differential Stress Units,,false,minimal,,,
text,other_differential_stress_unit,"If Other, Specify",,false,,${differential_stress_units} = 'other',,
text,other_experimental_conditions,Other Experimental Conditions,,false,multiline,,,
select_one sj9gf54,type_of_experiment,Type of Experiment,,false,,,,
text,other_experiment_type,Other Experiment Type,,false,,${type_of_experiment} = 'other',,
select_one ev7qo75,experimental_geometry,Experimental Geometry,,false,horizontal-compact,,,
text,other_experimental_geometry,Other Experimental Geometry,,false,,${experimental_geometry} = 'other',,
text,sample_orientation_before,Sample Orientation-Before,Sample Orientation relative to experimental setup,false,,,,
text,sample_orientation_after,Sample Orientation-After,,false,,,,
text,other_experiment_notes,Other Experiment Notes,,false,multiline,,,
calculate,__version__,,,,,,,'vKRCFycT69vVHvRMLVd8MM'
