type,name,label,required,relevant,appearance,calculation,$given_name
start,start,,,,,,
end,end,,,,,,
text,thin_section_name,Thin Section Name,false,,,,
text,location_locality,Location/Locality,false,,,,
text,basin,Basin,false,,,,
text,age,Age,false,,,,
select_multiple io1jz71,purpose,Purpose,false,,,,
text,other_purpose,Other Purpose,false,"selected(${purpose}, 'other')",,,
text,project_description,Project Description,false,,,,
text,dates_of_work,Dates of Work,false,,,,
select_multiple oy67z09,scale_of_interest,Scale of Interest,false,,,,
text,other_scale_of_interest,Other Scale of Interest,false,"selected(${scale_of_interest}, 'other')",,,
select_one gy5ky31,obs_interval_bed_obs_scale,Observation Interval (average bed/observation scale),false,,,,
select_one ao6ek37,how_is_section_georeferenced,How is the Section Georeferenced?,false,,,,
text,thin_section_notes,Notes,false,,multiline,,
calculate,__version__,,false,,,'vABoyibvTTxS8wqHZcbXuC',
calculate,_version_,,,,,'vCVRrYxECVY7afF7TVxVkv',__version__
