list_name,name,label,order
cs0gb99,albite,Albite,
cs0gb99,amphibole,Amphibole,1
cs0gb99,andalusite,Andalusite,2
cs0gb99,biotite,Biotite,3
cs0gb99,chlorite,Chlorite,4
cs0gb99,diopside,Diopside,5
cs0gb99,epidote,Epidote,6
cs0gb99,garnet,Garnet,7
cs0gb99,glaucophane,Glaucophane,8
cs0gb99,kyanite,Kyanite,9
cs0gb99,muscovite_whi,Muscovite-White Mica,10
cs0gb99,omphacite,Omphacite,11
cs0gb99,plagioclase,Plagioclase,12
cs0gb99,quartz,Quartz,13
cs0gb99,rutile,Rutile,14
cs0gb99,sillimanite,Sillimanite,15
cs0gb99,staurolite,Staurolite,16
ak3ds31,actinolite,Actinolite,
ak3ds31,albite,Albite,1
ak3ds31,alkali_feldspa,Alkali feldspar,2
ak3ds31,allanite,Allanite,3
ak3ds31,amphibole,Amphibole,4
ak3ds31,andalusite,Andalusite,5
ak3ds31,apatite,Apatite,6
ak3ds31,augite,Augite,7
ak3ds31,beryl,Beryl,8
ak3ds31,biotite,Biotite,9
ak3ds31,brucite,Brucite,10
ak3ds31,calcite,Calcite,11
ak3ds31,chalcopyrite,Chalcopyrite,12
ak3ds31,chlorite,Chlorite,13
ak3ds31,chloritoid,Chloritoid,14
ak3ds31,clay,Clay,15
ak3ds31,clinoamphibole,Clinoamphibole,16
ak3ds31,clinopyroxene,Clinopyroxene,17
ak3ds31,clinozoisite,Clinozoisite,18
ak3ds31,cordierite,Cordierite,19
ak3ds31,corundum,Corundum,20
ak3ds31,diopside,Diopside,21
ak3ds31,dolomite,Dolomite,22
ak3ds31,epidote,Epidote,23
ak3ds31,galena,Galena,24
ak3ds31,garnet,Garnet,25
ak3ds31,glaucophane,Glaucophane,26
ak3ds31,goethite,Goethite,27
ak3ds31,graphite,Graphite,28
ak3ds31,hematite,Hematite,29
ak3ds31,hornblende,Hornblende,30
ak3ds31,hypersthene,Hypersthene,31
ak3ds31,ilmenite,Ilmenite,32
ak3ds31,jadeite,Jadeite,33
ak3ds31,k_feldspar,K-feldspar,34
ak3ds31,kyanite,Kyanite,35
ak3ds31,lawsonite,Lawsonite,36
ak3ds31,limonite,Limonite,37
ak3ds31,magnetite,Magnetite,38
ak3ds31,monazite,Monazite,39
ak3ds31,muscovite_whi,Muscovite-White Mica,40
ak3ds31,na_pyroxene,Na pyroxene,41
ak3ds31,olivine,Olivine,42
ak3ds31,omphacite,Omphacite,43
ak3ds31,orthoamphibole,Orthoamphibole,44
ak3ds31,orthopyroxene,Orthopyroxene,45
ak3ds31,piemontite,Piemontite,46
ak3ds31,plagioclase,Plagioclase,47
ak3ds31,pumpellyite,Pumpellyite,48
ak3ds31,pyrite,Pyrite,49
ak3ds31,pyrophyllite,Pyrophyllite,50
ak3ds31,pyrrhotite,Pyrrhotite,51
ak3ds31,quartz,Quartz,52
ak3ds31,rutile,Rutile,53
ak3ds31,sanidine,Sanidine,54
ak3ds31,sapphirine,Sapphirine,55
ak3ds31,serpentine,Serpentine,56
ak3ds31,sillimanite,Sillimanite,57
ak3ds31,sphalerite,Sphalerite,58
ak3ds31,staurolite,Staurolite,59
ak3ds31,talc,Talc,60
ak3ds31,titanite,Titanite,61
ak3ds31,tremolite,Tremolite,62
ak3ds31,spinel,Spinel,63
ak3ds31,tourmaline,Tourmaline,64
ak3ds31,vesuvanite,Vesuvanite,65
ak3ds31,wollastonite,Wollastonite,66
ak3ds31,zeolite,Zeolite,67
ak3ds31,zircon,Zircon,68
ak3ds31,zoisite,Zoisite,69
