list_name,name,label,order
fz3nb69,yes,yes,
ae5ki24,volcanic,volcanic,
ae5ki24,plutonic,plutonic,
ae5ki24,metamorphic,metamorphic,
ae5ki24,alteration__or,"alteration, ore",
cn1yt33,granite,granite,
cn1yt33,granodiorite,granodiorite,
cn1yt33,diorite,diorite,
cn1yt33,gabbro,gabbro,
cn1yt33,unclear,unclear,
cn1yt33,more_options,more rocks,
vb8zj01,alkali_fsp_gra,alkali feldspar granite,0
vb8zj01,anorthosite,anorthosite,1
vb8zj01,aplite,aplite,2
vb8zj01,diabase,diabase,3
vb8zj01,dunite,dunite,4
vb8zj01,harzburgite,harzburgite,5
vb8zj01,monzonite,monzonite,6
vb8zj01,norite,norite,7
vb8zj01,pegmatite,pegmatite,8
vb8zj01,peridotite,peridotite,9
vb8zj01,quartz_monzonite,quartz monzonite,10
vb8zj01,syenite,syenite,11
vb8zj01,tonalite,tonalite,12
vb8zj01,other,other,13
nx1fj58,strabotools,StraboTools,
nx1fj58,visual,visual,
cm8zx92,pluton,pluton,
cm8zx92,dike,dike,
cm8zx92,sill,sill,
cm8zx92,unclear,unclear,
cm8zx92,other,other,
ug9ia66,fine_grained,fine-grained,0
ug9ia66,medium_grained,medium-grained,1
ug9ia66,coarse_grained,coarse-grained,2
ug9ia66,porphyritic_phaneritic,porphyritic,3
ug9ia66,pegmatitic,pegmatitic,4
ug9ia66,equigranular,equigranular,5
ug9ia66,megacrystic,megacrystic,6
ug9ia66,aplitic,aplitic,7
ug9ia66,miarolitic,miarolitic,8
ug9ia66,diabasic,diabasic,9
ug9ia66,other,other,
pt2tr54,altered,altered,
pt2tr54,metamorphic_ov,metamorphic overprint,
pt2tr54,shattered,shattered,
pt2tr54,veined,veined,
pt2tr54,faulted,faulted,
pt2tr54,grus,grus,
uz9fp11,rhyolite,rhyolite,
uz9fp11,dacite,dacite,
uz9fp11,andesite,andesite,
uz9fp11,basalt,basalt,
uz9fp11,unclear,unclear,
uz9fp11,more_options,more rocks,
hr56r07,obsidian,obsidian,0
hr56r07,tachylite,tachylite,1
hr56r07,trachyte,trachyte,2
hr56r07,rhyodacite,rhyodacite,3
hr56r07,trachyandesite,trachyandesite,4
hr56r07,trachybasalt,trachybasalt,5
hr56r07,basaltic_andes,basaltic-andesite,6
hr56r07,latite,latite,7
hr56r07,tuff,tuff,8
hr56r07,ash_fall_tuf,ash-fall tuff,9
hr56r07,ash_flow_tuf,ash-flow tuff,10
hr56r07,vitrophere,vitrophyre,11
hr56r07,tuff_breccia,tuff breccia,12
hr56r07,lapilli,lapilli tuff,13
hr56r07,other,other,14
ez5mj87,lava,lava,
ez5mj87,dome,dome,
ez5mj87,pyroclastic_fl,pyroclastic flow,
ez5mj87,pyroclastic_fa,pyroclastic fall,
ez5mj87,pyroclastic_su,pyroclastic surge,
ez5mj87,reworked,reworked,
ez5mj87,unclear,unclear,
ez5mj87,other,other,
jx1rw50,porrphyritic_aphanitic,porphyritic,
jx1rw50,clastic,clastic,
jx1rw50,glassy,glassy,
jx1rw50,vesicular,vesicular,
jx1rw50,eutaxitic,eutaxitic,
jx1rw50,devitrified,devitrified,
jx1rw50,aphanitic,aphanitic,
jx1rw50,stony,stony,
jx1rw50,vuggy,vuggy,
jx1rw50,xenoliths,xenoliths,
jx1rw50,other,other,
kc4rs46,columnar_jointing,columnar jointed,
kc4rs46,eutaxitic,banded,
kc4rs46,welded,welded,
kc4rs46,layered,layered,
kc4rs46,cross_bedded,cross-bedded,
kc4rs46,other,other,
xp5gu05,schist,schist,0
xp5gu05,marble,marble,1
xp5gu05,calc_silicate,calc-silicate,2
xp5gu05,quartzite,quartzite,3
xp5gu05,amphibolite,amphibolite,4
xp5gu05,gniess,gneiss ,5
xp5gu05,migmatite,migmatite,6
xp5gu05,mylonite,mylonite,7
xp5gu05,slate,slate,8
xp5gu05,phyllite,phyllite,9
xp5gu05,hornfels,hornfels,10
