type,name,label,hint,required,relevant,appearance,calculation
start,start,,,,,,
end,end,,,,,,
select_multiple fz3nb69,same_as_last,Same as last?,,false,,,
note,Note_to_programmers_abundance_left_blank,Note to programmers- we would like this box to fill out the petrology tab completely and the mineralogy tab partially when selected. The mineralogy tab should have the modal abundance left blank.,,false,,,
select_multiple ae5ki24,rock_class,Rock Class,,false,,,
begin_group,group_ut73c28,Plutonic,,,,,
select_multiple cn1yt33,rock_type_002,Rock Type,,false,"selected(${rock_class}, 'plutonic')",horizontal-compact,
select_multiple vb8zj01,more_options_plutonic_rk,More rocks,,false,"selected(${rock_type_002}, 'more_options') and selected(${rock_class}, 'plutonic')",horizontal-compact,
text,other_plutonic_morerks,Other,,false,"selected(${more_options_plutonic_rk}, 'other') and selected(${rock_class}, 'plutonic')",,
decimal,color_index_pluton,Color Index,,false,"selected(${rock_class}, 'plutonic')",,
select_one nx1fj58,color_index_source_pluton,Color Index Source,,false,"selected(${rock_class}, 'plutonic')",,
select_multiple cm8zx92,occurence,Occurence,,false,"selected(${rock_class}, 'plutonic')",horizontal-compact,
text,other_occurence_plutonic,Other,,false,"selected(${occurence}, 'other') and selected(${rock_class}, 'plutonic')",,
select_multiple ug9ia66,texture_plutonic,Texture,,false,"selected(${rock_class}, 'plutonic')",horizontal-compact,
text,other_texture,Other,,false,"selected(${texture_plutonic}, 'other') and selected(${rock_class}, 'plutonic')",,
integer,pluton_characteristic_size_of_,"Characteristic size of crystals, mm",,false,"selected(${rock_class}, 'plutonic')",,
select_multiple pt2tr54,alteration,Modification ,,false,"selected(${rock_class}, 'plutonic')",horizontal-compact,
text,notes_plutonic,Notes,,false,"selected(${rock_class}, 'plutonic')",,
end_group,,,,,,,
begin_group,group_sk5wf47,Volcanic,,,,,
select_multiple uz9fp11,rock_type_volcanic,Rock Type,,false,"selected(${rock_class}, 'volcanic')",horizontal,
select_multiple hr56r07,more_options_volcanic_rks,More rocks,,false,"selected(${rock_type_volcanic}, 'more_options') and selected(${rock_class}, 'volcanic')",horizontal-compact,
text,other_volcanic_rocks,Other,,false,"selected(${more_options_volcanic_rks}, 'other') and selected(${rock_class}, 'volcanic')",,
select_multiple ez5mj87,occurence_volcanic,Occurence,,false,"selected(${rock_class}, 'volcanic')",horizontal-compact,
text,other_occurance_volcanic,Other,,false,"selected(${occurence_volcanic}, 'other') and selected(${rock_class}, 'volcanic')",,
select_multiple jx1rw50,texture_volcanic,Texture,,false,"selected(${rock_class}, 'volcanic')",horizontal-compact,
text,plutonic_texture_other,Other,,false,"selected(${texture_volcanic}, 'other') and selected(${rock_class}, 'volcanic')",,
decimal,color_index_volc,Color Index,,false,"selected(${rock_class}, 'volcanic')",,
select_one nx1fj58,color_index_source_volc,Color Index Source,,false,"selected(${rock_class}, 'volcanic')",,
integer,vol_characteristic_size_of_cry,"Characteristic size of crystals, mm",,false,"selected(${rock_class}, 'volcanic')",,
select_multiple kc4rs46,structure_volcanic,Structure,,false,"selected(${rock_class}, 'volcanic')",horizontal,
text,other_volc_structure,Other,,false,"selected(${structure_volcanic}, 'other') and selected(${rock_class}, 'volcanic')",,
text,notes_volcanic,Notes,,false,"selected(${rock_class}, 'volcanic')",,
end_group,,,,,,,
begin_group,group_qo15y35,Metamorphic,,,,,
select_multiple xp5gu05,rock_type_metamorphic,Rock Type,,false,"selected(${rock_class}, 'metamorphic')",horizontal-compact,
select_multiple zw3kc97,more_options_met_rks,More options,,false,"selected(${rock_type_metamorphic}, 'more_options') and selected(${rock_class}, 'metamorphic')",horizontal-compact,
text,other_met_rocks,Other,,false,"selected(${more_options_met_rks}, 'other') and selected(${rock_class}, 'metamorphic')",,
select_one zt6bn36,protolith,Protolith,,false,"selected(${rock_class}, 'metamorphic')",horizontal-compact,
text,other_protolith,Other,,false,"${protolith} = 'other' and selected(${rock_class}, 'metamorphic')",,
select_multiple kt0dp56,facies,Facies,,false,"selected(${rock_class}, 'metamorphic')",horizontal-compact,
text,other_facies_001,Other,,false,"selected(${facies}, 'other') and selected(${rock_class}, 'metamorphic')",,
select_multiple nw3zz67,zone,Zone,,false,"selected(${rock_class}, 'metamorphic')",horizontal-compact,
text,other_zone,Other,,false,"selected(${zone}, 'other') and selected(${rock_class}, 'metamorphic')",,
text,notes_metamorphic,Notes,,false,"selected(${rock_class}, 'metamorphic')",,
end_group,,,,,,,
begin_group,group_pc7si98,"Alteration,Ore",,,,,
select_one uq4ie19,ore_type,Rock Type,"Alteration, Ore Rock type",false,"selected(${rock_class}, 'alteration__or')",horizontal-compact,
text,other_alteration_type,Other,,false,${ore_type} = 'other',,
select_multiple xa5un89,hydrothermal_alteration,Hydrothermal Alteration,,false,"selected(${rock_class}, 'alteration__or')",horizontal-compact,
text,other_hydrothermal_alteration,Other,,false,"selected(${hydrothermal_alteration}, 'other')",,
text,host_rock,Host Rock,,false,"selected(${rock_class}, 'alteration__or')",,
text,magmatic_fluid_source,Magmatic fluid source,,false,"selected(${rock_class}, 'alteration__or')",,
text,mineralized_elements,Mineralized elements,,false,"selected(${rock_class}, 'alteration__or')",,
text,notes_ore,Notes,,false,"selected(${rock_class}, 'alteration__or')",,
end_group,,,,,,,
calculate,__version__,,,,,,'vXKnPmkYo8974RBZvniAmy'
