type,name,label,hint,required,relevant,appearance,calculation,$given_name
start,start,,,,,,,
end,end,,,,,,,
select_multiple hc7ju75,rock_type,Rock Type,,false,,,,
select_one bt7xf34,grain_size,Grain size,,false,"selected(${rock_type}, 'igneous')",,,
text,specify,Specify,Describe the grain size distribution,false,${grain_size} = 'other' or ${grain_size} = 'bimodal',multiline,,
text,p_t_d_history,P-T-d history,,false,,multiline,,
select_multiple io9by25,fabric_type,Fabric type,Which option best describes the rock fabric?,false,,horizontal-compact,,
text,other_char_fab_type,Other characterization,,false,"selected(${fabric_type}, 'other')",multiline,,
text,compositional_banding,Compositional segregation,Minerals that define segregation:,false,"selected(${fabric_type}, 'comp_seg')",multiline,,
text,mineral_alignment,Mineral alignment,Mineral(s) that are aligned:,false,"selected(${fabric_type}, 'min_align')",,,
text,shape_fabric,Shape fabric,Objects that define shape fabric:,false,"selected(${fabric_type}, 'shape_fabric')",multiline,,
select_multiple lg33p50,structural_fabric,Structural fabric,,false,"selected(${fabric_type}, 'structural')",,,
text,other_char_str_fab,Other characterization,,false,"selected(${structural_fabric}, 'other')",multiline,,
select_one fk2vt22,mullion_type,Type of mullion,,false,"selected(${structural_fabric}, 'mullions')",,,
select_one zb5mg25,boudin_type,Type of boudin,,false,"selected(${structural_fabric}, 'boudinage')",,,
select_multiple sh7va84,dep_feature,Relict sedimentary type,,false,"selected(${fabric_type}, 'relict_sed')",,,
text,other_char_dep_ft,Other characterization,,false,"selected(${dep_feature}, 'other')",,,
select_one au84l98,tectonite_type,Tectonite classification,,false,,horizontal-compact,,
text,other_char_tectonite,Other characterization,,false,${tectonite_type} = 'other',multiline,,
select_one od5db20,feature_type,Rock type fabric classification,What kind of rock fabric?,false,,,,
select_one xh8wg60,volcanic_fabric,Volcanic fabric,,false,${feature_type} = 'volcanic_fab',,,
text,other_char_vol_fab,Other characterization,Describe the volcanic fabric:,false,${volcanic_fabric} = 'other',multiline,,
select_one bd9hs93,plutonic_fabric,Plutonic fabric,,false,${feature_type} = 'plutonic_fab',,,
text,other_char_pluton_fab,Other characterization,Describe the plutonic fabric:,false,${plutonic_fabric} = 'other',multiline,,
text,phenocryst_type,Phenocryst type,,false,${plutonic_fabric} = 'phenocrystic',multiline,,
select_one cu0oa56,meta_fabric,Metamorphic fabric,,false,${feature_type} = 'meta_fab',,,
text,defining_min,Mineral(s) that defines?,List or describe mineral(s) that define the fabric:,false,${meta_fabric} = 'poikiloblastic' or ${meta_fabric} = 'blast_clast',multiline,,
select_multiple ab5ut47,dep_feature_type,Depositional feature type,,false,${meta_fabric} = 'dep_feature',,,
text,other_char_dep_feature,Other characterization,,false,"selected(${dep_feature_type}, 'other')",multiline,,
text,other_char_met_fab,Other characterization,,false,${meta_fabric} = 'other_met_fab',multiline,,
select_one nd9ma63,brittle_cataclastic,Rock cohesion,,false,${feature_type} = 'fault_rock',,,
select_one rk0jp26,fault_rock,Rock foliation,,false,${brittle_cataclastic} = 'incohesive' or ${brittle_cataclastic} = 'cohesive',,,
