list_name,name,label,order
ui7ey60,plutonic,plutonic,
ui7ey60,volcanic,volcanic,
ui7ey60,metamorphic,metamorphic,
ui7ey60,alteration__or,"alteration, ore",
ui7ey60,complete_miner,complete mineral list,
xw9ln13,amphibole,amphibole,
xw9ln13,augite,augite,
xw9ln13,biotite,biotite,
xw9ln13,clinopyroxene,clinopyroxene,
xw9ln13,garnet,garnet,
xw9ln13,hornblende,hornblende,
xw9ln13,hypersthene,hypersthene,
xw9ln13,illmenite,illmenite,
xw9ln13,leucite,leucite,
xw9ln13,magnetite,magnetite,
xw9ln13,muscovite,muscovite,
xw9ln13,nepheline,nepheline,
xw9ln13,olivine,olivine,
xw9ln13,orthopyroxene,orthopyroxene,
xw9ln13,plagioclase,plagioclase,
xw9ln13,quartz,quartz,
xw9ln13,sanidine,sanidine,
xw9ln13,titanite,titanite,
rn6qh22,actinolite,actinolite,0
rn6qh22,andalusite,andalusite,1
rn6qh22,biotite,biotite,2
rn6qh22,calcite,calcite,3
rn6qh22,chlorite,chlorite,4
rn6qh22,chloritoid,chloritoid,5
rn6qh22,chromite,chromite,6
rn6qh22,clinopyroxene,clinopyroxene,7
rn6qh22,cordierite,cordierite,8
rn6qh22,corundum,corundum,9
rn6qh22,diopside,diopside,10
rn6qh22,dolomite,dolomite,11
rn6qh22,epidote,epidote,12
rn6qh22,garnet,garnet,13
rn6qh22,graphite,graphite,14
rn6qh22,grossular_garn,grossular garnet,15
rn6qh22,hornblende,hornblende,16
rn6qh22,k_feldspar,K-feldspar,17
rn6qh22,kyanite,kyanite,18
rn6qh22,muscovite,muscovite,19
rn6qh22,olivine,olivine,20
rn6qh22,orthopyroxene,orthopyroxene,21
rn6qh22,plagioclase,plagioclase,22
rn6qh22,quartz,quartz,23
rn6qh22,serpentine,serpentine,24
rn6qh22,silimanite,sillimanite,25
rn6qh22,spinel,spinel,26
rn6qh22,staurolite,staurolite,27
rn6qh22,talc,talc,28
rn6qh22,tremolite,tremolite,29
rn6qh22,vesuvianite,vesuvianite,30
rn6qh22,wollastonite,wollastonite,31
ed0jl59,albite,albite,0
ed0jl59,allanite,allanite,1
ed0jl59,amphibole,amphibole,2
ed0jl59,apatite,apatite,3
ed0jl59,augite,augite,4
ed0jl59,biotite,biotite,5
ed0jl59,chromite,chromite,6
ed0jl59,clinopyroxene,clinopyroxene,7
ed0jl59,garnet,garnet,8
ed0jl59,horblende,horblende,9
ed0jl59,hypersthene,hypersthene,10
ed0jl59,illmenite,illmenite,11
ed0jl59,k_feldspar__or,"K-feldspar, orthoclase, microcline",12
ed0jl59,leucite,leucite,13
ed0jl59,magnetite,magnetite,14
ed0jl59,muscovite,muscovite,15
ed0jl59,nepheline,nepheline,16
ed0jl59,olivine,olivine,17
ed0jl59,orthopyroxene,orthopyroxene,18
ed0jl59,plagioclase,plagioclase,19
ed0jl59,quartz,quartz,20
ed0jl59,spinel,spinel,21
ed0jl59,titanite,titanite,22
ed0jl59,tourmaline,tourmaline,23
ed0jl59,zircon,zircon,24
oc3sm82,calcite,calcite,
oc3sm82,chlorite,chlorite,
oc3sm82,clay,clay,
oc3sm82,epidote,epidote,
oc3sm82,fe_oxide,Fe oxide,
oc3sm82,limonite,limonite,
oc3sm82,pyrite,pyrite,
oc3sm82,zeolite,zeolite,
zb4mp25,acmite,acmite,10
zb4mp25,actinolite,actinolite,12
zb4mp25,albite,albite,14
zb4mp25,allanite,allanite,18
zb4mp25,amphibole,amphibole,19
zb4mp25,andalusite,andalusite,30
zb4mp25,anhydrite,anhydrite,41
zb4mp25,antigorite,antigorite,52
zb4mp25,apatite,apatite,
zb4mp25,augite,augite,
zb4mp25,beryl,beryl,
zb4mp25,biotite,biotite,
zb4mp25,calcite,calcite,
zb4mp25,chalcopyrite,chalcopyrite,
zb4mp25,chlorite,chlorite,
zb4mp25,chloritoid,chloritoid,
zb4mp25,chromite,chromite,
zb4mp25,chrysotile,chrysotile,
zb4mp25,clay,clay,
zb4mp25,clinopyroxene,clinopyroxene,
zb4mp25,cordierite,cordierite,
zb4mp25,corundum,corundum,
zb4mp25,cr_diopside,Cr-diopside,
zb4mp25,diamond,diamond,
zb4mp25,diopside,diopside,
zb4mp25,dolomite,dolomite,
zb4mp25,epidote,epidote,
zb4mp25,fe oxide,Fe oxide,
zb4mp25,galena,galena,
zb4mp25,garnet,garnet,
zb4mp25,goethite,goethite,
zb4mp25,graphite,graphite,
zb4mp25,grossular_garn,grossular garnet,
zb4mp25,hornblende,hornblende,
zb4mp25,hypersthene,hypersthene,
zb4mp25,ilmenite,ilmenite,
zb4mp25,kaersutite,kaersutite,
zb4mp25,k_feldspar,K-feldspar,
zb4mp25,kyanite,kyanite,
zb4mp25,lepidolite,lepidolite,
zb4mp25,leucite,leucite,
zb4mp25,limonite,limonite,
zb4mp25,lizardite,lizardite,
zb4mp25,mag_hbnd,magnesio-hornblende,
zb4mp25,magnetite,magnetite,
zb4mp25,melilite,melilite,
zb4mp25,microcline,microcline,
zb4mp25,monazite,monazite,
