list_name,name,label,order
ui7ey60,plutonic,plutonic,
ui7ey60,volcanic,volcanic,
ui7ey60,metamorphic,metamorphic,
ui7ey60,alteration_ore,"alteration, ore",
ui7ey60,complete_miner,complete mineral list,
xw9ln13,amphibole,amphibole,0
xw9ln13,augite,augite,1
xw9ln13,biotite,biotite,2
xw9ln13,clinopyroxene,clinopyroxene,3
xw9ln13,garnet,garnet,4
xw9ln13,hematite,hematite,5
xw9ln13,hornblende,hornblende,6
xw9ln13,hypersthene,hypersthene,7
xw9ln13,illmenite,illmenite,8
xw9ln13,leucite,leucite,9
xw9ln13,magnetite,magnetite,10
xw9ln13,muscovite,muscovite,11
xw9ln13,nepheline,nepheline,12
xw9ln13,olivine,olivine,13
xw9ln13,orthopyroxene,orthopyroxene,14
xw9ln13,plagioclase,plagioclase,15
xw9ln13,quartz,quartz,16
xw9ln13,sanidine,sanidine,17
xw9ln13,titanite,titanite,18
rn6qh22,actinolite,actinolite,0
rn6qh22,andalusite,andalusite,1
rn6qh22,antigorite,antigorite,2
rn6qh22,biotite,biotite,3
rn6qh22,calcite,calcite,4
rn6qh22,chlorite,chlorite,5
rn6qh22,chloritoid,chloritoid,6
rn6qh22,chromite,chromite,7
rn6qh22,chrysotile,chrysotile,8
rn6qh22,clinopyroxene,clinopyroxene,9
rn6qh22,clinozoisite,clinozoisite,10
rn6qh22,cordierite,cordierite,11
rn6qh22,corundum,corundum,12
rn6qh22,diopside,diopside,13
rn6qh22,dolomite,dolomite,14
rn6qh22,epidote,epidote,15
rn6qh22,fluorite,fluorite,16
rn6qh22,garnet,garnet,17
rn6qh22,glaucophane,glaucophane,18
rn6qh22,graphite,graphite,19
rn6qh22,grossular_garn,grossular garnet,20
rn6qh22,hematite,hematite,21
rn6qh22,hornblende,hornblende,22
rn6qh22,jadeite,jadeite,23
rn6qh22,k_feldspar,K-feldspar,24
rn6qh22,kyanite,kyanite,25
rn6qh22,lawsonite,lawsonite,26
rn6qh22,lizardite,lizardite,27
rn6qh22,mg_hornblende,magnesio-hornblende,28
rn6qh22,muscovite,muscovite,29
rn6qh22,olivine,olivine,30
rn6qh22,omphascie,omphacite,31
rn6qh22,anthoplyllite,orthoamphibole (anthophyllite),32
rn6qh22,gederite,orthoamphibole (gederite),33
rn6qh22,orthopyroxene,orthopyroxene,34
rn6qh22,piemontite,piemontite,35
rn6qh22,plagioclase,plagioclase,36
rn6qh22,pumpellyite,pumpellyite,37
rn6qh22,pyprophyllite,pyrophyllite,38
rn6qh22,quartz,quartz,39
rn6qh22,sapphirine,sapphirine,40
rn6qh22,serpentine,serpentine,41
rn6qh22,silimanite,sillimanite,42
rn6qh22,spinel,spinel,43
rn6qh22,staurolite,staurolite,44
rn6qh22,talc,talc,45
rn6qh22,tremolite,tremolite,46
rn6qh22,vesuvianite,vesuvianite,47
rn6qh22,wollastonite,wollastonite,48
rn6qh22,zoisite,zoisite,49
ed0jl59,aegirine,aegirine,0
ed0jl59,albite,albite,1
ed0jl59,allanite,allanite,2
ed0jl59,amphibole,amphibole,3
ed0jl59,apatite,apatite,4
ed0jl59,augite,augite,5
ed0jl59,biotite,biotite,6
ed0jl59,chromite,chromite,7
ed0jl59,clinopyroxene,clinopyroxene,8
ed0jl59,fluorite,fluorite,9
ed0jl59,garnet,garnet,10
ed0jl59,hematite,hematite,11
ed0jl59,hornblende,hornblende,12
ed0jl59,hypersthene,hypersthene,13
ed0jl59,illmenite,illmenite,14
ed0jl59,k_feldspar,K-feldspar,15
ed0jl59,leucite,leucite,16
ed0jl59,magnetite,magnetite,17
ed0jl59,microcline,microcline,18
ed0jl59,muscovite,muscovite,19
ed0jl59,nepheline,nepheline,20
ed0jl59,olivine,olivine,21
ed0jl59,orthoclase,orthoclase,22
ed0jl59,orthopyroxene,orthopyroxene,23
ed0jl59,plagioclase,plagioclase,24
ed0jl59,quartz,quartz,25
ed0jl59,spinel,spinel,26
ed0jl59,titanite,titanite,27
ed0jl59,tourmaline,tourmaline,28
ed0jl59,zircon,zircon,29
oc3sm82,azurite,azurite,0
oc3sm82,brucite,brucite,1
oc3sm82,calcite,calcite,2
oc3sm82,chlorite,chlorite,3
oc3sm82,clay,clay,4
oc3sm82,epidote,epidote,5
oc3sm82,fe_oxide,Fe oxide,6
oc3sm82,fluorite,fluorite,7
oc3sm82,hematite,hematite,8
oc3sm82,limonite,limonite,9
oc3sm82,malachite,malachite,10
oc3sm82,marcasite,marcasite,11
oc3sm82,molybdenite,molybdenite,12
oc3sm82,piemontite,piemontite,13
oc3sm82,pyrite,pyrite,14
oc3sm82,pyrophylite,pyrophyllite,15
oc3sm82,zeolite,zeolite,16
zb4mp25,actinolite,actinolite,0
zb4mp25,aegirine,aegirine,1
zb4mp25,albite,albite,2
zb4mp25,allanite,allanite,3
zb4mp25,amphibole,amphibole,4
zb4mp25,andalusite,andalusite,5
zb4mp25,anhydrite,anhydrite,6
zb4mp25,antigorite,antigorite,7
zb4mp25,apatite,apatite,8
zb4mp25,augite,augite,9
