type,name,label,hint,required,relevant,constraint,appearance,calculation
start,start,,,,,,,
end,end,,,,,,,
text,mineral_abbrev,Mineral Name Abbreviation,Enter mineral name abbreviation,false,,,,
text,full_mineral_name,Full Mineral Name,Enter full mineral name,false,,,,
select_one tg2fy55,habit,Habit,,false,,,,
text,other_habit,Other,,false,${habit} = 'other',,,
select_one oz3ot82,complete_habit_list,Complete Habit list,,false,${habit} = 'complete_habit_list',,,
select_multiple qt9di73,textural_setting_igneous,Textural Setting - Igneous,"If mineral is in igneous rock, choose textural setting",false,,,,
text,other_textural_igneous,Other,,false,"selected(${textural_setting_igneous}, 'other')",,,
select_multiple bv8rk19,textural_setting_metamorphic,Textural Setting - Metamorphic/Structural,"If mineral is metamorphic, or displays structural significance, choose textural setting",false,,,,
text,other_textural_setting_metamor,Other ,,false,"selected(${textural_setting_metamorphic}, 'other')",,,
decimal,average_grain_size_mm,Average Grain Size (mm),,false,,,,
decimal,maximum_grain_size_mm,Maximum Grain Size (mm),,false,,,,
decimal,modal,Modal %,,false,,. <= 100 and . > 0,,
text,mineral_notes,Mineral Notes,,false,,,multiline,
calculate,_version,,,false,,,,'vz3ZQiUYMWhSKqG937DgJQ'
calculate,__version__,,,,,,,'v6CCGEDEq554FvsmpFhJDG'
