type,name,label,required,relevant,appearance,calculation
start,start,,,,,
end,end,,,,,
begin_group,group_su6pb38,Mineral 1,,,,
text,enter_abbreviation_or_full_min,Enter full mineral name,false,,,
text,Enter_Abbv,Enter Mineral name abbreviation,false,,,
select_multiple ui7ey60,Select_from_list,Select from list,false,${enter_abbreviation_or_full_min} = '' and ${Enter_Abbv} = '',,
select_one xw9ln13,volcanic_mineral_list,Volcanic Mineral List,false,"selected(${Select_from_list}, 'volcanic')",horizontal-compact,
select_one rn6qh22,metamorphic_mineral_list,Metamorphic Mineral List,false,"selected(${Select_from_list}, 'metamorphic')",horizontal-compact,
select_one ed0jl59,plutonic_mineral_list,Plutonic Mineral List,false,"selected(${Select_from_list}, 'plutonic')",horizontal-compact,
select_one oc3sm82,alteration_ore_minerals,"Alteration, Ore Minerals",false,"selected(${Select_from_list}, 'alteration__or')",horizontal-compact,
select_one zb4mp25,complete_minerals_list,Complete Minerals List,false,"selected(${Select_from_list}, 'complete_miner')",horizontal-compact,
note,note_for_developers_we_would,"Note for developers: we would like the full mineral name displayed, with chemical formula, once they have selected the mineral from a list or entered the mineral abbreviation.",false,,,
select_one tg2fy55,habit,Habit,false,,horizontal-compact,
text,Other_habit,Other,false,${habit} = 'other',,
select_one oz3ot82,Complete_Habit_list,Complete Habit list,false,${habit} = 'complete_habit_list',horizontal-compact,
select_multiple qt9di73,Textural_Setting_Igneous,Textural Setting - Igneous,false,,horizontal-compact,
text,Other_Textural_Igneous,Other,false,"selected(${Textural_Setting_Igneous}, 'other')",,
select_multiple bv8rk19,textural_setting,Textural Setting - Metamorphic/Structural,false,,horizontal-compact,
text,other_textural_setting_metamor,Other ,false,"selected(${textural_setting}, 'other')",,
decimal,average_grain_size_mm,Average Grain Size (mm),false,,,
decimal,minimum_grain_size_mm,Minimum Grain Size (mm),false,,,
decimal,maximum_grain_size_mm,Maximum Grain Size (mm),false,,,
decimal,modal,Modal %,false,,,
text,mineral_notes,Mineral Notes,false,,,
end_group,,,,,,
calculate,_version,,false,,,'vz3ZQiUYMWhSKqG937DgJQ'
calculate,__version__,,,,,'vxyirDCUn8Jqauk9WaCT59'
