type,name,label,hint,required,relevant,appearance,calculation
start,start,,,,,,
end,end,,,,,,
select_multiple hc7ju75,rock_type,Rock Type,,false,,,
select_multiple tf05s47,igneous_rock_class,Igneous Rock Class,,false,"selected(${rock_type}, 'igneous')",,
begin_group,group_ut73c28,Plutonic,,false,"selected(${igneous_rock_class}, 'plutonic')",,
select_multiple vb8zj01,plutonic_rock_type,Plutonic Rock Type,Specific plutonic rock type,false,"selected(${igneous_rock_class}, 'plutonic')",horizontal-compact,
text,other_plutonic,Other,,false,"selected(${plutonic_rock_type}, 'other')",,
decimal,color_index_pluton,Color Index,,false,"selected(${igneous_rock_class}, 'plutonic')",,
select_one nx1fj58,color_index_source_pluton,Color Index Source,,false,"selected(${igneous_rock_class}, 'plutonic')",,
select_multiple cm8zx92,occurence_plutonic,Occurence,,false,"selected(${igneous_rock_class}, 'plutonic')",horizontal-compact,
text,other_occurence_plutonic,Other,,false,"selected(${occurence_plutonic}, 'other')",,
select_multiple ug9ia66,texture_plutonic,Texture,,false,"selected(${igneous_rock_class}, 'plutonic')",horizontal-compact,
text,other_texture_plutonic,Other,,false,"selected(${texture_plutonic}, 'other')",,
integer,pluton_characteristic_size_of,"Characteristic size of crystals, mm",,false,"selected(${igneous_rock_class}, 'plutonic')",,
select_multiple pt2tr54,alteration_plutonic,Modification ,,false,"selected(${igneous_rock_class}, 'plutonic')",horizontal-compact,
text,other_modification_plutonic,Other,,false,"selected(${alteration_plutonic}, 'other')",,
text,notes_plutonic,Notes,,false,"selected(${igneous_rock_class}, 'plutonic')",multiline,
end_group,,,,,,,
begin_group,group_sk5wf47,Volcanic,,false,"selected(${igneous_rock_class}, 'volcanic')",,
select_multiple hr56r07,volcanic_rock_type,Volcanic Rock Type,Specific volcanic rock type,false,"selected(${igneous_rock_class}, 'volcanic')",horizontal-compact,
text,other_volcanic_rocks,Other,,false,"selected(${volcanic_rock_type}, 'other')",,
select_multiple ez5mj87,occurence_volcanic,Occurence,,false,"selected(${igneous_rock_class}, 'volcanic')",horizontal-compact,
text,other_occurance_volcanic,Other,,false,"selected(${occurence_volcanic}, 'other')",,
select_multiple jx1rw50,texture_volcanic,Texture,,false,"selected(${igneous_rock_class}, 'volcanic')",horizontal-compact,
text,plutonic_texture_other,Other,,false,"selected(${texture_volcanic}, 'other')",,
decimal,color_index_volc,Color Index,,false,"selected(${igneous_rock_class}, 'volcanic')",,
select_one nx1fj58,color_index_source_volc,Color Index Source,,false,"selected(${igneous_rock_class}, 'volcanic')",,
integer,vol_characteristic_size_of_cry,"Characteristic size of crystals, mm",,false,"selected(${igneous_rock_class}, 'volcanic')",,
select_multiple kc4rs46,structure_volcanic,Structure,,false,"selected(${igneous_rock_class}, 'volcanic')",horizontal,
text,other_volc_structure,Other,,false,"selected(${structure_volcanic}, 'other')",,
select_multiple pt2tr54,alteration_volcanic,Modification ,,false,"selected(${igneous_rock_class}, 'volcanic')",horizontal-compact,
text,other_modification_volcanic,Other,,false,"selected(${alteration_volcanic}, 'other')",,
text,notes_volcanic,Notes,,false,"selected(${igneous_rock_class}, 'volcanic')",multiline,
end_group,,,,,,,
begin_group,group_qo15y35,Metamorphic,,false,"selected(${rock_type}, 'metamorphic')",,
select_multiple zw3kc97,metamorphic_rock_type,Metamorphic Rock Type,Specific metamorphic rock type,false,"selected(${rock_type}, 'metamorphic')",horizontal-compact,
text,other_met_rocks,Other,,false,"selected(${metamorphic_rock_type}, 'other')",,
select_one zt6bn36,protolith,Protolith,Metamorphic protolith,false,"selected(${rock_type}, 'metamorphic')",horizontal-compact,
text,other_protolith,Other,,false,${protolith} = 'other',,
select_multiple kt0dp56,facies,Facies,,false,"selected(${rock_type}, 'metamorphic')",horizontal-compact,
text,other_facies,Other,,false,"selected(${facies}, 'other')",,
select_multiple nw3zz67,zone,Zone,,false,"selected(${rock_type}, 'metamorphic')",horizontal-compact,
text,other_zone,Other,,false,"selected(${zone}, 'other')",,
text,notes_metamorphic,Notes,,false,"selected(${rock_type}, 'metamorphic')",multiline,
end_group,,,,,,,
begin_group,group_pc7si98,"Alteration,Ore",,false,"selected(${rock_type}, 'alteration_or')",,
select_one uq4ie19,ore_type,"Alteration, Ore Rock Type",Specific alteration/ore rock type,false,"selected(${rock_type}, 'alteration_or')",horizontal-compact,
text,other_alteration_type,Other,,false,${ore_type} = 'other',,
select_multiple xa5un89,hydrothermal_alteration,Hydrothermal Alteration,Hydrothermal alteration type,false,"selected(${rock_type}, 'alteration_or')",horizontal-compact,
text,other_hydrothermal_alteration,Other,,false,"selected(${hydrothermal_alteration}, 'other')",,
text,alteration_host_rock,Host Rock,,false,"selected(${rock_type}, 'alteration_or')",,
text,magmatic_fluid_source,Magmatic fluid source,,false,"selected(${rock_type}, 'alteration_or')",,
text,mineralized_elements,Mineralized Elements,,false,"selected(${rock_type}, 'alteration_or')",,
text,notes_ore,Notes,,false,"selected(${rock_type}, 'alteration_or')",multiline,
end_group,,,,,,,
calculate,__version__,,,,,,'vKprkcEcvzP5uLmPhy7WWx'
