list_name,name,label,order
qt5nd15,5,5 - excellent,0
qt5nd15,4,4,1
qt5nd15,3,3,2
qt5nd15,2,2,3
qt5nd15,1,1 - poor,4
yy6na02,bedding,bedding,0
yy6na02,contact,contact,1
yy6na02,foliation,foliation,2
yy6na02,fracture,fracture,3
yy6na02,fault,fault,4
yy6na02,vein,vein,5
yy6na02,shear_zone,shear zone,6
yy6na02,shear_zone_bou,shear zone boundary,7
yy6na02,fold_axial_surface,fold axial surface,8
yy6na02,plane_of_boudinage,plane of boudinage,9
yy6na02,plane_of_mullions,plane of mullions,10
yy6na02,other,other,11
ry4pa50,lithologic_cha,lithologic change,
ry4pa50,sedimentary_fe,sedimentary feature,
lx9ax28,stratigraphic,stratigraphic,0
lx9ax28,alluvial,alluvial,1
lx9ax28,unconformity,unconformity,2
lx9ax28,angular_unconf,angular unconformity,3
lx9ax28,nonconformity,nonconformity,5
lx9ax28,disconformity,disconformity,6
lx9ax28,volcanic,volcanic,
lx9ax28,other_depositional_contact,other depositional,
lx9ax28,dike,dike,
lx9ax28,sill,sill,
lx9ax28,pluton,pluton,
lx9ax28,migmatite,migmatite,
lx9ax28,injectite,injectite,
lx9ax28,other_igneous,other igneous,
lx9ax28,boundary_of_metamorphic_rocks,boundary of metamorphic rock,
lx9ax28,isograd,isograd,
lx9ax28,other_metamorp,other metamorphic,
lx9ax28,other,other,
lx9ax28,unknown,unknown,
vn7df87,cleavage,cleavage,0
vn7df87,slatey_cleavage,slatey cleavage,1
vn7df87,phyllitic_cleavage,phyllitic cleavage,2
vn7df87,crenulation_cl,crenulation cleavage,3
vn7df87,phacoidal,phacoidal (lenticular),4
vn7df87,schistosity,schistosity,5
vn7df87,planar_schistosity,planar schistosity,6
vn7df87,anast_schistos,anastomosing schistosity,7
vn7df87,gneissic_folia,gneissic foliation,8
vn7df87,mineral_alignm,mineral alignment,9
vn7df87,comp_banding,compositional banding,10
vn7df87,deformed_marker,deformed marker,11
vn7df87,mylonitic_foliation,mylonitic foliation,12
vn7df87,s_plane,S plane,13
vn7df87,c_plane,C plane,14
vn7df87,c__or_extensional_plane,C' or extensional plane,15
vn7df87,protomylonite,protomylonite,16
vn7df87,mylonite,mylonite,17
vn7df87,ultramylonite,ultramylonite,18
vn7df87,gouge,gouge,19
vn7df87,cataclasite,cataclasite,20
vn7df87,solid_state_mineral_alignment,solid-state mineral alignment,21
vn7df87,magmatic_mineral_alignment,magmatic mineral alignment,22
vn7df87,migmatitic,migmatite foliation,23
vn7df87,migmatitic_mineral_alignment,migmatitic mineral alignment,24
vn7df87,mineral_elongation,mineral elongation,25
vn7df87,compaction,compaction,26
vn7df87,soft_sediment,soft sediment,27
vn7df87,stylolites,stylolites,28
vn7df87,slickolites,slickolites,29
vn7df87,other,other,30
gz3mh75,joint,joint,
gz3mh75,opening_mode,opening mode,
