list_name,name,label,order
to0mv13,fabric___micro,fabric / microstructure,
to0mv13,petrology,petrology,1
to0mv13,geochronology,geochronology,2
to0mv13,geochemistry,geochemistry,3
to0mv13,active_eruptio,active eruption,4
to0mv13,micro_beam,microbeam,5
to0mv13,particle_size,particle size,6
to0mv13,dre_density,DRE density,7
to0mv13,clast_density,clast density,8
to0mv13,particle_shape,particle shape,9
to0mv13,cryptotephra,cryptotephra,10
to0mv13,other,other,11
nn0jd25,measured_area,measured-area (MPUA),
nn0jd25,bulk,bulk,
nn0jd25,time_increment,time-incremental,
ue6mw51,mm,mm,
ue6mw51,cm,cm,
ue6mw51,m,m,
ue6mw51,in,in,
ue6mw51,ft,ft,
jq8qd30,intact_rock,intact rock,
jq8qd30,fragmented_roc,fragmented rock,1
jq8qd30,sediment,sediment,2
jq8qd30,tephra,tephra,3
jq8qd30,carbon_or_animal,carbon or animal,4
jq8qd30,other,other,5
za9kv60,debris_flow,debris flow,
za9kv60,tephra_fall,tephra fall,
za9kv60,pyroclastic_flow,pyroclastic flow,
za9kv60,pyroclastic_surge,pyroclastic surge,
za9kv60,lava,lava,
za9kv60,gas,gas,
za9kv60,intrusion,intrusion,
za9kv60,regolith,regolith,
za9kv60,diamict,diamict,
za9kv60,other,other,
si9ei43,bulk,bulk,
si9ei43,juvenile,juvenile,
si9ei43,matrix,matrix,
si9ei43,pumice,pumice,
si9ei43,scoria,scoria,
si9ei43,lithic,lithic,
si9ei43,block_or_bomb,block or bomb,
si9ei43,channel,channel,
si9ei43,other,other,
fc6dz57,5___definitely,5 - definitely in place,
fc6dz57,4,4,
fc6dz57,3,3,
fc6dz57,2,2,
fc6dz57,1___float,1 - float,
hz9zw76,yes,Yes,
hz9zw76,no,No,
sl0bq45,5___fresh,5 - fresh,
sl0bq45,4,4,
sl0bq45,3,3,
sl0bq45,2,2,
sl0bq45,1___highly_wea,1 - highly weathered,
