type,name,label,hint,required,relevant,constraint_message,appearance,calculation,$given_name
start,start,,,,,,,,
end,end,,,,,,,,
text,label,Label,If a label is not specified a default label will be given.,false,,,,,
text,sample_id_name,Sample Specific ID/Name,,false,,,,,
select_one to0mv13,main_sampling_purpose,Main Sampling Purpose,,false,,,,,
text,source_vent,Source Vent,,false,${main_sampling_purpose} = 'active_eruptio',,,,
text,eruption_start_datetime_utc,Start Date/Time (UTC),Use the pattern yyyy-mm-ddThh:mm:ssZ,false,${main_sampling_purpose} = 'active_eruptio',Must use the pattern yyyy-mm-ddThh:mm:ssZ,,,
text,eruption_end_datetime_utc,End Date/Time (UTC),Use the pattern yyyy-mm-ddThh:mm:ssZ,false,${main_sampling_purpose} = 'active_eruptio',Must use the pattern yyyy-mm-ddThh:mm:ssZ,,,
text,weather_conditions,Describe weather conditions during tephra fall,,false,${main_sampling_purpose} = 'active_eruptio',,,,
text,sampling_surface,Sampling Surface,,false,${main_sampling_purpose} = 'active_eruptio',,,,
select_multiple nn0jd25,type_of_sampling,Type of Sampling,,false,${main_sampling_purpose} = 'active_eruptio',,,,
text,area_of_surface_sampled_m2,Area of Surface Sampled (m2),,false,"selected(${type_of_sampling}, 'measured_area')",,,,
text,mass_g_of_sample,Mass (g) of Sample,,false,"selected(${type_of_sampling}, 'measured_area')",,,,
text,sample_method_description,Sample Method Description,,false,${main_sampling_purpose} = 'active_eruptio',,,,
text,number_of_samples_taken,Number of Samples Taken,,false,${main_sampling_purpose} = 'active_eruptio',,,,
text,deposit_thickness,Deposit Thickness,,false,,,,,
select_one ue6mw51,deposit_thickness_units,Deposit Thickness Units,,false,${main_sampling_purpose} = 'active_eruptio',,,,
text,sample_description,Sample Description,,false,,,,,
select_one jq8qd30,material_type,Material Type,,false,,,,,
text,sample_type,Sample Type,,false,${material_type} = 'tephra',,,,
text,color,Color,,false,${material_type} = 'tephra',,,,
text,lithology,Lithology,,false,${material_type} = 'tephra',,,,
text,sample_unit,Sample Unit,,false,${material_type} = 'tephra',,,,
text,other_material_type,Other Material Type,,true,${material_type} = 'other',,,,
select_one fc6dz57,inplaceness_of_sample,Inplaceness of Sample,,false,,,,,
select_one hz9zw76,oriented_sample,Oriented Sample,,false,,,,,
text,sample_orientation_notes,Sample Orientation Notes,,false,${oriented_sample} = 'yes',,multiline,,
text,sample_size,Sample Size,,false,,,,,
text,other_sampling_purpose,Other Sampling Purpose,,true,${main_sampling_purpose} = 'other',,,,
select_one sl0bq45,degree_of_weathering,Degree of Weathering,,false,,,,,
text,sample_notes,Sample Notes,,false,,,multiline,,
calculate,__version__,,,false,,,,'va7DMmTtZp3ZiCJQCdxQpL',
calculate,_version_,,,,,,,'vG5bNrScHfpvLgAnVZEAuK',__version__
