list_name,name,label,order
xt05j55,clastic,clastic,
xt05j55,carbonate,carbonate,1
xt05j55,mixed_clastic,mixed clastic/carbonate,2
xt05j55,weathering_pro,weathering profile,3
xt05j55,unexposed,unexposed/covered,4
jv85i54,clay,clay,
jv85i54,mud,mud,
jv85i54,silt,silt,
jv85i54,sand_v_fine,sand - very fine,
jv85i54,sand_fine_lwr,sand - fine lower,
jv85i54,sand_fine_upr,sand - fine upper,
jv85i54,sand_med_lwr,sand - medium lower,
jv85i54,sand_med_upr,sand - medium upper,
jv85i54,sand_coar_lwr,sand - coarse lower,
jv85i54,sand_coar_upr,sand - coarse upper,
jv85i54,sand_v_coar,sand - very coarse,
jv85i54,granule,granule,
jv85i54,pebble,pebble,
jv85i54,cobble,cobble,
jv85i54,boulder,boulder,
cv5pj14,mudstone,Mudstone,
cv5pj14,wackestone,Wackestone,
cv5pj14,packstone,Packstone,
cv5pj14,grainstone,Grainstone,
cv5pj14,boundstone,Boundstone,
cv5pj14,cementstone,Cementstone,
cv5pj14,recrystallized,Recrystallized,
cv5pj14,floatstone,Floatstone,
cv5pj14,rudstone,Rudstone,
cv5pj14,framestone,Framestone,
cv5pj14,bafflestone,Bafflestone,
cv5pj14,bindstone,Bindstone,
wc2ju40,1_least_resist,1 - least resistant,
wc2ju40,2,2 ,
wc2ju40,3_mod_resistan,3 - moderately resistant,
wc2ju40,4,4,
wc2ju40,5_most_resista,5 - most resistant,
jt6by54,cm,cm,
jt6by54,m,m,1
jt6by54,in,in,2
jt6by54,ft,ft,3
