list_name,name,label,order
tj0kn57,yes,yes,
tj0kn57,no,no,
ny3eb23,1_sparse_biot,"1 (sparse bioturbation, bedding distinct)",
ny3eb23,2_uncommon_bi,"2 (uncommon bioturbation, bedding distinct)",
ny3eb23,3_moderate_bi,"3 (moderate bioturbation, bedding distinct, overlap rare)",
ny3eb23,4_common_biot,"4 (common bioturbation, bedding indistinct, common overlap)",
ny3eb23,5_abundant_bi,"5 (abundant bioturbation, bedding completely disturbed (just visible))",
ny3eb23,6_complete_bi,"6 (complete bioturbation, total homogenization of sediment)",
bp1qw24,low,low,
bp1qw24,medium,medium,
bp1qw24,high,high,
yp1hr80,horizontal,horizontal,
yp1hr80,sub_vertical,sub-vertical,
yp1hr80,vertical,vertical,
yp1hr80,oblique,oblique,
yp1hr80,branching,branching,
yp1hr80,u_shaped,u-shaped,
yp1hr80,y_shaped,y-shaped,
yp1hr80,lined,lined,
yp1hr80,unlined,unlined,
yp1hr80,other,other,
yb2wj13,passive,passive,
yb2wj13,active,active,1
yb2wj13,siliciclastic,siliciclastic sand,2
yb2wj13,silicic_silt,siliciclastic silt,3
yb2wj13,silicic_mud,siliciclastic mud,4
yb2wj13,carbonate_mud,carbonate mud,5
yb2wj13,carbonate_grai,carbonate grains,6
yb2wj13,mudstone,mudstone,7
yb2wj13,wackestone,wackestone,8
yb2wj13,packstone,packstone,9
yb2wj13,grainstone,grainstone,10
yb2wj13,cementstone,cementstone,11
yb2wj13,other,other,
fu9zy74,resting,resting,
fu9zy74,locomotion,locomotion,
fu9zy74,grazing,grazing,
fu9zy74,feeding,feeding,
fu9zy74,dwelling_struc,dwelling structure,
fu9zy74,escape,escape,
fu9zy74,farming,farming,
fu9zy74,predation,predation,
fu9zy74,brooding,brooding,
fu9zy74,multipurpose,multipurpose,
fu9zy74,equilibrium,equilibrium,
fu9zy74,other,other,
xn91l41,psilonichnus,psilonichnus,
xn91l41,skolithos,skolithos,
xn91l41,cruziana,cruziana,
xn91l41,zoophycos,zoophycos,
xn91l41,nereites,nereites,
xn91l41,trypanites,trypanites,
xn91l41,glossifungites,glossifungites,
xn91l41,teredolites,teredolites,
jf5zf51,yes,yes,
jf5zf51,no,no,
cj5tu73,skeletal_reef,skeletal reef,
cj5tu73,skeletal_micro,skeletal-microbial reef,
cj5tu73,microbial_reef,microbial reef,
cj5tu73,mud_mound,mud mound,
cj5tu73,other,other,
vl19n89,micro_laminate,microbial laminate,
vl19n89,dome_structure,domal structure,
vl19n89,columnar_strom,columnar stromatolite,
vl19n89,bran_col_strom,branching columnar stromatolite,
vl19n89,conical_strom,conical stromatolite,
vl19n89,tufa,tufa,
vl19n89,gt_strom_mnd,giant stromatolite mound,
vl19n89,cusp_micro,cuspate microbialite,
vl19n89,thrombolite,thrombolite,
vl19n89,oncoid,oncoid,
vl19n89,turbin_strom,turbinate stromatolite,
vl19n89,den_bran_strom,dendritic branching stromatolite,
