type,name,label,required,relevant,constraint_message,constraint,calculation,$given_name
begin_group,biogenic_structures,Biogenic Structures,,,,,,
select_one tj0kn57,bioturbation,Burrowing?,false,,,,,
select_one ny3eb23,bioturbation_index,Bioturbation Index,false,${bioturbation} = 'yes',,,,
select_one bp1qw24,diversity,Diversity,false,${bioturbation} = 'yes',,,,
select_multiple yp1hr80,descriptive,Descriptive,false,${bioturbation} = 'yes',,,,
text,other_descriptive,Other Descriptive,false,"selected(${descriptive}, 'other')",,,,
select_multiple yb2wj13,burrow_fill_type,Burrow fill type,false,${bioturbation} = 'yes',,,,
text,other_burrow_fill,Other Burrow Fill,false,"selected(${burrow_fill_type}, 'other')",,,,
select_one fu9zy74,behavioral_grouping,Behavioral grouping,false,${bioturbation} = 'yes',,,,
text,other_behavioral_grouping,Other Behavioral Grouping,false,${behavioral_grouping} = 'other',,,,
select_one xn91l41,ichnofacies,Ichnofacies,false,${bioturbation} = 'yes',,,,
text,list_of_specific_types,List of specific types,false,${bioturbation} = 'yes',,,,
select_one jf5zf51,biogenic_growth_structures,Biogenic growth structures?,false,,,,,
select_one cj5tu73,dominant_component,Dominant component,false,${biogenic_growth_structures} = 'yes',,,,
text,other_dominant_component,Other Dominant Component,false,${dominant_component} = 'other',,,,
select_multiple vl19n89,microbial_reef_or_skelatal_mic,Microbial reef or skeletal microbial reef,false,${dominant_component} = 'skeletal_micro' or ${dominant_component} = 'microbial_reef',,,,
text,other_microbial_or_skeletal_mi,Other Microbial or Skeletal Microbial Reef,false,"selected(${microbial_reef_or_skelatal_mic}, 'other')",,,,
select_multiple vb0ao86,mud_mound,Mud mound,false,${dominant_component} = 'mud_mound',,,,
text,other_mud_mound,Other Mud Mound,false,"selected(${mud_mound}, 'other')",,,,
begin_group,biogenic_growth_structures_sca,Biogenic Growth Structure Scale and Orientation,,${biogenic_growth_structures} = 'yes',,,,
text,height,Height,false,${biogenic_growth_structures} = 'yes',,,,
text,width,Width,false,${biogenic_growth_structures} = 'yes',,,,
integer,orientation_if_elongate_azimu,"Orientation (if elongate, azimuth 0-360)",false,,Azimuth value must be between 0 to 360 degrees,. >= 0 and . <= 360,,
select_one oh76z01,shape,Shape,false,${biogenic_growth_structures} = 'yes',,,,
select_one uc1je36,type,Type,false,${biogenic_growth_structures} = 'yes',,,,
text,other_type,Other Type,false,${type} = 'other',,,,
select_multiple af3pl79,accessory_structures,Accessory structures,false,${biogenic_growth_structures} = 'yes',,,,
text,other_acccessory_structures,Other Accessory Structure,false,"selected(${accessory_structures}, 'other')",,,,
end_group,,,,,,,,
select_multiple qt9pb22,skeletal_fossil,Skeletal fossil,false,,,,,
text,other_skeletal_fossil,Other Skeletal Fossil,false,"selected(${skeletal_fossil}, 'other')",,,,
select_multiple xg73d31,mollusca,Mollusca,false,"selected(${skeletal_fossil}, 'mollusca')",,,,
text,other_mollusca,Other Mollusca,false,"selected(${mollusca}, 'other')",,,,
select_multiple ez9qn01,arthropoda,Arthropoda,false,"selected(${skeletal_fossil}, 'arthropoda')",,,,
text,other_anthropoda,Other Arthropoda,false,"selected(${arthropoda}, 'other')",,,,
select_multiple wr57l51,echinodermata,Echinodermata,false,"selected(${skeletal_fossil}, 'echinodermata')",,,,
text,other_echinodermata,Other Echinodermata,false,"selected(${echinodermata}, 'other')",,,,
select_multiple mx9kl50,cnidaria,Cnidaria,false,"selected(${skeletal_fossil}, 'cnidaria')",,,,
text,other_cnidaria,Other Cnidaria,false,"selected(${cnidaria}, 'other')",,,,
select_multiple sf15j48,chordata,Chordata,false,"selected(${skeletal_fossil}, 'chordata')",,,,
text,other_chordata,Other Chordata,false,"selected(${chordata}, 'other')",,,,
select_multiple yp6he07,plant_algae,Plant/algae,false,"selected(${skeletal_fossil}, 'plant_algae')",,,,
text,other_plant_algae,Other Plant/Algae,false,"selected(${plant_algae}, 'other')",,,,
select_multiple yg3rh07,protista,Protista,false,"selected(${skeletal_fossil}, 'protista')",,,,
text,other_protista,Other Protista,false,"selected(${protista}, 'other')",,,,
select_multiple oh1xa40,calcimicrobe,Calcimicrobe,false,"selected(${skeletal_fossil}, 'calcimicrobe')",,,,
text,other_calcimicrobe,Other Calcimicrobe,false,"selected(${calcimicrobe}, 'other')",,,,
select_one rs3py25,faunal_assemblage,Faunal assemblage,false,,,,,
text,other_faunal_assemblage,Other faunal assemblage,false,${faunal_assemblage} = 'other',,,,
text,notes,Notes,false,,,,,
end_group,,,,,,,,
calculate,__version__,,false,,,,'v3aztknQxg4sDfKs2JM2kF',
calculate,_version_,,false,,,,'vc4CusmkPTkFp2A3rCAZhE',__version__
calculate,_version__001,,,,,,'vwHJ3gxmTJsBhJXtbuB4zS',__version__
