list_name,name,label,order
hl0ml08,cements,cements,
hl0ml08,compaction,compaction,1
hl0ml08,nodules_concre,nodules/concretions,2
hl0ml08,liesegang_band,liesegang banding,3
hl0ml08,dendrites,dendrites,4
hl0ml08,dissolution,dissolution,5
hl0ml08,stylolites,stylolites,6
hl0ml08,intergranular,intergranular,7
hl0ml08,fault,fault,8
hl0ml08,veins,veins,9
hl0ml08,vugs,vugs,10
hl0ml08,cavities,cavities,11
hl0ml08,recrystallizat,recrystallization,12
hl0ml08,recrystallized,"recrystallized ""foam""",13
hl0ml08,hardground,hardground,14
hl0ml08,cementation_fr,cementation front,15
hl0ml08,weathering_hor,weathering horizon,16
hl0ml08,oil_staining,oil staining,17
hl0ml08,random_cumulat,random cumulates,18
hl0ml08,bottom_growth_,bottom growth textures,19
hl0ml08,fractures,fractures,20
hl0ml08,other,other,22
yh9fg32,calcite,calcite,
yh9fg32,dolomite,dolomite,
yh9fg32,silica,silica,
yh9fg32,iron_oxides,iron oxides,
yh9fg32,evaporite_mine,evaporite minerals,
yh9fg32,other,other,
jp0wh38,blocky,blocky,
jp0wh38,radial,radial,
jp0wh38,fibrous,fibrous,
jp0wh38,botryoidal,botryoidal,
jp0wh38,displacive,displacive,
jp0wh38,chevrons,chevrons,
jp0wh38,other,other,
hl0ww19,calcite,calcite,
hl0ww19,dolomite,dolomite,
hl0ww19,pyrite,pyrite,
hl0ww19,siderite,siderite,
hl0ww19,iron_oxide,iron oxide,
hl0ww19,apatite,apatite,
hl0ww19,chert,chert,
hl0ww19,gypsum_anhydri,gypsum/anhydrite,
hl0ww19,other,other,
zb73n93,spherical,spherical,
zb73n93,elongate,elongate,
zb73n93,pods,pods,
zb73n93,irregular,irregular,
zb73n93,other,other,
st8ub31,tepee_structur,tepee structures,
st8ub31,karst_pipes,karst pipes,
st8ub31,grykes,grykes,
st8ub31,fissures,fissures,
st8ub31,pavement,pavement,
st8ub31,caliche,caliche,
st8ub31,geopetal,geopetal,
st8ub31,sheet_cracks,sheet cracks,
st8ub31,paleosol_horiz,paleosol horizon,
st8ub31,karst_topograp,karst topography,
st8ub31,vugs,vugs,
st8ub31,cavities,cavities,
st8ub31,collapse_struc,collapse structures,
st8ub31,caves,caves,
st8ub31,other,other,
lo0dl30,interparticle,interparticle,
lo0dl30,intraparticle,intraparticle,
lo0dl30,intercrystal,intercrystal,
lo0dl30,moldic,moldic,
lo0dl30,fenestral,fenestral,
lo0dl30,shelter,shelter,
lo0dl30,growth_framewo,growth-framework,
lo0dl30,boring,boring,
lo0dl30,burrow,burrow,
lo0dl30,shrinkage,shrinkage,
lo0dl30,breccia,breccia,
lo0dl30,other,other,
ts4kt62,fracture,fracture,
ts4kt62,channel,channel,
ts4kt62,vug,vug,
ts4kt62,cavern,cavern,
ts4kt62,other,other,
