type,name,label,required,relevant,appearance,calculation,$given_name
begin_group,group_gt2ct74,Cement,false,,,,
select_multiple yh9fg32,cement_composition,Cement Mineralogy,false,,,,
text,other_cement_composition,Other Cement Mineralogy,false,"selected(${cement_composition}, 'other')",,,
end_group,,,,,,,
begin_group,group_ev2xo78,Veins,false,,,,
select_one gc5or38,vein_type,Vein Type,false,,,,
decimal,vein_width,Vein Width (cm),false,,,,
decimal,vein_length,Vein Length (cm),false,,,,
text,vein_orientation,Vein Orientation,false,,,,
select_one au3vr50,vein_mineralogy,Vein Mineralogy,false,,,,
text,other_vein_mineralogy,Other Vein Mineralogy,false,${vein_mineralogy} = 'other',,,
end_group,,,,,,,
begin_group,group_yv3js78,Fractures,false,,,,
select_one ly8ju48,fracture_type,Fracture Type,false,,,,
decimal,fracture_width,Fracture Width (cm),false,,,,
decimal,fracture_length,Fracture Length (cm),false,,,,
text,fracture_orientation,Fracture Orientation,false,,,,
select_one nn7vg12,fracture_mineralogy,Fracture Mineralogy,false,,,,
text,other_fracture_mineralogy,Other Fracture Mineralogy,false,${fracture_mineralogy} = 'other',,,
end_group,,,,,,,
begin_group,group_at4ct37,Nodules/Concretions,false,,,,
select_one fr9ga56,nodules_concretions_size,Nodules/Concretions Size,false,,,,
decimal,min,Min,false,,,,
decimal,max,Max,false,,,,
decimal,average,Average,false,,,,
select_multiple zb73n93,nodules_concretions_shape,Nodules/Concretions Shape,false,,,,
text,other_nodules_concretion_shape,Other Nodule/Concretions Shape,false,"selected(${nodules_concretions_shape}, 'other')",,,
decimal,spacing,Spacing,false,,,,
select_one gx9jq81,nodules_concretions_type,Nodules/Concretions Type,false,,,,
text,other_nodules_concretions_type,Other Nodules/Concretions Type,false,${nodules_concretions_type} = 'other',,,
select_multiple hl0ww19,nodules_concretions_comp,Nodules/Concretions Composition,false,,,,
text,other_nodules_concretion_comp,Other Nodules/Concretions Composition,false,"selected(${nodules_concretions_comp}, 'other')",,,
end_group,,,,,,,
begin_group,group_ad9rf56,Replacement,false,,,,
select_one pa4pi89,replacement_type,Replacement Type,false,,,,
text,other_replacement_type,Other Replacement Type,false,${replacement_type} = 'other',,,
end_group,,,,,,,
begin_group,group_xx6ql18,Recrystallization,false,,,,
select_one vo7bl50,recrystallization_type,Recrystallization Type,false,,,,
text,other_recrystallization_type,Other Recrystallization Type,false,${recrystallization_type} = 'other',,,
end_group,,,,,,,
begin_group,group_eo6zt13,Other Diagenetic Features,false,,,,
select_multiple wy5gx26,other_diagenetic_features,Other Diagenetic Features,false,,,,
text,other_features,Other Features,false,"selected(${other_diagenetic_features}, 'other')",,,
end_group,,,,,,,
begin_group,group_fn8sm12,Porosity type,false,,,,
select_multiple lo0dl30,fabric_selective,Fabric Selective,false,,,,
text,other_fabric_selective,Other Fabric Selective,false,"selected(${fabric_selective}, 'other')",,,
select_multiple ts4kt62,non_selective,Non-Frabric Selective,false,,,,
text,other_non_selective,Other Non-Fabric Selective,false,"selected(${non_selective}, 'other')",,,
end_group,,,,,,,
begin_group,group_do4yt24,Carbonate Desiccation and Dissolution,false,,,,
select_multiple st8ub31,carbonate_desicc_and_diss,Carbonate Desiccation and Dissolution Type,false,,,,
text,other_carbonate_desicc_diss,Other Carbonate Desiccation and Dissolution Type,false,"selected(${carbonate_desicc_and_diss}, 'other')",,,
end_group,,,,,,,
text,notes,Notes,false,,multiline,,
calculate,__version__,,false,,,'vHuq2thZa9XX4LED572LE7',
calculate,_version_,,false,,,'vt2b43PSX2VzkSMDYuKHRZ',__version__
calculate,_version__001,,false,,,'vkX2FzeZaPfpXj9mLk8Yfg',__version__
calculate,_version__002,,,,,'vWFjuPvDLM4kjUESPYcR4y',__version__
