type,name,label,required,relevant,constraint_message,constraint,appearance,calculation,$given_name
begin_group,group_ug1cj80,Body,false,,,,,,
select_multiple zy1yp78,invertebrate,Invertebrate,false,,,,,,
text,other_invertebrate,Other Invertebrate,false,"selected(${invertebrate}, 'other')",,,,,
select_multiple xg73d31,mollusca,Mollusc,false,"selected(${invertebrate}, 'mollusca')",,,,,
text,other_mollusca,Other Mollusc,false,"selected(${mollusca}, 'other')",,,,,
select_multiple ez9qn01,arthropoda,Arthropod,false,"selected(${invertebrate}, 'arthropoda')",,,,,
text,other_anthropoda,Other Arthropod,false,"selected(${arthropoda}, 'other')",,,,,
select_multiple wr57l51,echinodermata,Echinoderm,false,"selected(${invertebrate}, 'echinodermata')",,,,,
text,other_echinodermata,Other Echinoderm,false,"selected(${echinodermata}, 'other')",,,,,
select_multiple mx9kl50,cnidaria,Cnidarian,false,"selected(${invertebrate}, 'cnidaria')",,,,,
text,other_cnidaria,Other Cnidarian,false,"selected(${cnidaria}, 'other')",,,,,
select_one jc5qz43,chordate,Chordate,false,"selected(${invertebrate}, 'porifera_spong')",,,,,
text,other_chordata,Other Chordate,false,${chordate} = 'other',,,,,
select_multiple yg3rh07,protista,Protist,false,"selected(${invertebrate}, 'protista')",,,,,
text,other_protista,Other Protist,false,"selected(${protista}, 'other')",,,,,
select_multiple oh1xa40,calcimicrobe,Calcimicrobe,false,"selected(${invertebrate}, 'calcimicrobe')",,,,,
text,other_calcimicrobe,Other Calcimicrobe,false,"selected(${calcimicrobe}, 'other')",,,,,
select_multiple yp6he07,plant_algae,Plant/algae,false,,,,,,
text,other_plant_algae,Other Plant/Algae,false,"selected(${plant_algae}, 'other')",,,,,
select_multiple jr4ma98,green_algae,Green Algae,false,"selected(${plant_algae}, 'green')",,,,,
text,other_green_algae,Other Green Algae,false,"selected(${green_algae}, 'other')",,,,,
select_multiple fk5kl89,vertebrate,Vertebrate,false,,,,,,
text,other_vertebrate,Other Vertebrate,false,"selected(${vertebrate}, 'other')",,,,,
select_one rs3py25,faunal_assemblage,Faunal assemblage,false,,,,,,
text,other_faunal_assemblage,Other faunal assemblage,false,${faunal_assemblage} = 'other',,,,,
end_group,,,,,,,,,
begin_group,biogenic_structures,Trace,false,,,,,,
select_one bp1qw24,diversity,Diversity,false,,,,,,
select_multiple yp1hr80,descriptive,Descriptive,false,,,,,,
text,other_descriptive,Other Descriptive,false,"selected(${descriptive}, 'other')",,,,,
select_multiple yb2wj13,burrow_fill_type,Burrow Fill Type,false,,,,,,
text,other_burrow_fill,Other Burrow Fill Type,false,"selected(${burrow_fill_type}, 'other')",,,,,
select_one fu9zy74,behavioral_grouping,Behavioral grouping,false,,,,,,
text,other_behavioral_grouping,Other Behavioral Grouping,false,${behavioral_grouping} = 'other',,,,,
select_one xn91l41,ichnofacies,Ichnofacies,false,,,,,,
text,other_ichnofacies,Other Ichnofacies,false,${ichnofacies} = 'other',,,,,
text,list_of_specific_types,List of specific types,false,,,,,,
end_group,,,,,,,,,
begin_group,group_qa9zp83,Biogenic Growth Structures,false,,,,,,
select_one cj5tu73,dominant_component,Dominant component,false,,,,,,
text,other_dominant_component,Other Dominant Component,false,,,,,,
select_multiple vl19n89,microbial_reef_or_skelatal_mic,Microbial Reef or Skeletal-Microbial Reef Type,false,${dominant_component} = 'skeletal_micro' or ${dominant_component} = 'microbial_reef',,,,,
text,other_microbial_or_skeletal_mi,Other Microbial or Skeletal Microbial Reef,false,,,,,,
select_multiple vb0ao86,mud_mound,Mud Mound Type,false,${dominant_component} = 'mud_mound',,,,,
text,other_mud_mound,Other Mud Mound,false,"selected(${mud_mound}, 'other')",,,,,
begin_group,biogenic_growth_structures_sca,Biogenic Growth Structure Scale and Orientation,false,,,,,,
text,height,Height,false,,,,,,
text,width,Width,false,,,,,,
integer,orientation_if_elongate_azimu,"Orientation (if elongate, azimuth 0-360)",false,,Azimuth value must be between 0 to 360 degrees,. >= 0 and . <= 360,,,
select_one oh76z01,shape,Shape,false,,,,,,
select_one uc1je36,type,Type,false,,,,,,
text,other_type,Other Type,false,${type} = 'other',,,,,
select_multiple ex7vg93,accessory_structures,Accessory Structures,false,,,,,,
text,other_accessory_structure,Other Accessory Structure,false,"selected(${accessory_structures}, 'other')",,,,,
end_group,,,,,,,,,
end_group,,,,,,,,,
text,notes,Notes,false,,,,multiline,,
calculate,__version__,,false,,,,,'v3aztknQxg4sDfKs2JM2kF',
calculate,_version_,,false,,,,,'vc4CusmkPTkFp2A3rCAZhE',__version__
calculate,_version__001,,false,,,,,'vohx2ac7eAZcFgYFNsbDsK',__version__
calculate,_version__002,,,,,,,'vqxE7TUC7Bae9CbesWYBCg',__version__
