list_name,name,label,order
qp1no08,laminated,Laminated,
qp1no08,rhythmic,Rhythmic,1
qp1no08,interbedded,Interbedded,2
qp1no08,current_ripple,Current rippled,3
qp1no08,wave_rippled,Wave-rippled,4
qp1no08,cross_bedded,Cross-bedded,5
qp1no08,graded,Graded,6
qp1no08,massive,Massive,7
qp1no08,deformed,Deformed,8
qp1no08,oolitic,Oolitic,9
qp1no08,peloidal,Peloidal,10
qp1no08,intraclast,Intraclast,11
qp1no08,skeletal,Skeletal,12
qp1no08,non_skeletal,Non-skeletal,13
qp1no08,microbial,Microbial,14
cf7sc66,sandstone,Sandstone,
cf7sc66,siltstone,Siltstone,1
cf7sc66,conglomerate,Conglomerate,2
cf7sc66,breccia,Breccia,3
cf7sc66,shale,Shale,4
cf7sc66,claystone,Claystone,5
cf7sc66,mudstone,Mudstone,6
cf7sc66,wackestone,Wackestone,7
cf7sc66,packstone,Packstone,8
cf7sc66,grainstone,Grainstone,9
cf7sc66,floatstone,Floatstone,10
cf7sc66,rudstone,Rudstone,11
cf7sc66,framestone,Framestone,12
cf7sc66,bindstone,Bindstone,13
cf7sc66,bafflestone,Bafflestone,14
cf7sc66,cementstone,Cementstone,15
lp9ir83,high_energy,High energy,
lp9ir83,low_energy,Low energy,
lp9ir83,variable_energ,Variable energy,
nr37l64,waves,Waves,
nr37l64,current,Current,
nr37l64,combined_flow,Combined flow,
nr37l64,bed_load,Bed load,
nr37l64,suspended_load,Suspended load,
nr37l64,turbidity_curr,Turbidity current,
nr37l64,debris_flow,Debris flow,
nr37l64,density_flow,Density flow,
nr37l64,mud_slurry,Mud slurry,
nr37l64,hypopycnal_flo,Hypopycnal flow,
nr37l64,hyperpycnal_fl,Hyperpycnal flow,
nr37l64,mass_transport,Mass transport,
nr37l64,tides,Tides,
nr37l64,tidal_rhythmit,Tidal rhythmite,
nr37l64,tidal_bundle,Tidal bundle,
nr37l64,wind,Wind,
nr37l64,ice,Ice,
nr37l64,pyroclastic_fl,Pyroclastic flow,
nr37l64,ground_surge,Ground surge,
nr37l64,base_surge,Base surge,
fe1pj82,liquefaction,Liquefaction,
fe1pj82,granular,Granular,
fe1pj82,mass_flow,Mass flow,
kk8ql20,ice_rafting,Ice rafting,
kk8ql20,till,Till,
kk8ql20,moraine,Moraine,
kk8ql20,storm,Storm,
kk8ql20,hemipelagic,Hemipelagic,
kk8ql20,desiccation,Desiccation,
kk8ql20,river,River,
kk8ql20,earthquake,Earthquake,
kk8ql20,flood,Flood,
kk8ql20,impact,Impact,
kk8ql20,evaporation,Evaporation,
kk8ql20,bio_precipitat,Bio-precipitation,
kk8ql20,oxidation_redu,Oxidation/reduction,
kk8ql20,pedogenic,Pedogenic,
kk8ql20,biomediated,Biomediated,
kk8ql20,microbial,Microbial,
kk8ql20,bedform_migrat,Bedform migration,
ee59y88,continental,Continental,
ee59y88,transitional,Transitional,
ee59y88,shallow_marine,Shallow marine,
ee59y88,deep_marine,Deep marine,
ml38g37,alluvial_fan,Alluvial fan,
ml38g37,glacial_and_proglacial,Glacial and proglacial,1
ml38g37,fluvial,Fluvial,2
ml38g37,floodplain,Floodplain,3
ml38g37,mire_swamp,Mire/swamp,4
ml38g37,lake,Lake,5
ml38g37,playa,Playa,6
ml38g37,eolian,Eolian,7
ml38g37,sabkha,Sabkha,8
ml38g37,tidal_flat,Tidal flat,9
ml38g37,lagoon,Lagoon,10
ml38g37,delta,Delta,11
ml38g37,beach,Beach,12
ml38g37,shoreface,Shoreface,13
ml38g37,option_26,Shelf,14
ml38g37,offshore_transition_zone,Offshore transition zone,
ml38g37,open_marine,Open marine,
ml38g37,option_18,Deepwater channel,
ml38g37,option_19,Deepwater fan,
xt0tt07,mud_flow,Mud flow,
xt0tt07,debris_flow,Debris flow,
xt0tt07,sheet_flow,Sheet flow,
xt0tt07,braided_stream,Braided stream,
xt0tt07,paleosol,Paleosol,
hy05n94,dune,Dune,
hy05n94,interdune,Interdune,
hy05n94,extradune,Extradune,
hy05n94,sand_sheet,Sand sheet,
qc4iq45,channel,Channel,
qc4iq45,thalweg,Thalweg,
qc4iq45,bar,Bar,
qc4iq45,mid_channel_ba,Mid-channel bar,
qc4iq45,bank_attached_,Bank-attached bar,
qc4iq45,scour_hollow,Scour hollow,
qc4iq45,abandoned_chan,Abandoned channel,
qc4iq45,levee,Levee,
qc4iq45,crevasse_splay,Crevasse splay,
qc4iq45,crevasse_chann,Crevasse channel,
qc4iq45,floodplain,Floodplain,
qc4iq45,wet_floodplain,Wet floodplain,
qc4iq45,drained_floodp,Drained floodplain,
qc4iq45,floodplain_lak,Floodplain lake,
qc4iq45,avulsion_depos,Avulsion deposits,
kw9js55,wave_dominated,Wave dominated,
kw9js55,tide_dominated,Tide dominated,
kw9js55,river_dominate,River dominated,
kw9js55,inner_shelf,Inner shelf,
kw9js55,middle_shelf,Middle shelf,
kw9js55,outer_shelf,Outer shelf,
kw9js55,foreshore,Foreshore,
kw9js55,upper_shorefac,Upper shoreface,
kw9js55,lower_shorefac,Lower shoreface,
kw9js55,offshore,Offshore,
kw9js55,delta_plain,Delta plain,
kw9js55,distributary_c,Distributary channel,
kw9js55,delta_front,Delta front,
kw9js55,prodelta,Prodelta,
kw9js55,intertidal,Intertidal,
kw9js55,tidal_flat,Tidal flat,
kw9js55,tidal_channel,Tidal channel,
kw9js55,subtidal,Subtidal,
um6fk82,submarine_chan,Submarine channel deposit,
um6fk82,submarine_cany,Submarine canyon,
um6fk82,slump,Slump,
um6fk82,levee,Levee,
um6fk82,overbank,Overbank,
um6fk82,splay,Splay,
um6fk82,lateral_accret,Lateral accretion package/bar,
um6fk82,upper_fan,Upper fan,
um6fk82,middle_fan,Middle fan,
um6fk82,lower_fan,Lower fan,
um6fk82,sand_sheet,Sand sheet,
um6fk82,depositional_l,Depositional lobe,
tv89s87,till,Till,
tv89s87,outwash,Outwash,
tv89s87,moraine,Moraine,
tv89s87,other,Other,
er65b70,option_1,Option 1,
er65b70,option_2,Option 2,
yi3tp14,factory,Factory,
yi3tp14,environment,Environment,
ow54y55,heterozoan,Heterozoan,
ow54y55,photozoan,Photozoan,
ow54y55,metozoan,Metozoan,
ow54y55,calcareous_gre,Calcareous Green Algae,
ow54y55,microbial,Microbial,
pv3ex57,subaerial_expo,Subaerial exposure,
pv3ex57,lake,Lake,1
pv3ex57,cave,Cave,2
pv3ex57,eolian,Eolian,3
pv3ex57,tidal_flat,Tidal flat,4
pv3ex57,tidal_flat,Supratidal,5
pv3ex57,intertidal,Intertidal,6
pv3ex57,subtidal,Subtidal,7
pv3ex57,lagoon,Lagoon,8
pv3ex57,beach,Beach,9
pv3ex57,reef_and_assoc,Reef and associated environments,10
pv3ex57,shoal,Shoal,11
pv3ex57,shelf,Shelf,12
pv3ex57,slope,Slope,13
pv3ex57,basin,Basin,14
em9bi13,evaporitic,Evaporitic,
em9bi13,brackish,Brackish,
em9bi13,fresh,Fresh,
em9bi13,saline,Saline,
em9bi13,alkaline,Alkaline,
em9bi13,playa,Playa,
kx3or79,arid,Arid,
kx3or79,humid,Humid,
vh0av40,back_reef,Back reef,
vh0av40,reef,Reef,
vh0av40,fore_reef_slop,Fore reef slope,
xm7ti94,intracratonic_,Intracratonic basin,
xm7ti94,rift,Rift,
xm7ti94,passive_margin,Passive margin,
xm7ti94,offshore_bank,Offshore bank,
xm7ti94,foreland_basin,Foreland basin,
xm7ti94,forearc_basin,Forearc basin,
xm7ti94,backarc_basin,Backarc basin,
xm7ti94,volcanic_pedes,Volcanic pedestal,
xm7ti94,caldera,Caldera,
sz3eh26,flat,Flat,
sz3eh26,undulatory,Undulatory,
sz3eh26,concave_up,Concave up,
sz3eh26,concave_down,Concave down,
sz3eh26,curved,Curved,
sz3eh26,irregular,Irregular,
id9jw28,cm,cm,
id9jw28,m,m,
me6zn01,cm,cm,
me6zn01,m,m,
me6zn01,km,km,
yj8ul45,mineralization,Mineralization,
yj8ul45,karst,Karst,
yj8ul45,hardground,Hardground,
yj8ul45,firmground,Firmground,
yj8ul45,burrowed,Burrowed,
yj8ul45,pedogenic,Pedogenic,
yj8ul45,weathering,Weathering,
yj8ul45,lag,Lag,
yj8ul45,condensed,Condensed,
yj8ul45,erosional,Erosional,
yj8ul45,conformable,Conformable,
yj8ul45,unconformable,Unconformable,
yj8ul45,ash_tuff,Ash/tuff,
yj8ul45,fault,Fault,
ew1qt64,onlap,Onlap,
ew1qt64,downlap,Downlap,
ew1qt64,toplap,Toplap,
ew1qt64,offlap,Offlap,
vk3ri97,exposure,Exposure,
vk3ri97,flooding,Flooding,
vk3ri97,ravinement,Ravinement,
vk3ri97,hiatus__hiatal,Hiatus (hiatal),
vk3ri97,reactivation,Reactivation,
vk3ri97,supersurface,Supersurface,
vk3ri97,interdune,Interdune,
vk3ri97,deflation,Deflation,
xb6oy11,type_1_sequenc,Type 1 Sequence Boundary,
xb6oy11,type_2_sequenc,Type 2 Sequence Boundary,1
xb6oy11,type_3_sequenc,Type 3 Sequence Boundary (drowning unconformity),2
xb6oy11,interfluve_exp,Interfluve Expression,3
xb6oy11,erosional_expr,Erosional Expression,4
xb6oy11,correlative_co,Correlative Conformity,5
xb6oy11,parasequence_b,Parasequence Boundary,6
xb6oy11,maximum_floodi,Maximum Flooding Surface,7
xb6oy11,transgressive_,Transgressive surface of erosion,8
xb6oy11,subaerial_unco,Subaerial unconformity,9
pu79d34,fining_upward,Fining upward,
pu79d34,coarsening_upw,Coarsening upward,
pu79d34,cyclic,Cyclic,
pu79d34,random,Random,
pu79d34,stacked,Stacked,
pu79d34,isolated,Isolated,
di5fn81,progradational,Progradational,
di5fn81,aggradational,Aggradational,
di5fn81,retrogradation,Retrogradational,
di5fn81,degradational,Degradational,
di5fn81,transgressive_,Transgressive Hemicycle,
di5fn81,regressive_hem,Regressive Hemicycle,
di5fn81,highstand_syst,Highstand Systems Tract,
di5fn81,lowstand_syste,Lowstand Systems Tract,
di5fn81,transgressive__1,Transgressive Systems Tract,
di5fn81,falling_stage_,Falling Stage Systems Tract,
di5fn81,incised_valley,Incised valley fill,
nk4ga99,channel__ch,Channel (CH),
nk4ga99,gravelly_bar_o,Gravelly bar or bedform (GB),
nk4ga99,sandy_bedform_,Sandy bedform (SB),
nk4ga99,foreset_macrof,Foreset macroforms (FM),
nk4ga99,lateral_accret,Lateral accretion macroform (LA),
nk4ga99,sediment_gravi,Sediment gravity flow (SG),
