list_name,name,label,order
ee59y88,continental,Continental,
ee59y88,transitional,Transitional,
ee59y88,shallow_marine,Shallow marine,
ee59y88,deep_marine,Deep marine,
ml38g37,alluvial_fan,Alluvial fan,
ml38g37,glacial_and_pr,Glacial and proglacial,1
ml38g37,fluvial,Fluvial,2
ml38g37,floodplain,Floodplain,3
ml38g37,mire_swamp,Mire/swamp,4
ml38g37,lake,Lake,5
ml38g37,playa,Playa,6
ml38g37,eolian,Eolian,7
ml38g37,sabkha,Sabkha,8
ml38g37,tidal_flat,Tidal flat,9
ml38g37,lagoon,Lagoon,10
ml38g37,delta,Delta,11
ml38g37,beach,Beach,12
ml38g37,shoreface,Shoreface,13
ml38g37,shelf,Shelf,14
ml38g37,offshore_trans,Offshore transition zone,
ml38g37,open_marine,Open marine,
ml38g37,depwater_chann,Deepwater channel,
ml38g37,deepwater_fan,Deepwater fan,
ml38g37,other,Other,
xt0tt07,mud_flow,Mud flow,
xt0tt07,debris_flow,Debris flow,
xt0tt07,sheet_flow,Sheet flow,
xt0tt07,braided_stream,Braided stream,
xt0tt07,paleosol,Paleosol,
xt0tt07,other,Other,
hy05n94,dune,Dune,
hy05n94,interdune,Interdune,
hy05n94,extradune,Extradune,
hy05n94,sand_sheet,Sand sheet,
hy05n94,other,Other,
qc4iq45,channel,Channel,
qc4iq45,thalweg,Thalweg,
qc4iq45,bar,Bar,
qc4iq45,mid_channel_ba,Mid-channel bar,
qc4iq45,bank_attached,Bank-attached bar,
qc4iq45,scour_hollow,Scour hollow,
qc4iq45,abandoned_chan,Abandoned channel,
qc4iq45,levee,Levee,
qc4iq45,crevasse_splay,Crevasse splay,
qc4iq45,crevasse_chann,Crevasse channel,
qc4iq45,floodplain,Floodplain,
qc4iq45,wet_floodplain,Wet floodplain,
qc4iq45,drained_floodp,Drained floodplain,
qc4iq45,floodplain_lak,Floodplain lake,
qc4iq45,avulsion_depos,Avulsion deposits,
qc4iq45,other,Other,
kw9js55,wave_dominated,Wave dominated,
kw9js55,tide_dominated,Tide dominated,
kw9js55,river_dominate,River dominated,
kw9js55,inner_shelf,Inner shelf,
kw9js55,middle_shelf,Middle shelf,
kw9js55,outer_shelf,Outer shelf,
kw9js55,foreshore,Foreshore,
kw9js55,upper_shorefac,Upper shoreface,
kw9js55,lower_shorefac,Lower shoreface,
kw9js55,offshore,Offshore,
kw9js55,delta_plain,Delta plain,
kw9js55,distributary_c,Distributary channel,
kw9js55,delta_front,Delta front,
kw9js55,prodelta,Prodelta,
kw9js55,intertidal,Intertidal,
kw9js55,tidal_flat,Tidal flat,
kw9js55,tidal_channel,Tidal channel,
kw9js55,subtidal,Subtidal,
kw9js55,other,Other,
um6fk82,submarine_chan,Submarine channel deposit,
um6fk82,submarine_cany,Submarine canyon,
um6fk82,slump,Slump,
um6fk82,levee,Levee,
um6fk82,overbank,Overbank,
um6fk82,splay,Splay,
um6fk82,lateral_accret,Lateral accretion package/bar,
um6fk82,upper_fan,Upper fan,
um6fk82,middle_fan,Middle fan,
um6fk82,lower_fan,Lower fan,
um6fk82,sand_sheet,Sand sheet,
um6fk82,depositional_l,Depositional lobe,
um6fk82,other,Other,
tv89s87,till,Till,
tv89s87,outwash,Outwash,
tv89s87,moraine,Moraine,
tv89s87,other,Other,
er65b70,delta,Delta,
er65b70,fan_delta,Fan delta,
er65b70,sheet_delta_te,Sheet delta/terminal splay,
er65b70,wetlands,Wetlands,
er65b70,backshore,Backshore,
er65b70,beach,Beach,
er65b70,upr_shoreface,Upper shoreface,
er65b70,lwr_shoreface,Lower shoreface,
er65b70,offshore_trans,Offshore transition,
er65b70,shlw_opn_water,Shallow open water,
er65b70,dp_opn_water,Deep open water,
er65b70,dry_mudflat,Dry mudflat,
er65b70,saline_mudflat,Saline mudflat,
er65b70,ephemeral_sali,Ephemeral saline lake/saline pan,
er65b70,saline_lake,perennial saline lake,
er65b70,other,Other,
yi3tp14,factory,Factory,
yi3tp14,environment,Environment,
ow54y55,heterozoan,Heterozoan,
ow54y55,photozoan,Photozoan,
ow54y55,metozoan,Metozoan,
ow54y55,calcareous_gre,Calcareous Green Algae,
ow54y55,microbial,Microbial,
pv3ex57,subaerial_expo,Subaerial exposure,
pv3ex57,lake,Lake,1
pv3ex57,cave,Cave,2
pv3ex57,eolian,Eolian,3
pv3ex57,tidal_flat,Tidal flat,4
pv3ex57,tidal_flat,Supratidal,5
pv3ex57,intertidal,Intertidal,6
pv3ex57,subtidal,Subtidal,7
pv3ex57,lagoon,Lagoon,8
pv3ex57,beach,Beach,9
pv3ex57,reef_and_assoc,Reef and associated environments,10
pv3ex57,shoal,Shoal,11
pv3ex57,shelf,Shelf,12
pv3ex57,slope,Slope,13
pv3ex57,basin,Basin,14
pv3ex57,shallow,shallow,
pv3ex57,deep,deep,
pv3ex57,shoreline,shoreline,
pv3ex57,other_env,other,
em9bi13,evaporitic,Evaporitic,
em9bi13,brackish,Brackish,
em9bi13,fresh,Fresh,
em9bi13,saline,Saline,
em9bi13,alkaline,Alkaline,
em9bi13,playa,Playa,
em9bi13,other,Other,
kx3or79,arid,Arid,
kx3or79,humid,Humid,
kx3or79,other,Other,
vh0av40,back_reef,Back reef,
vh0av40,reef,Reef,
vh0av40,fore_reef_slop,Fore reef slope,
vh0av40,other,Other,
xm7ti94,intracratonic,Intracratonic basin,
xm7ti94,rift,Rift,
xm7ti94,passive_margin,Passive margin,
xm7ti94,offshore_bank,Offshore bank,
xm7ti94,foreland_basin,Foreland basin,
xm7ti94,forearc_basin,Forearc basin,
xm7ti94,backarc_basin,Backarc basin,
xm7ti94,volcanic_pedes,Volcanic pedestal,
xm7ti94,caldera,Caldera,
xm7ti94,other,Other,
