type,name,label,required,relevant,calculation,$given_name
begin_group,group_qo3sq24,Environment Interpretation,,,,
select_multiple ee59y88,general,General,false,,,
text,other_general,Other General,false,"selected(${general}, 'other')",,
select_multiple ml38g37,clastic,Clastic,false,,,
select_multiple xt0tt07,alluvial_fan_environments,Alluvial fan environments,false,"selected(${clastic}, 'alluvial_fan')",,
text,other_alluvial_fan,Other Alluvial Fan,false,"selected(${alluvial_fan_environments}, 'other')",,
select_multiple hy05n94,eolian_environments,Eolian environments,false,"selected(${clastic}, 'eolian')",,
text,other_eolian,Other Eolian,false,"selected(${eolian_environments}, 'other')",,
select_multiple qc4iq45,fluvial_environments,Fluvial environments,false,"selected(${clastic}, 'fluvial') or selected(${clastic}, 'floodplain')",,
text,other_fluvial,Other Fluvial,false,"selected(${fluvial_environments}, 'other')",,
select_multiple kw9js55,shallow_marine_clastic_environ,Shallow marine clastic environments,false,"selected(${clastic}, 'tidal_flat') or selected(${clastic}, 'delta') or selected(${clastic}, 'shoreface') or selected(${clastic}, 'shelf') or selected(${clastic}, 'offshore_trans') or selected(${clastic}, 'open_marine')",,
text,other_shallow_marine,Other Shallow Marine,false,"selected(${shallow_marine_clastic_environ}, 'other')",,
select_multiple um6fk82,deep_marine_environments,Deep marine environments,false,"selected(${clastic}, 'depwater_chann') or selected(${clastic}, 'deepwater_fan')",,
text,other_deep_marine,Other Deep Marine,false,"selected(${deep_marine_environments}, 'other')",,
select_multiple tv89s87,glacial_and_proglacial_environ,Glacial and proglacial environments,false,"selected(${clastic}, 'glacial_and_pr')",,
text,other_glacial,Other Glacial,false,"selected(${glacial_and_proglacial_environ}, 'other')",,
select_multiple er65b70,lake_environments,Lake environments,false,"selected(${clastic}, 'lake')",,
text,other_lake,Other Lake,false,"selected(${lake_environments}, 'other')",,
text,other_clastic,Other Clastic,false,"selected(${clastic}, 'other')",,
select_multiple yi3tp14,carbonates,Carbonates,false,,,
select_multiple ow54y55,factory,Factory,false,"selected(${carbonates}, 'factory')",,
select_multiple pv3ex57,carbonate,Environment,false,"selected(${carbonates}, 'environment')",,
text,other_carbonate_environment,Other Carbonate Environment,false,"selected(${carbonate}, 'other')",,
select_multiple em9bi13,lake_subenvironments,Lake Subenvironments,false,"selected(${carbonate}, 'lake')",,
text,other_carbonate_lake_subenvironment,Other Carbonate Lake Subenvironment,false,"selected(${lake_subenvironments}, 'other')",,
select_multiple kx3or79,tidal_flat_subenvironments,Tidal Flat Subenvironments,false,"selected(${carbonate}, 'tidal_flat')",,
text,other_tidal_flat,Other Tidal Flat,false,"selected(${tidal_flat_subenvironments}, 'other')",,
select_multiple vh0av40,reef_subenvironments,Reef Subenvironments,false,"selected(${carbonate}, 'reef_and_assoc')",,
text,other_reef,Other Reef,false,"selected(${reef_subenvironments}, 'other')",,
text,detailed_carbonate_env_interpr,Detailed carbonate environmental interpretations,false,"selected(${carbonate}, 'subaerial_expo') or selected(${carbonate}, 'lake') or selected(${carbonate}, 'cave') or selected(${carbonate}, 'eolian') or selected(${carbonate}, 'tidal_flat') or selected(${carbonate}, 'lagoon') or selected(${carbonate}, 'beach') or selected(${carbonate}, 'reef_and_assoc') or selected(${carbonate}, 'shoal') or selected(${carbonate}, 'shelf') or selected(${carbonate}, 'slope') or selected(${carbonate}, 'basin')",,
select_multiple xm7ti94,tectonic_setting,Tectonic Setting,false,,,
text,other_tectonic_setting,Other Tectonic Setting,false,"selected(${tectonic_setting}, 'other')",,
text,notes,Notes,false,,,
end_group,,,,,,
calculate,__version__,,false,,'vJTSGLr3iUX4Epntceu998',
calculate,_version_,,,,'vrz6herYbsks7xvw9Cfdjm',__version__
