list_name,name,label,order
qp1no08,laminated,Laminated,
qp1no08,rhythmic,Rhythmic,1
qp1no08,interbedded,Interbedded,2
qp1no08,current_ripple,Current rippled,3
qp1no08,wave_rippled,Wave-rippled,4
qp1no08,cross_bedded,Cross-bedded,5
qp1no08,graded,Graded,6
qp1no08,massive,Massive,7
qp1no08,deformed,Deformed,8
qp1no08,oolitic,Oolitic,9
qp1no08,peloidal,Peloidal,10
qp1no08,intraclast,Intraclast,11
qp1no08,skeletal,Skeletal,12
qp1no08,non_skeletal,Non-skeletal,13
qp1no08,microbial,Microbial,14
qp1no08,other,Other,
cf7sc66,sandstone,Sandstone,
cf7sc66,siltstone,Siltstone,1
cf7sc66,conglomerate,Conglomerate,2
cf7sc66,breccia,Breccia,3
cf7sc66,shale,Shale,4
cf7sc66,claystone,Claystone,5
cf7sc66,mudstone,Mudstone,6
cf7sc66,wackestone,Wackestone,7
cf7sc66,packstone,Packstone,8
cf7sc66,grainstone,Grainstone,9
cf7sc66,floatstone,Floatstone,10
cf7sc66,rudstone,Rudstone,11
cf7sc66,framestone,Framestone,12
cf7sc66,bindstone,Bindstone,13
cf7sc66,bafflestone,Bafflestone,14
cf7sc66,cementstone,Cementstone,15
cf7sc66,other,Other,
lp9ir83,high_energy,High energy,
lp9ir83,low_energy,Low energy,
lp9ir83,variable_energ,Variable energy,
lp9ir83,other,Other,
nr37l64,waves,Waves,
nr37l64,current,Current,
nr37l64,combined_flow,Combined flow,
nr37l64,bed_load,Bed load,
nr37l64,suspended_load,Suspended load,
nr37l64,turbidity_curr,Turbidity current,
nr37l64,debris_flow,Debris flow,
nr37l64,density_flow,Density flow,
nr37l64,mud_slurry,Mud slurry,
nr37l64,hypopycnal_flo,Hypopycnal flow,
nr37l64,hyperpycnal_fl,Hyperpycnal flow,
nr37l64,mass_transport,Mass transport,
nr37l64,tides,Tides,
nr37l64,tidal_rhythmit,Tidal rhythmite,
nr37l64,tidal_bundle,Tidal bundle,
nr37l64,wind,Wind,
nr37l64,ice,Ice,
nr37l64,pyroclastic_fl,Pyroclastic flow,
nr37l64,ground_surge,Ground surge,
nr37l64,base_surge,Base surge,
nr37l64,other,Other,
fe1pj82,liquefaction,Liquefaction,
fe1pj82,granular,Granular,
fe1pj82,mass_flow,Mass flow,
fe1pj82,other,Other,
kk8ql20,ice_rafting,Ice rafting,
kk8ql20,till,Till,
kk8ql20,moraine,Moraine,
kk8ql20,storm,Storm,
kk8ql20,hemipelagic,Hemipelagic,
kk8ql20,desiccation,Desiccation,
kk8ql20,river,River,
kk8ql20,earthquake,Earthquake,
kk8ql20,flood,Flood,
kk8ql20,impact,Impact,
kk8ql20,evaporation,Evaporation,
kk8ql20,bio_precipitat,Bio-precipitation,
kk8ql20,oxidation_redu,Oxidation/reduction,
kk8ql20,pedogenic,Pedogenic,
kk8ql20,biomediated,Biomediated,
kk8ql20,microbial,Microbial,
kk8ql20,bedform_migrat,Bedform migration,
kk8ql20,other,Other,
