type,name,label,required,relevant,calculation,$given_name
begin_group,group_ei1uf86,Process Interpretation,false,,,
select_one lp9ir83,energy,Energy,false,,,
text,other_energy,Other Energy,false,${energy} = 'other',,
select_multiple nr37l64,sediment_transport,Sediment Transport,false,,,
text,other_sediment_transport,Other Sediment Transport,false,"selected(${sediment_transport}, 'other')",,
select_one fe1pj82,fluidization,Fluidization,false,,,
text,other_fluidization,Other Fluidization,false,${fluidization} = 'other',,
select_multiple kk8ql20,miscellaneous,Miscellaneous,false,,,
text,other_miscellaneous,Other Misc. Process,false,"selected(${miscellaneous}, 'other')",,
text,notes,Notes,false,,,
end_group,,,,,,
calculate,__version__,,false,,'v3efDpNuEsJwE9rfyRJUwq',
calculate,_version_,,false,,'vSDNywBR9vKgBhd6QsPBTb',__version__
calculate,_version__001,,,,'v5mKHRj3G5rHrqH9pqTgPr',__version__
