list_name,name,label,order
sz3eh26,flat,Flat,
sz3eh26,undulatory,Undulatory,
sz3eh26,concave_up,Concave up,
sz3eh26,concave_down,Concave down,
sz3eh26,curved,Curved,
sz3eh26,irregular,Irregular,
id9jw28,cm,cm,
id9jw28,m,m,
me6zn01,cm,cm,
me6zn01,m,m,
me6zn01,km,km,
yj8ul45,mineralization,mineralization,
yj8ul45,karst,karst,1
yj8ul45,hardground,hardground,2
yj8ul45,firmground,Firmground,3
yj8ul45,burrowed,burrowed,4
yj8ul45,pedogenic,pedogenic,5
yj8ul45,weathering,weathering,6
yj8ul45,lag,lag,7
yj8ul45,condensed,condensed,8
yj8ul45,erosional,erosional,9
yj8ul45,conformable,conformable,10
yj8ul45,unconformable,unconformable,11
yj8ul45,ash_tuff,ash/tuff,12
yj8ul45,fault,fault exposure,13
yj8ul45,other,flooding,14
yj8ul45,ravinement,ravinement,15
yj8ul45,hiatal,hiatus (hiatal),16
yj8ul45,reactivation,reactivation,17
yj8ul45,supersurf,supersurface,18
yj8ul45,interdune,interdune,19
yj8ul45,deflation,deflation,20
yj8ul45,other_surf_typ,other,21
ew1qt64,onlap,Onlap,
ew1qt64,downlap,Downlap,
ew1qt64,toplap,Toplap,
ew1qt64,offlap,Offlap,
xb6oy11,type_1_sequenc,Type 1 Sequence Boundary,
xb6oy11,type_2_sequenc,Type 2 Sequence Boundary,1
xb6oy11,type_3_sequenc,Type 3 Sequence Boundary (drowning unconformity),2
xb6oy11,interfluve_exp,interfluve expression,3
xb6oy11,erosional_expr,erosional expression,4
xb6oy11,correlative_co,correlative conformity,5
xb6oy11,parasequence_b,parasequence boundary,6
xb6oy11,maximum_floodi,maximum flooding surface,7
xb6oy11,transgressive,transgressive surface of erosion,8
xb6oy11,subaerial_unco,subaerial unconformity,9
xb6oy11,other_seq_stra,other,
