type,name,label,required,relevant,calculation,$given_name
begin_group,group_ys5jt49,Sedimentary Surfaces (for line spots only),false,,,
select_one sz3eh26,geometry,Geometry,false,,,
text,relief,Relief,false,,,
select_one id9jw28,relief_scale,Relief Scale,false,,,
text,extent,Extent,false,,,
select_one me6zn01,extent_scale,Extent Scale,false,${extent} != '',,
select_multiple yj8ul45,type,Type,false,,,
text,other_type,Other Type,false,"selected(${type}, 'other')",,
select_one ew1qt64,stratal_termination,Stratal Termination,false,,,
end_group,,,,,,
begin_group,group_yj4re33,Sedimentary Surface Interpretation,false,,,
text,general_surfaces,General Surfaces,false,,,
select_one xb6oy11,sequence_stratigraphic_surfaces,Sequence Stratigraphic Surfaces,false,,,
text,other_sequence_stratigraphic_surface,Other Sequence Stratigraphic Surface,false,${sequence_stratigraphic_surfaces} = 'other_seq_stra',,
text,named,Named,false,,,
end_group,,,,,,
text,notes,Notes,false,,,
calculate,__version__,,false,,'voNoL4FZvJDQ58onwacDWa',
calculate,_version_,,false,,'vtzU2NHpbSi7ojPnx3JKvD',__version__
calculate,_version__001,,,,'v7co7Eag82f8WuREaVfiEN',__version__
