type,name,label,required,relevant,calculation
begin_group,group_nm5aj57,Sedimentary Facies,,,
select_multiple qp1no08,Modifier,Modifier,false,,
select_multiple cf7sc66,Lithology,Lithology,false,,
text,Other,Other,false,,
end_group,,,,,
begin_group,group_ei1uf86,Process Interpretation,,,
select_one lp9ir83,Energy,Energy,false,,
select_multiple nr37l64,Sediment_Transport,Sediment Transport,false,,
select_one fe1pj82,Fluidization,Fluidization,false,,
select_multiple kk8ql20,Miscellaneous,Miscellaneous,false,,
text,Other_001,Other,false,,
end_group,,,,,
begin_group,group_qo3sq24,Environment Interpretation,,,
select_multiple ee59y88,General,General,false,,
select_multiple ml38g37,Clastic,Clastic,false,,
select_multiple xt0tt07,Alluvial_fan_environments,Alluvial fan environments,false,"selected(${Clastic}, 'alluvial_fan')",
select_multiple hy05n94,Eolian_environments,Eolian environments,false,"selected(${Clastic}, 'eolian')",
select_multiple qc4iq45,Fluvial_environments,Fluvial environments,false,"selected(${Clastic}, 'fluvial') or selected(${Clastic}, 'floodplain')",
select_multiple kw9js55,Shallow_marine_clastic_environments,Shallow marine clastic environments,false,"selected(${Clastic}, 'tidal_flat') or selected(${Clastic}, 'delta') or selected(${Clastic}, 'shoreface') or selected(${Clastic}, 'option_26') or selected(${Clastic}, 'offshore_transition_zone') or selected(${Clastic}, 'open_marine')",
select_multiple um6fk82,Deep_marine_environments,Deep marine environments,false,"selected(${Clastic}, 'option_18') or selected(${Clastic}, 'option_19')",
select_multiple tv89s87,Glacial_and_proglacial_environments,Glacial and proglacial environments,false,"selected(${Clastic}, 'glacial_and_proglacial')",
select_multiple er65b70,Lake_environments,Lake environments,false,"selected(${Clastic}, 'lake')",
select_multiple yi3tp14,Carbonates,Carbonates,false,,
select_multiple ow54y55,Factory,Factory,false,"selected(${Carbonates}, 'factory')",
select_multiple pv3ex57,Carbonate,Environment,false,"selected(${Carbonates}, 'environment')",
select_multiple em9bi13,Lake_Subenvironments,Lake Subenvironments,false,"selected(${Carbonate}, 'lake')",
select_multiple kx3or79,Tidal_Flat_Subenvironments,Tidal Flat Subenvironments,false,"selected(${Carbonate}, 'tidal_flat')",
select_multiple vh0av40,Reef_Subenvironments,Reef Subenvironments,false,"selected(${Carbonate}, 'reef_and_assoc')",
text,Detailed_carbonate_e_ntal_interpretations,Detailed carbonate environmental interpretations,false,"selected(${Carbonate}, 'subaerial_expo') or selected(${Carbonate}, 'lake') or selected(${Carbonate}, 'cave') or selected(${Carbonate}, 'eolian') or selected(${Carbonate}, 'tidal_flat') or selected(${Carbonate}, 'lagoon') or selected(${Carbonate}, 'beach') or selected(${Carbonate}, 'reef_and_assoc') or selected(${Carbonate}, 'shoal') or selected(${Carbonate}, 'shelf') or selected(${Carbonate}, 'slope') or selected(${Carbonate}, 'basin')",
select_multiple xm7ti94,Tectonic_Setting,Tectonic Setting,false,,
text,Other_002,Other,false,,
text,Notes,Notes,false,,
end_group,,,,,
begin_group,group_ys5jt49,Sedimentary Surfaces,,,
select_one sz3eh26,Geometry,Geometry,false,,
text,Relief,Relief,false,,
select_one id9jw28,Relief_Scale,Relief Scale,false,${Relief} != '',
text,Extent,Extent,false,,
select_one me6zn01,Extent_Scale,Extent Scale,false,${Extent} != '',
select_multiple yj8ul45,Type,Type,false,,
select_one ew1qt64,Stratal_Termination,Stratal Termination,false,,
end_group,,,,,
begin_group,group_ek0jc37,Sedimentary Surface Interpretation,,,
select_one vk3ri97,General_Surfaces,General Surfaces,false,,
select_one xb6oy11,Sequence_stratigraphic_surfaces,Sequence stratigraphic surfaces,false,,
text,Named,Named,false,,
end_group,,,,,
begin_group,group_wo9iu92,Architecture Interpretation,,,
select_one pu79d34,Description,Description,false,,
select_multiple di5fn81,Stacking_Sequence_Stratigraphy,Stacking/Sequence Stratigraphy,false,,
select_multiple nk4ga99,Fluvial_Architectural_Elements,Fluvial Architectural Elements,false,,
select_multiple oa3pi37,Lacustrine_Architecture_Interpretation,Lacustrine Architecture Interpretation,false,,
select_multiple dh0ic29,Carbonate_Platform_Geometry,Carbonate Platform Geometry,false,,
select_multiple rm7cl73,Carbonate_Margin_Geometry,Carbonate Margin Geometry,false,,
text,Other_003,Other,false,,
end_group,,,,,
calculate,__version__,,,,'vwkHdq48rMapBJnS4SUCN8'
