list_name,name,label,order
yf18f03,quartz,quartz,
yf18f03,mica,mica,
yf18f03,glauconite,glauconite,
yf18f03,feldspar,feldspar,
yf18f03,clay,clay,
yf18f03,lithics,lithics,
yf18f03,rip_up_clasts,rip-up clasts,
yf18f03,heavy_minerals,heavy minerals,
yf18f03,pyrite,pyrite,
yf18f03,gypsum,gypsum,
yf18f03,halite,halite,
yf18f03,chert,chert,
yf18f03,hematite,hematite,
yf18f03,limonite,limonite,
yf18f03,goethite,goethite,
yf18f03,magnetite,magnetite,
yf18f03,calcite,calcite,
yf18f03,dolomite,dolomite,
yf18f03,oragonite,aragonite,
yf18f03,siderite,siderite,
yf18f03,ankerite,ankerite,
yf18f03,apatite,apatite,
yf18f03,zeolites,zeolites,
yf18f03,organics,organics,
yf18f03,coalified_wood,coalified wood,
yf18f03,illite,illite,
yf18f03,bentonite,bentonite,
yf18f03,smectite,smectite,
yf18f03,chlorite,chlorite,
yf18f03,kaolinite,kaolinite,
yf18f03,other,other,
uh8oy57,quartz_arenite,quartz arenite,
uh8oy57,arkosic_arenit,feldspathic arenite,
uh8oy57,subarkose_aren,subarkose arenite,
uh8oy57,lithic_arenite,lithic arenite,
uh8oy57,sublitharenite,sublitharenite,
uh8oy57,quartz_wacke,quartz wacke,
uh8oy57,lithic_wacke,lithic wacke,
uh8oy57,feldspathic_wa,feldspathic wacke,
vw5id84,quartzarenite,quartzarenite,
vw5id84,subarkose,subarkose,
vw5id84,sublitharenite,sublitharenite,
vw5id84,arkose,arkose,
vw5id84,lithic_arkose,lithic arkose,
vw5id84,arkosic_lithar,arkosic litharenite,
vw5id84,litharenite,litharenite,
cv9qv11,rip_up_clasts,rip-up clasts,
cv9qv11,wood,wood,
cv9qv11,fossils,fossils,
cv9qv11,other,other,
hw9cd71,skeletal_gener,skeletal (general),
hw9cd71,mollusc,mollusc,
hw9cd71,brachiopod,brachiopod,
hw9cd71,coral,coral,
hw9cd71,echinoderm,echinoderm,
hw9cd71,bryozoan,bryozoan,
hw9cd71,calcareous_alg,calcareous algae,
hw9cd71,foraminifera,foraminifera,
hw9cd71,stromatolite,stromatolite,
hw9cd71,thrombolite,thrombolite,
hw9cd71,dendrolite,dendrolite,
hw9cd71,leiolite,leiolite,
hw9cd71,other,other,
gi8hz21,mud,mud,
gi8hz21,cement,cement,
gi8hz21,intraclast,intraclast,
gi8hz21,peloid,peloid,
gi8hz21,ooid,ooid,
gi8hz21,oncoid,oncoid,
gi8hz21,pisoid,pisoid,
gi8hz21,coated_grain,coated grain,
gi8hz21,grapestone,grapestone,
gi8hz21,giant_ooid,giant ooid,
gi8hz21,seafloor_preci,seafloor precipitate,
gi8hz21,molar_tooth,molar tooth,
gi8hz21,other,other,
kg6zo76,siliceous_muds,siliceous mudstone,
kg6zo76,siliceous_calc,siliceous calcareous mudstone,1
kg6zo76,siliceous_volc,siliceous volcaniclastic mudstone,2
kg6zo76,calcareous_mud,calcareous mudstone,3
kg6zo76,black_shale,black shale,4
kg6zo76,red_clay,red clay,5
kg6zo76,red_mudstone,red mudstone,6
kg6zo76,green_mudstone,green mudstone,7
kg6zo76,variegated_mud,variegated mudstone,8
kg6zo76,marl,marl,9
kg6zo76,sarl,sarl,10
kg6zo76,argillaceous_m,argillaceous mudstone,11
kg6zo76,other,other,
ih44p58,intraformation,intraformational,
ih44p58,extraformation,extraformational,
