type,name,label,required,read_only,relevant,appearance,calculation,$given_name
begin_group,group_dh9oi63,Primary Lithology,false,,,,,
select_one eb2oc45,primary_lithology,Primary Lithology,false,false,,,,
select_one gb31w57,siliciclastic_type,Siliciclastic Type,false,,${primary_lithology} = 'siliciclastic',,,
select_one qf3ff03,dunham_classification,Dunham Classification,false,,${primary_lithology} = 'limestone' or ${primary_lithology} = 'dolostone',,,
select_one ye65k64,grain_type,Grain Type,false,,${dunham_classification} != '',,,
select_multiple gg6bk97,evaporite_type,Evaporite type,false,,${primary_lithology} = 'evaporite',,,
text,other_evaporite_type,Other Evaporite Type,false,,"selected(${evaporite_type}, 'other')",,,
select_multiple om8xr30,organic_coal_lithologies,Organic/Coal Lithologies,false,,${primary_lithology} = 'organic_coal',,,
text,other_organic_coal_lithology,Other Organic/Coal Lithology,false,,"selected(${organic_coal_lithologies}, 'other')",,,
select_multiple so29n97,volcaniclastic_type,Volcaniclastic type,false,,${primary_lithology} = 'volcaniclastic',,,
text,other_volcaniclastic_type,Other Volcaniclastic Type,false,,"selected(${volcaniclastic_type}, 'other')",,,
select_multiple mo7ce83,phosphorite_type,Phosphorite type,false,,${primary_lithology} = 'phosphatic',,,
text,other_phosphorite_type,Other Phosphorite Type,false,,"selected(${phosphorite_type}, 'other')",,,
end_group,,,,,,,,
begin_group,group_dl2nh17,Lithification & Color,false,,,,,
select_one wc2ju40,relative_resistance_weather,Relative resistance (weathering profile),false,,,,,
select_one wa8pw49,lithification,Lithification,false,,,,,
text,fresh_color,Fresh Color,false,,,,,
text,weathered_color,Weathered Color,false,,,,,
select_multiple qx0wn31,color_appearance,Color Appearance,false,,,,,
text,other_color_appearance,Other Color Appearance,false,,"selected(${color_appearance}, 'other')",,,
end_group,,,,,,,,
text,notes,Notes,false,false,,multiline,,
calculate,__version__,,false,,,,'v9rHiuuiAyP6sZb37Z3rhL',
calculate,_version_,,false,,,,'vA7MpAXXjjrXEZxSwSN3Wk',__version__
calculate,_version__001,,,,,,'v8Ecsacyy2MDbLGpqCnh2c',__version__
