type,name,label,required,default,relevant,constraint_message,constraint,calculation
begin_group,group_yr5ih99,Basics,,,,,,
decimal,interval_thickness,Interval thickness,false,,,,,
select_one jt6by54,thickness_units,Thickness Units,false,,,,,
select_one vq5ai01,bed_package_or_covered,"Is this a bed, a package (succession of beds), or covered?",false,Package,,,,
decimal,bed_thickness_m,Thickness of the bed (meters),false,,${bed_package_or_covered} = 'bed',The thickness must be greater than 0,,
decimal,package_thickness_m,Thickness of the package (meters),false,,${bed_package_or_covered} = 'package_succe',The thickness must be greater than 0,. > 0,
decimal,covered_thickness_m,Thickness of the covered interval (meters),false,,${bed_package_or_covered} = 'cover',The thickness must be greater than 0,,
select_one wc2ju40,relative_resistance_weathering,Relative resistance (weathering profile),false,,,,,
select_one kq9qb39,lithification,Lithification,false,,${bed_package_or_covered} != 'cover',,,
text,fresh_color,Fresh Color,false,,${bed_package_or_covered} != 'cover',,,
text,weathered_color,Weathered Color,false,,${bed_package_or_covered} != 'cover',,,
text,rock_name,Rock Name,false,,,,,
end_group,,,,,,,,
begin_group,group_gw3td21,Lithology,,,,,,
select_multiple js5zp52,lithologies,Lithologies,false,,${bed_package_or_covered} != 'cover',,,
text,other_lithology,Other lithology,false,,"selected(${lithologies}, 'other')",,,
select_one qf3ff03,principal_dunham_classificatio,Principal Dunham Classification,false,,,,,
select_multiple cv5pj14,dunham_classification,Dunham  classification,false,,"selected(${lithologies}, 'wackestone') or selected(${lithologies}, 'packstone')",,,
integer,Mudstone_percent,Mudstone percent,false,,"selected(${dunham_classification}, 'mudstone')",,,
integer,Wackestone_percent,Wackestone percent,false,,"selected(${dunham_classification}, 'wackestone')",,,
integer,Packstone_percent,Packstone percent,false,,"selected(${dunham_classification}, 'packstone')",,,
integer,Grainstone_percent,Grainstone percent,false,,"selected(${dunham_classification}, 'grainstone')",,,
integer,Boundstone_percent,Boundstone percent,false,,"selected(${dunham_classification}, 'boundstone')",,,
integer,cementstone_percent,cementstone percent,false,,"selected(${dunham_classification}, 'cementstone')",,,
integer,Recrystallized_percent,Recrystallized percent,false,,"selected(${dunham_classification}, 'recrystallized')",,,
integer,Floatstone_percent,Floatstone percent,false,,"selected(${dunham_classification}, 'floatstone')",,,
integer,Rudstone_percent,Rudstone percent,false,,"selected(${dunham_classification}, 'rudstone')",,,
integer,Framestone_percent,Framestone percent,false,,"selected(${dunham_classification}, 'framestone')",,,
integer,Bafflestone_percent,Bafflestone percent,false,,"selected(${dunham_classification}, 'bafflestone')",,,
integer,Bindstone_percent,Bindstone percent,false,,"selected(${dunham_classification}, 'bindstone')",,,
select_multiple mj2lc26,Carbonate_components,Carbonate components,false,,"selected(${lithologies}, 'wackestone') or selected(${lithologies}, 'packstone')",,,
text,Other_carbonate_component_s,Other carbonate component(s),false,,"selected(${Carbonate_components}, 'other')",,,
select_multiple zo49i95,Siliciclastic_lithologies,Siliciclastic lithologies,false,,"selected(${lithologies}, 'AUTOMATIC')",,,
decimal,Sandstone_percent,Sandstone percent,false,,"selected(${Siliciclastic_lithologies}, 'sandstone')",,,
decimal,Siltstone_percent,Siltstone percent,false,,"selected(${Siliciclastic_lithologies}, 'siltstone')",,,
decimal,Shale_percent,Shale percent,false,,"selected(${Siliciclastic_lithologies}, 'shale')",,,
decimal,Mudstone_percent_001,Mudstone percent,false,,"selected(${Siliciclastic_lithologies}, 'mudstone')",,,
decimal,Claystone_percent,Claystone percent,false,,"selected(${Siliciclastic_lithologies}, 'claystone')",,,
decimal,Conglomerate_percent,Conglomerate percent,false,,"selected(${Siliciclastic_lithologies}, 'conglomerate')",,,
decimal,Breccia_percent,Breccia percent,false,,"selected(${Siliciclastic_lithologies}, 'breccia')",,,
select_one yv8kw79,Sandstone_classification,Sandstone Classification QFL,false,,"selected(${Siliciclastic_lithologies}, 'sandstone')",,,
select_multiple uh8oy57,Sandstone_type_Dott,Sandstone type (Dott),false,,${Sandstone_classification} = 'dott',,,
select_multiple vw5id84,Sandstone_type_Folk_McBride,Sandstone type (Folk/McBride),false,,${Sandstone_classification} = 'folk_mcbride',,,
select_multiple cv9qv11,Sandstone_modifier,Sandstone modifier,false,,"selected(${Siliciclastic_lithologies}, 'sandstone')",,,
select_multiple kg6zo76,Clay_or_mudstone_type,Clay or mudstone type,false,,"selected(${Siliciclastic_lithologies}, 'claystone') or selected(${Siliciclastic_lithologies}, 'mudstone')",,,
