list_name,name,label
br57a34,clay,clay
br57a34,silt,silt
yt6dh35,sand_very_fin,sand- very fine
yt6dh35,sand_fine_low,sand- fine lower
yt6dh35,sand_fine_upp,sand- fine upper
yt6dh35,sand_medium_l,sand- medium lower
yt6dh35,sand_medium_u,sand- medium upper
yt6dh35,sand_coarse_l,sand- coarse lower
yt6dh35,sand_coarse_u,sand- coarse upper
yt6dh35,sand_very_coa,sand- very coarse
hx7uv11,granule,granule
hx7uv11,pebble,pebble
hx7uv11,cobble,cobble
hx7uv11,boulder,boulder
ww4nv53,clay,clay
ww4nv53,silt,silt
ww4nv53,sand_very_fin,sand- very fine
ww4nv53,sand_fine_low,sand- fine lower
ww4nv53,sand_fine_upp,sand- fine upper
ww4nv53,sand_medium_l,sand- medium lower
ww4nv53,sand_medium_u,sand- medium upper
ww4nv53,sand_coarse_l,sand- coarse lower
ww4nv53,sand_coarse_u,sand- coarse upper
ww4nv53,sand_very_coa,sand- very coarse
ww4nv53,granule,granule
ww4nv53,pebble,pebble
ww4nv53,cobble,cobble
ww4nv53,boulder,boulder
fz52a24,clay,clay
fz52a24,silt,silt
fz52a24,sand,sand
fz52a24,granule,granule
fz52a24,pebble,pebble
fz52a24,cement,cement
fz52a24,none,none
en1dw51,grain-supporte,grain-supported
en1dw51,matrix-support,matrix-supported
en1dw51,imbrication,imbrication
en1dw51,granule,alignment
dq8tl80,v_well_sorted,very well sorted
dq8tl80,well_sorted,well sorted
dq8tl80,mod_sorted,moderately sorted
dq8tl80,poorly_sorted,poorly sorted
dq8tl80,v_poorly_sorte,very poorly sorted
hs69g66,well_rounded,well-rounded
hs69g66,rounded,rounded
hs69g66,subrounded,subrounded
hs69g66,subangular,subangular
hs69g66,angular,angular
hs69g66,very_angular,very angular
tz12z20,spherical,spherical
tz12z20,equant,equant
tz12z20,tabular,tabular
tz12z20,disk_chip_like,disk/chip-like
tz12z20,prolate,prolate
tz12z20,bladed,bladed
tz12z20,rod_like,rod-like
tz12z20,skeletal,skeletal
tz12z20,non_skeletal,non-skeletal
tz12z20,other,other
