type,name,label,required,read_only,relevant,calculation,$given_name
begin_group,group_ha0qn59,Texture,false,,,,
select_one br57a34,mud_silt_grain_size,Mudstone/Siltstone Grain Size,false,false,,,
select_one yt6dh35,sand_grain_size,Sandstone Grain Size,false,false,,,
select_one hx7uv11,congl_grain_size,Conglomerate Grain Size,false,false,,,
select_one hx7uv11,breccia_grain_size,Breccia Grain Size,false,false,,,
select_multiple ww4nv53,grain_size_range,Grain Size Range,false,false,,,
decimal,clay_percent,Clay percent,false,false,"selected(${grain_size_range}, 'clay')",,
decimal,silt_percent,Silt percent,false,false,"selected(${grain_size_range}, 'silt')",,
decimal,sand_very_fine_percent,Sand - very fine percent,false,false,"selected(${grain_size_range}, 'sand_very_fin')",,
decimal,sand_fine_lower_percent,Sand - fine lower percent,false,false,"selected(${grain_size_range}, 'sand_fine_low')",,
decimal,sand_fine_upper_percent,Sand - fine upper percent,false,false,"selected(${grain_size_range}, 'sand_fine_upp')",,
decimal,sand_medium_lower_percent,Sand - medium lower percent,false,false,"selected(${grain_size_range}, 'sand_medium_l')",,
decimal,sand_medium_upper_percent,Sand - medium upper percent,false,false,"selected(${grain_size_range}, 'sand_medium_u')",,
decimal,sand_coarse_lower_percent,Sand - coarse lower percent,false,false,"selected(${grain_size_range}, 'sand_coarse_l')",,
decimal,sand_coarse_upper_percent,Sand - coarse upper percent,false,false,"selected(${grain_size_range}, 'sand_coarse_u')",,
decimal,sand_very_coarse_percent,Sand - very coarse percent,false,false,"selected(${grain_size_range}, 'sand_very_coa')",,
decimal,granule_percent,Granule percent,false,false,"selected(${grain_size_range}, 'granule')",,
decimal,pebble_percent,Pebble percent,false,false,"selected(${grain_size_range}, 'pebble')",,
decimal,cobble_percent,Cobble percent,false,false,"selected(${grain_size_range}, 'cobble')",,
decimal,boulder_percent,Boulder percent,false,false,"selected(${grain_size_range}, 'boulder')",,
decimal,maximum_clast_size_cm,Maximum Clast Size (cm),false,false,,,
decimal,minimum_clast_size_cm,Minimum Clast Size (cm),false,false,,,
decimal,average_clast_size_cm,Average Clast Size (cm),false,false,,,
select_multiple fz52a24,matrix_size,Matrix Size,false,false,,,
select_multiple en1dw51,character,Character,false,false,,,
select_multiple dq8tl80,sorting,Sorting,false,false,,,
select_multiple hs69g66,rounding,Rounding,false,false,,,
select_multiple tz12z20,shape,Shape,false,false,,,
text,other_shape,Other Shape,false,,"selected(${shape}, 'other')",,
text,notes,Notes,false,false,,,
end_group,,,,,,,
calculate,__version__,,false,false,,'vpSRWLYg7xtLSMswzEzCvi',
calculate,_version_,,false,,,'vgSJ65Wgsw4aosJiNG5H9J',__version__
calculate,_version__001,,,,,'vjs6HiwTBSoqnBbKxDDfPM',__version__
