list_name,name,label
da8ok49,o,O
da8ok49,a,A
da8ok49,e,E
da8ok49,b,B
da8ok49,k,K
da8ok49,c,C
da8ok49,r,R
da8ok49,compound,compound
da8ok49,composite,composite
da8ok49,other,other
lg4oy98,peds,peds
lg4oy98,slickensides,slickensides
lg4oy98,rooting,rooting
lg4oy98,mottling,mottling
lg4oy98,carbonate_nodu,carbonate nodules
lg4oy98,leaching_horiz,leaching horizons
lg4oy98,other,other
mw8xp09,histosol,histosol
mw8xp09,protosol,protosol
mw8xp09,vertisol,vertisol
mw8xp09,gleysol,gleysol
mw8xp09,calcisol,calcisol
mw8xp09,gypsisol,gypsisol
mw8xp09,argillisol,argillisol
mw8xp09,spodosol,spodosol
mw8xp09,oxisol,oxisol
