type,name,label,required,relevant,appearance,calculation,$given_name
start,start,,,,,,
end,end,,,,,,
text,section_well_name,Section/Well Name,false,,,,
select_one gz3ra74,column_profile,Column Profile,false,,,,
acknowledge,misc_labels,Show Labels for Misc Lithologies,false,${column_profile} = 'clastic' or ${column_profile} = 'carbonate' or ${column_profile} = 'mixed_clastic',,,
acknowledge,display_lithology_patterns,Display Lithology Patterns,false,,,,
select_one zc89y27,column_y_axis_units,Column Y-Axis Units,false,,,,
select_one pu1qb77,section_type,Section Type,false,,,,
text,what_core_repository,What Core Repository?,false,${section_type} = 'core',,,
text,type_of_corer,Type of corer,false,${section_type} = 'core',,,
text,depth_from_surface_to_start_of,Depth from surface to start of core,false,${section_type} = 'core',,,
text,total_core_length,Total core length,false,${section_type} = 'core',,,
text,location_locality,Location/Locality,false,,,,
text,basin,Basin,false,,,,
text,age,Age,false,,,,
select_multiple io1jz71,purpose,Purpose,false,,,,
text,other_purpose,Other Purpose,false,"selected(${purpose}, 'other')",,,
text,project_description,Project Description,false,,,,
text,dates_of_work,Dates of Work,false,,,,
select_multiple oy67z09,scale_of_interest,Scale of Interest,false,,,,
text,other_scale_of_interest,Other Scale of Interest,false,"selected(${scale_of_interest}, 'other')",,,
select_one gy5ky31,obs_interval_bed_obs_scale,Observation Interval (average bed/observation scale),false,,,,
select_one ao6ek37,how_is_section_georeferenced,How is the Section Georeferenced?,false,,,,
text,strat_section_notes,Notes,false,,multiline,,
calculate,__version__,,false,,,'vABoyibvTTxS8wqHZcbXuC',
calculate,_version_,,,,,'vz2UUddY9Aevi5TxvE3MNX',__version__
