list_name,name,label
da8ok49,o,O
da8ok49,a,A
da8ok49,e,E
da8ok49,b,B
da8ok49,k,K
da8ok49,c,C
da8ok49,r,R
da8ok49,compound,compound
da8ok49,composite,composite
da8ok49,other,other
lg4oy98,peds,peds
lg4oy98,slickensides,slickensides
lg4oy98,rooting,rooting
lg4oy98,mottling,mottling
lg4oy98,carbonate_nodu,carbonate nodules
lg4oy98,leaching_horiz,leaching horizons
lg4oy98,other,other
hu6nm09,gelisol,gelisol
hu6nm09,histosol,histosol
hu6nm09,spodosol,spodosol
hu6nm09,andisol,andisol
hu6nm09,oxisol,oxisol
hu6nm09,vertisol,vertisol
hu6nm09,aridisol,aridisol
hu6nm09,ultisol,ultisol
hu6nm09,mollisol,mollisol
hu6nm09,alfisol,alfisol
hu6nm09,inceptisol,inceptisol
hu6nm09,entisol,entisol
