type,name,label,required,read_only,relevant,calculation,$given_name
begin_group,group_ck6ux23,Pedogenic Structures,false,,,,
select_multiple da8ok49,paleosol_horizons,Master Paleosol Horizons,false,false,,,
text,other_horizon,Other Horizon,false,false,"selected(${paleosol_horizons}, 'other')",,
decimal,o_horizon_thickness_cm,O Horizon thickness (cm),false,false,"selected(${paleosol_horizons}, 'o')",,
decimal,a_horizon_thickness_cm,A Horizon thickness (cm),false,false,"selected(${paleosol_horizons}, 'a')",,
decimal,e_horizon_thickness_cm,E Horizon thickness (cm),false,false,"selected(${paleosol_horizons}, 'e')",,
decimal,b_horizon_thickness_cm,B Horizon thickness (cm),false,false,"selected(${paleosol_horizons}, 'b')",,
decimal,k_horizon_thickness_cm,K Horizon thickness (cm),false,false,"selected(${paleosol_horizons}, 'k')",,
decimal,c_horizon_thickness_cm,C Horizon thickness (cm),false,false,"selected(${paleosol_horizons}, 'c')",,
decimal,r_horizon_thickness_cm,R Horizon thickness (cm),false,false,"selected(${paleosol_horizons}, 'r')",,
decimal,compound_thickness_cm,Compound thickness (cm),false,false,"selected(${paleosol_horizons}, 'compound')",,
decimal,composite_thickness_cm,Composite thickness (cm),false,false,"selected(${paleosol_horizons}, 'composite')",,
select_multiple lg4oy98,paleosol_structures,Paleosol structures,false,false,,,
text,other_structure,Other Paleosol Structure,false,false,"selected(${paleosol_structures}, 'other')",,
text,additional_modifiers,Additional modifiers,false,false,,,
select_multiple hu6nm09,paleosol_classification,"Paleosol classification (after Soil Survey Staff, 1999; Retallack, 2001)",false,false,,,
text,notes,Notes,false,false,,,
end_group,,,,,,,
calculate,__version__,,false,false,,'v5hWSTnHxSBfsy5RxjeR57',
calculate,_version_,,false,,,'vVRpoaJJ7NVACKq8ssCHcR',__version__
calculate,_version__001,,,,,'vBqw7dxiSkhHD4YAcUqiGJ',__version__
