list_name,name,label,order
ld5to24,yes,yes,
ld5to24,no,no,
re0hj03,cross_bedding,cross bedding (general),
re0hj03,trough,trough,1
re0hj03,hummocky,hummocky,2
re0hj03,swaley,swaley,3
re0hj03,planar_tabular,planar tabular,4
re0hj03,festoon,festoon,5
re0hj03,wedge,wedge,6
re0hj03,low_angle,low angle,7
re0hj03,high_angle,high angle,8
re0hj03,symmetric,symmetric,9
re0hj03,asymmetric,asymmetric,10
re0hj03,herringbone,herringbone,11
re0hj03,bi_directional,bi-directional,12
re0hj03,sigmoidal,sigmoidal,13
re0hj03,pinstripe,pinstripe,14
re0hj03,avalanche_tong,avalanche tongues,15
re0hj03,large_scale,large scale,16
re0hj03,carb_drapes,carbonaceous drapes,17
re0hj03,mud_drape,mud drape,18
re0hj03,other,other,19
jz8he61,cross_lamin,cross lamination (general),
jz8he61,trough,trough,1
jz8he61,climbing,climbing,2
jz8he61,flaser,flaser,3
jz8he61,wavy,wavy,4
jz8he61,lenticular,lenticular,5
jz8he61,translatent,translatent,6
jz8he61,starved,starved,7
jz8he61,herringbone,herringbone,8
jz8he61,symm_ripple,symmetric,9
jz8he61,asymm_ripple,asymmetric,10
jz8he61,bi_directional,bi-directional,11
jz8he61,pinstripe,pinstripe,12
jz8he61,wind,wind,13
jz8he61,interference,interference,14
jz8he61,carb_drape,carbonaceous drape,15
jz8he61,mud_drape,mud drape,16
jz8he61,other,other,17
sm1jb70,horizontal,horizontal,
sm1jb70,planar,planar,
sm1jb70,rhythmic,rhythmic,
sm1jb70,wavy,wavy,
sm1jb70,lenticular,lenticular,
sm1jb70,carbo_drape,carbonaceous drape,
sm1jb70,mud_drape,mud drape,
sm1jb70,sandy_stringer,sandy stringers,
sm1jb70,other,other,
ra89g56,normally_grade,normally graded,
ra89g56,inverse_graded,inverse graded,
aj0xd06,contorted_bedd,contorted bedding,
aj0xd06,convolute_bedd,convolute bedding,1
aj0xd06,rip_up_clasts,rip-up clasts,2
aj0xd06,nodular_beddin,nodular bedding,3
aj0xd06,pipes,pipes,4
aj0xd06,dikes,dikes,5
aj0xd06,sills,sills,6
aj0xd06,dish_structrue,dish structrues,7
aj0xd06,flame_structur,flame structures,8
aj0xd06,sand_mud_volca,sand/mud volcanoes,9
aj0xd06,load_structure,load structures,10
aj0xd06,ball_and_pillo,ball and pillow,11
aj0xd06,boudinage,boudinage,12
aj0xd06,intrastrat_crk,intrastratal cracks,13
aj0xd06,liquefaction,liquefaction features,14
aj0xd06,syn_sedimentar,syn-sedimentary faults,15
aj0xd06,neptunian_dike,Neptunian dikes,16
aj0xd06,post_lithifica,post-lithification deformational structures,17
aj0xd06,other,other,19
sp5hn71,lag_deposit,lag deposit,
sp5hn71,rip_up_clasts,rip-up clasts,
sp5hn71,intraclasts,intraclasts,
sp5hn71,other,other,
hi3ol65,bouma_sequence,Bouma Sequence,
hi3ol65,tidal_bundles,Tidal Bundles,
nw3sv70,a,a,
nw3sv70,b,b,
nw3sv70,c,c,
nw3sv70,d,d,
nw3sv70,e,e,
