type,name,label,required,relevant,appearance,calculation,$given_name
select_one ld5to24,massive_structureless,Massive/Structureless?,false,,,,
begin_group,group_rh8hl43,Cross Bedding,false,,,,
select_multiple re0hj03,cross_bedding_type,Cross Bedding Type,false,,,,
decimal,cross_bedding_height_cm,Cross Bedding Height (cm),false,,,,
decimal,cross_bedding_width_cm,Cross Bedding Width (cm),false,,,,
decimal,cross_bedding_thickness_cm,Cross Bedding Thickness (cm),false,,,,
decimal,cross_bedding_spacing_cm,Cross Bedding Spacing (cm),false,,,,
end_group,,,,,,,
begin_group,group_wy6rv67,Ripple Lamination,false,,,,
select_multiple jz8he61,ripple_lamination_type,Ripple Lamination Type,false,,,,
text,other_ripple_lamination_type,Other Ripple Lamination Type,false,"selected(${ripple_lamination_type}, 'other')",,,
decimal,ripple_lamination_height_mm,Ripple Lamination Height (mm),false,,,,
decimal,ripple_lamination_width_mm,Ripple Lamination Width (mm),false,,,,
decimal,ripple_lamination_thick_mm,Ripple Lamination Thickness (mm),false,,,,
decimal,ripple_lamination_spacing_mm,Ripple Lamination Spacing (mm),false,,,,
end_group,,,,,,,
begin_group,group_wz0qz25,Horizontal Bedding,false,,,,
select_multiple sm1jb70,horizontal_bedding_type,Horizontal Bedding Type,false,,,,
text,other_horizontal_bedding_type,Other Horizontal Bedding Type,false,"selected(${horizontal_bedding_type}, 'other')",,,
end_group,,,,,,,
begin_group,group_wt3hz92,Graded Bedding,false,,,,
select_one ra89g56,graded_bedding_type,Graded Bedding Type,false,,,,
end_group,,,,,,,
begin_group,group_wx21s79,Deformation Structures,false,,,,
select_multiple aj0xd06,deformation_structures,Deformation Structure Type,false,,,,
text,other_deformation_structure_type,Other Deformation Structure Type,false,"selected(${deformation_structures}, 'other')",,,
end_group,,,,,,,
begin_group,group_uy2hu92,Lags,false,,,,
select_multiple sp5hn71,lag_type,Lag Type,false,,,,
text,other_lag_type,Other Lag Type,false,"selected(${lag_type}, 'other')",,,
text,clast_composition,Clast Composition,false,,,,
text,clast_size,Clast Size,false,,,,
text,layer_thickness_shape,Layer Thickness/Shape,false,,,,
end_group,,,,,,,
begin_group,group_uj9cj06,Other Common Structures,false,,,,
select_multiple hi3ol65,other_common_structures,Other Common Structure Type,false,,,,
select_multiple nw3sv70,bouma_sequence_part,Bouma Sequence Part,false,"selected(${other_common_structures}, 'bouma_sequence')",,,
end_group,,,,,,,
text,notes,Notes,false,,multiline,,
calculate,__version__,,false,,,'vuHxrawX538zBkUTaiR4AB',
calculate,_version_,,,,,'vpQXtuVJRdaFwHnGuGABZj',__version__
