type,name,label,required,relevant,calculation
select_one zy6cd16,Add_Physical_Structures,Add physical structures,false,,
begin_group,group_wn3bk05,Physical Structures,,${Add_Physical_Structures} = 'yes',
select_one yy7ga03,Physical_Structures,Internal bedding structures,false,,
select_multiple re0hj03,Type,Cross stratified types,false,${Physical_Structures} = 'cross_stratifi',
text,Other,Other,false,"selected(${Type}, 'other')",
text,Trough_height,Trough height ,false,"selected(${Type}, 'trough')",
select_multiple jc3as89,Trough_Orientation_Indicator,Trough Orientation Indicator,false,"selected(${Type}, 'trough')",
text,Trough_axis_plunge_trend,Trough axis (plunge & trend),false,"selected(${Trough_Orientation_Indicator}, 'trough_axis__plunge___trend')",
text,Trough_cross_bed_dip_dip_direction,Trough cross bed (dip & dip direction),false,"selected(${Trough_Orientation_Indicator}, 'cross_bed__strike___dip')",
text,Hummocky_height,Hummocky height,false,"selected(${Type}, 'hummocky')",
text,Swaley_height,Swaley height,false,"selected(${Type}, 'swaley')",
text,Planar_tabular_height,Planar tabular height,false,"selected(${Type}, 'planar_tabular')",
text,Planar_tabular_cross_dip_dip_direction,Planar tabular cross bed orientation (dip & dip direction),false,"selected(${Type}, 'planar_tabular')",
text,Festoon_height,Festoon height,false,"selected(${Type}, 'festoon')",
select_multiple oj08o54,Festoon_Orientation_Indicator,Festoon orientation indicator,false,"selected(${Type}, 'festoon')",
text,Festoon_trough_axis_plunge_trend,Festoon trough axis (plunge & trend),false,"selected(${Festoon_Orientation_Indicator}, 'festoon_trough_axis__plunge___')",
text,Festoon_cross_beddin_dip_dip_direction,Festoon cross bedding (dip & dip direction),false,"selected(${Festoon_Orientation_Indicator}, 'festoon_cross_bedding__dip___d')",
text,Wedge_height_max,Wedge height (max),false,"selected(${Type}, 'wedge')",
text,Wedge_length,Wedge length ,false,"selected(${Type}, 'wedge')",
text,Wedge_orientation_dip_dip_direction,Wedge orientation (dip & dip direction),false,"selected(${Type}, 'wedge')",
text,Low_angle_height,Low angle height,false,"selected(${Type}, 'low_angle')",
text,Symmetric_height,Symmetric height,false,"selected(${Type}, 'symmetric')",
text,Symmetric_wavelength,Symmetric wavelength,false,"selected(${Type}, 'symmetric')",
text,Asymmetric_height,Asymmetric height,false,"selected(${Type}, 'asymmetric')",
text,Asymmetric_wavelength,Asymmetric wavelength,false,"selected(${Type}, 'asymmetric')",
text,Asymmetric_orientati_side_azimuth_0_360,"Asymmetric orientation (towards lee side, azimuth, 0-360)",false,"selected(${Type}, 'asymmetric')",
text,Climbing_angle,Climbing angle,false,"selected(${Type}, 'climbing')",
select_multiple hp2ng68,Climbing_ripple_type,Climbing ripple type,false,"selected(${Type}, 'climbing')",
text,Interference_height,Interference height,false,"selected(${Type}, 'interference')",
text,Translatent_angle,Translatent angle,false,"selected(${Type}, 'translatent')",
text,Flaser_height,Flaser height,false,"selected(${Type}, 'flaser')",
text,Flaser_thickness,Flaser thickness,false,"selected(${Type}, 'flaser')",
text,Wavy_height,Wavy height,false,"selected(${Type}, 'wavy')",
text,Lenticular_height,Lenticular height,false,"selected(${Type}, 'lenticular')",
text,Starved_ripples_height,Starved ripples height,false,"selected(${Type}, 'starved_ripple')",
text,Starved_ripples_wavelength,Starved ripples wavelength,false,"selected(${Type}, 'starved_ripple')",
text,Adhesion_height,Adhesion height,false,"selected(${Type}, 'adhesion')",
text,Herringbone_height,Herringbone height,false,"selected(${Type}, 'herringbone')",
text,Herringbone_orientat_0_360_for_each_set,"Herringbone orientations (azimuth, 0-360 for each set)",false,"selected(${Type}, 'herringbone')",
text,Sigmoidal_height,Sigmoidal height,false,"selected(${Type}, 'sigmoidal')",
text,Sigmoidal_length,Sigmoidal length,false,"selected(${Type}, 'sigmoidal')",
