type,name,label,read_only,required,relevant,calculation,$given_name
begin_group,group_ha0qn59,Texture,,,,,
select_one th1pp14,is_this_a_bed_or_package,Is this a bed or package (succession of beds) or covered?,false,false,,,
select_one we36h70,primary_lithology,Primary Lithology,false,true,${is_this_a_bed_or_package} = 'bed' or ${is_this_a_bed_or_package} = 'interbedded' or ${is_this_a_bed_or_package} = 'package_succe',,
select_one nq1zz74,principal_siliciclastic_type,Principal Siliciclastic Type,false,false,${primary_lithology} = 'siliciclastic',,
select_one br57a34,mud_silt_principal_grain_size,Mudstone/Siltstone Principal Grain Size,false,false,${principal_siliciclastic_type} = 'claystone' or ${principal_siliciclastic_type} = 'mudstone' or ${principal_siliciclastic_type} = 'shale' or ${principal_siliciclastic_type} = 'siltstone',,
select_one yt6dh35,sand_principal_grain_size,Sandstone Principal Grain Size,false,false,${principal_siliciclastic_type} = 'sandstone',,
select_one hx7uv11,congl_principal_grain_size,Conglomerate Principal Grain Size,false,false,${principal_siliciclastic_type} = 'conglomerate',,
select_one hx7uv11,breccia_principal_grain_size,Breccia Principal Grain Size,false,false,${principal_siliciclastic_type} = 'breccia',,
select_one eb2oc45,interbed_lithology,Interbed Lithology ,false,true,${is_this_a_bed_or_package} = 'interbedded',,
select_one md69g21,interbed_siliciclastic_type,Interbed Siliciclastic Type,false,true,${interbed_lithology} = 'siliciclastic',,
select_one en2os90,mud_silt_interbed_grain_size,Mudstone/Siltstone Interbed Grain Size,false,true,${interbed_siliciclastic_type} = 'claystone' or ${interbed_siliciclastic_type} = 'mudstone' or ${interbed_siliciclastic_type} = 'shale' or ${interbed_siliciclastic_type} = 'siltstone',,
select_one he4ke66,sand_interbed_grain_size,Sandstone Interbed Grain Size,false,true,${interbed_siliciclastic_type} = 'sandstone',,
select_one te32l95,congl_interbed_grain_size,Conglomerate Interbed Grain Size,false,true,${interbed_siliciclastic_type} = 'conglomerate',,
select_one te32l95,breccia_interbed_grain_size,Breccia Interbed Grain Size,false,true,${interbed_siliciclastic_type} = 'breccia',,
select_multiple ww4nv53,grain_size,Grain Size Range,false,false,,,
decimal,clay_percent,Clay percent,false,false,"selected(${grain_size}, 'clay')",,
decimal,silt_percent,Silt percent,false,false,"selected(${grain_size}, 'silt')",,
decimal,sand_very_fine_percent,Sand - very fine percent,false,false,"selected(${grain_size}, 'sand_very_fin')",,
decimal,sand_fine_lower_percent,Sand - fine lower percent,false,false,"selected(${grain_size}, 'sand_fine_low')",,
decimal,sand_fine_upper_percent,Sand - fine upper percent,false,false,"selected(${grain_size}, 'sand_fine_upp')",,
decimal,sand_medium_lower_percent,Sand - medium lower percent,false,false,"selected(${grain_size}, 'sand_medium_l')",,
decimal,sand_medium_upper_percent,Sand - medium upper percent,false,false,"selected(${grain_size}, 'sand_medium_u')",,
decimal,sand_coarse_lower_percent,Sand - coarse lower percent,false,false,"selected(${grain_size}, 'sand_coarse_l')",,
decimal,sand_coarse_upper_percent,Sand - coarse upper percent,false,false,"selected(${grain_size}, 'sand_coarse_u')",,
decimal,sand_very_coarse_percent,Sand - very coarse percent,false,false,"selected(${grain_size}, 'sand_very_coa')",,
decimal,granule_percent,Granule percent,false,false,"selected(${grain_size}, 'granule')",,
decimal,pebble_percent,Pebble percent,false,false,"selected(${grain_size}, 'pebble')",,
decimal,cobble_percent,Cobble percent,false,false,"selected(${grain_size}, 'cobble')",,
decimal,boulder_percent,Boulder percent,false,false,"selected(${grain_size}, 'boulder')",,
decimal,maximum_clast_size_cm,Maximum Clast Size (cm),false,false,${principal_siliciclastic_type} = 'conglomerate' or ${principal_siliciclastic_type} = 'breccia',,
decimal,minimum_clast_size_cm,Minimum Clast Size (cm),false,false,${principal_siliciclastic_type} = 'conglomerate' or ${principal_siliciclastic_type} = 'breccia',,
decimal,average_clast_size_cm,Average Clast Size (cm),false,false,${principal_siliciclastic_type} = 'conglomerate' or ${principal_siliciclastic_type} = 'breccia',,
select_multiple fz52a24,matrix_size,Matrix Size,false,false,${principal_siliciclastic_type} = 'conglomerate' or ${principal_siliciclastic_type} = 'breccia',,
select_multiple en1dw51,character,Character,false,false,${principal_siliciclastic_type} = 'conglomerate' or ${principal_siliciclastic_type} = 'breccia',,
select_multiple dx3pb08,bedding_grain_size_trends,Bedding grain size trends,false,false,,,
text,bedding_grain_size_trend_description,Bedding grain size trend description,false,false,,,
select_multiple ib39f35,package_grain_size_trends,Package grain size trends,false,false,,,
text,package_grain_size_trend_description,Package grain size trend description,false,false,,,
select_multiple dq8tl80,sorting,Sorting,false,false,,,
select_multiple tz12z20,shape,Shape,false,false,,,
select_multiple hs69g66,rounding,Rounding,false,false,,,
text,Notes,Notes,false,false,,,
end_group,,,,,,,
calculate,__version__,,false,false,,'vpSRWLYg7xtLSMswzEzCvi',
calculate,_version_,,,,,'vWCgLDWqvxGuMQsT9pMDP4',__version__
