name,type,label,hint,required,constraint,constraint_message,appearance,relevant,default
tabular_zone_strike,integer,Strike,Azimuth in degrees,false,. >= 0 and . <= 360,Strike must be between 0-360.,,,
tabular_zone_dip_dir,integer,Dip Direction,,false,. >= 0 and . <= 360,values must be between 0-360,,,
tabular_zone_dip,integer,Dip,,false,. >= 0 and . <= 90,values must be between 0-90,,,
tabular_zone_plane_facing,select_one to1en66,Feature Facing,,false,,,horizontal-compact,,
tabular_zone_plane_facing_def,select_one bl4bp16,Facing Direction Defined By,,false,,,,${tabular_zone_plane_facing} != '',
tabular_zone_other_facing,text,Other Facing Defined By,,true,,,,${tabular_zone_plane_facing_def} = 'other',
tabular_zone_plane_meas_qual,select_one xn9nf56,Tabular Feature Orientation Quality,How well was this plane measured?,false,,,likert,,
tabular_zone_tab_feature,select_one pr4xf92,Tabular Feature Type,,false,,,horizontal,,
tabular_zone_other_tab_feat,text,Other Tabular Feature,,true,,,,${tabular_zone_tab_feature} = 'other',
tabular_zone_strat_type,select_one kk7zi98,Stratigraphic Type,,false,,,,${tabular_zone_tab_feature} = 'stratigraphic',
tabular_zone_int_body_type,select_one ts5su86,Intrusive Body Type,,false,,,horizontal,${tabular_zone_tab_feature} = 'intrusive',
tabular_zone_other_int_body,text,Other Intrusive Body,,true,,,,${tabular_zone_int_body_type} = 'other',
tabular_zone_injection,select_one vc5ce46,Injection Structure Type,,false,,,,${tabular_zone_tab_feature} = 'injection',
tabular_zone_vein_type,select_one py8ss97,Vein Type,,false,,,horizontal,${tabular_zone_tab_feature} = 'vein',
tabular_zone_vein_fill,select_one pa42s24,Vein Mineral Fill,,false,,,horizontal-compact,${tabular_zone_tab_feature} = 'vein',
tabular_zone_other_vein_fill,text,Other Vein Mineral,,true,,,,${tabular_zone_vein_fill} = 'other',
tabular_zone_vein_array,select_one kl8yo32,Vein Array,,false,,,horizontal,${tabular_zone_tab_feature} = 'vein_array',
tabular_zone_other_vein_array,text,Other Vein Array,,true,,,,${tabular_zone_vein_array} = 'other',
tabular_zone_fracture_zone,select_one hy9rz06,Fracture Zone Type,,false,,,horizontal,${tabular_zone_tab_feature} = 'zone_fracturin',
tabular_zone_frac_zone_def_by,text,Fracture Zone Boundary Define By,,false,,,,${tabular_zone_tab_feature} = 'zone_fracturin',
tabular_zone_fault_or_sz,select_one kk9ik41,Fault Zone or Shear Zone Type,,false,,,horizontal,${tabular_zone_tab_feature} = 'zone_faulting' or ${tabular_zone_tab_feature} = 'shear_zone',not_specified
tabular_zone_other_fault_or_sz,text,Other Fault Zone or Shear Zone Type,,true,,,,${tabular_zone_fault_or_sz} = 'other',
tabular_zone_movement,select_one ia36i83,Movement,,false,,,horizontal,${tabular_zone_tab_feature} = 'zone_faulting' or ${tabular_zone_tab_feature} = 'shear_zone',
tabular_zone_other_movement,text,Other Movement,,true,,,,${tabular_zone_movement} = 'other',
tabular_zone_movement_just,select_multiple gq4wq38,Movement Justification,,false,,,horizontal,${tabular_zone_movement} != '',
tabular_zone_other_move_just,text,Other Movement Justification,,true,,,,"selected(${tabular_zone_movement_just}, 'other')",
tabular_zone_dir_ind,select_multiple tj67x48,Directional Indicators,,false,,,,${tabular_zone_tab_feature} = 'zone_faulting' or ${tabular_zone_tab_feature} = 'shear_zone',
tabular_zone_other_dir_ind,text,Other Directional Indicator,,true,,,,"selected(${tabular_zone_dir_ind}, 'other')",
tabular_zone_damage_zone,select_one se5kx99,Damage Zone Type,,false,,,,${tabular_zone_tab_feature} = 'damage_zone',
tabular_zone_damage_zone_def,text,Damage Zone defined by,,false,,,,${tabular_zone_damage_zone} = 'defined_by_other',
tabular_zone_alteration_zone,text,Alteration Zone Type,,false,,,,${tabular_zone_tab_feature} = 'alteration_zone',
tabular_zone_enveloping_surf,select_one pb5nf39,Enveloping Surface Features,,false,,,,${tabular_zone_tab_feature} = 'enveloping_surface',
tabular_zone_env_surf_geometry,select_one ni1sn96,Enveloping Surface Features Geometry,,false,,,,${tabular_zone_tab_feature} = 'enveloping_surface',
tabular_zone_other_surf_type,text,Other Surface Geometry Type,,false,,,,${tabular_zone_env_surf_geometry} = 'other',
tabular_zone_thickness,decimal,Tabular Feature Thickness (m),,false,,,,,
tabular_zone_tabularity,select_one sm74i02,Tabular Thickness Type/Tabularity,,false,,,,,
tabular_zone_length,decimal,Tabular Feature Length (m),,false,,,,,
tabular_zone_def_by,text,Tabular Feature Defined By,,false,,,,,
tabular_zone_notes,note,Tabular Feature Notes,,false,,,,,
tabular_zone_min_age,decimal,Minimum Age of Structure (Ma),,false,,,,,
tabular_zone_min_age_just,text,Justification of Minimum Age,,false,,,,${tabular_zone_min_age} != '',
tabular_zone_max_age,decimal,Maximum Age of Structure (Ma),,false,,,,,
tabular_zone_max_age_just,text,Justification of Maximum Age,,false,,,,${tabular_zone_max_age} != '',
tabular_zone_geo_age,text,Geologic Age of Structure,,false,,,,,
start,start,,,,,,,,
end,end,,,,,,,,
