type,name,label,hint,required,constraint_message,constraint,appearance,relevant,default,calculation
start,start,,,,,,,,,
end,end,,,,,,,,,
text,label,Label,If a label is not specified a default label will be given.,false,,,,,,
integer,strike,Strike,Azimuth in degrees,false,Value must be a whole number between 0-360.,. >= 0 and . <= 360,,,,
integer,dip_direction,Dip Direction,,false,Value must be a whole number between 0-360.,. >= 0 and . <= 360,,,,
integer,dip,Dip,,false,Value must be a whole number between 0-90.,. >= 0 and . <= 90,,,,
select_one xn9nf56,quality,Tabular Feature Orientation Quality,How well was this plane measured?,false,,,likert,,,
select_one pr4xf92,feature_type,Tabular Feature Type,,false,,,horizontal,,,
text,other_feature,Other Tabular Feature,,true,,,,${feature_type} = 'other',,
select_one to1en66,facing,Feature Facing,,false,,,horizontal-compact,${feature_type} = 'stratigraphic',,
select_one bl4bp16,facing_defined_by,Facing Direction Defined By,,false,,,,${facing} != '',,
text,other_facing_defined_by,Other Facing Defined By,,true,,,,${facing_defined_by} = 'other',,
select_one kk7zi98,strat_type,Stratigraphic Type,,false,,,,${feature_type} = 'stratigraphic',,
select_one ts5su86,intrusive_body_type,Intrusive Body Type,,false,,,horizontal,${feature_type} = 'intrusive',,
text,other_intrusive_body,Other Intrusive Body,,true,,,,${intrusive_body_type} = 'other',,
select_one vc5ce46,injection_type,Injection Structure Type,,false,,,,${feature_type} = 'injection',,
select_one py8ss97,vein_type,Vein Type,,false,,,horizontal,${feature_type} = 'vein',,
select_one pa42s24,vein_fill,Vein Mineral Fill,,false,,,horizontal-compact,${feature_type} = 'vein',,
text,other_vein_fill,Other Vein Mineral,,true,,,,${vein_fill} = 'other',,
select_one kl8yo32,vein_array,Vein Array,,false,,,horizontal,${feature_type} = 'vein_array',,
text,other_vein_array,Other Vein Array,,true,,,,${vein_array} = 'other',,
select_one hy9rz06,fracture_zone,Fracture Zone Type,,false,,,horizontal,${feature_type} = 'zone_fracturin',,
text,fracture_zone_def_by,Fracture Zone Boundary Define By,,false,,,,${feature_type} = 'zone_fracturin',,
select_one kk9ik41,fault_or_sz,Fault Zone or Shear Zone Type,,false,,,horizontal,${feature_type} = 'zone_faulting' or ${feature_type} = 'shear_zone',not_specified,
text,other_fault_or_sz,Other Fault Zone or Shear Zone Type,,true,,,,${fault_or_sz} = 'other',,
select_one ia36i83,movement,Movement,,false,,,horizontal,${feature_type} = 'zone_faulting' or ${feature_type} = 'shear_zone',,
text,other_movement,Other Movement,,true,,,,${movement} = 'other',,
select_multiple gq4wq38,movement_justification,Movement Justification,,false,,,horizontal,${movement} != '',,
text,other_movement_justification,Other Movement Justification,,true,,,,"selected(${movement_justification}, 'other')",,
select_multiple tj67x48,dir_indicators,Directional Indicators,,false,,,,${feature_type} = 'zone_faulting' or ${feature_type} = 'shear_zone',,
text,other_dir_indicators,Other Directional Indicator,,true,,,,"selected(${dir_indicators}, 'other')",,
select_one se5kx99,damage_zone,Damage Zone Type,,false,,,,${feature_type} = 'damage_zone',,
text,damage_zone_defined_by,Damage Zone defined by,,false,,,,${damage_zone} = 'defined_by_other',,
text,alteration_zone,Alteration Zone Type,,false,,,,${feature_type} = 'alteration_zone',,
select_one pb5nf39,enveloping_surface,Enveloping Surface Features,,false,,,,${feature_type} = 'enveloping_surface',,
select_one ni1sn96,enveloping_surface_geometry,Enveloping Surface Features Geometry,,false,,,,${feature_type} = 'enveloping_surface',,
text,other_surface_geometry,Other Surface Geometry Type,,false,,,,${enveloping_surface_geometry} = 'other',,
decimal,thickness,Tabular Feature Thickness (m),,false,Value must be greater than 0.,. > 0,,,,
select_one sm74i02,tabularity,Tabular Thickness Type/Tabularity,,false,,,,,,
decimal,length,Tabular Feature Length (m),,false,Value must be greater than 0.,. > 0,,,,
text,defined_by,Tabular Feature Defined By,,false,,,,,,
text,notes,Tabular Feature Notes,,false,,,multiline,,,
calculate,__version__,,,,,,,,,'vuBHFVf6aETUFbFSj4XmEB'
