list_name,name,label
vu34h42,ellipsoidal_data,ellipsoidal data
vu34h42,non_ellipsoidal_data,non-ellipsoidal data
vu34h42,elliptical_data,elliptical data
ellipsoid_type_g88VSB1bdWQ_,finite_strain,finite strain
ellipsoid_type_g88VSB1bdWQ_,shape_preferred_orientation,shape preferred orientation
ellipsoid_type_g88VSB1bdWQ_,anisotropy_of_magnetic_suspect,anisotropy of magnetic suspectibility
ellipsoid_type_g88VSB1bdWQ_,stress,stress
ellipsoid_type_g88VSB1bdWQ_,infinitesimal_strain,infinitesimal strain
ellipsoid_type_g88VSB1bdWQ_,other,other
ellipsoid_quality_gC8xoXKvpWA_,5___best,5 - best
ellipsoid_quality_gC8xoXKvpWA_,4,4
ellipsoid_quality_gC8xoXKvpWA_,3,3
ellipsoid_quality_gC8xoXKvpWA_,2,2
ellipsoid_quality_gC8xoXKvpWA_,1___worst,1 - worst
non_ellipsoidal_type_oc_HHFCS25E_,flow_apophyses,flow apophyses
non_ellipsoidal_type_oc_HHFCS25E_,displacements,displacements
non_ellipsoidal_type_oc_HHFCS25E_,other,other
nonellipsoidal_quality_of_meas_qO2zEvV3_Aw_,5___best,5 - best
nonellipsoidal_quality_of_meas_qO2zEvV3_Aw_,4,4
nonellipsoidal_quality_of_meas_qO2zEvV3_Aw_,3,3
nonellipsoidal_quality_of_meas_qO2zEvV3_Aw_,2,2
nonellipsoidal_quality_of_meas_qO2zEvV3_Aw_,1___worst,1 - worst
ellipse_type_Vmcq91PsyQo_,finite_strain,finite strain
ellipse_type_Vmcq91PsyQo_,preferred_shap,shape preferred orientation
ellipse_type_Vmcq91PsyQo_,other,other
elliptical_quality_T4gjnTMk9Fg_,accurate,accurate
elliptical_quality_T4gjnTMk9Fg_,approximate,approximate
elliptical_quality_T4gjnTMk9Fg_,irregular,irregular
elliptical_quality_of_measurem_JSy5jmE_mkI_,5___best,5 - best
elliptical_quality_of_measurem_JSy5jmE_mkI_,4,4
elliptical_quality_of_measurem_JSy5jmE_mkI_,3,3
elliptical_quality_of_measurem_JSy5jmE_mkI_,2,2
elliptical_quality_of_measurem_JSy5jmE_mkI_,1___worst,1 - worst
