list_name,name,label,order
wb5nf41,known,known,0
wb5nf41,approximate,approximate,1
wb5nf41,approximate(?),questionable approximate,2
wb5nf41,inferred,inferred,3
wb5nf41,inferred(?),questionable inferred,4
wb5nf41,concealed,concealed,5
wb5nf41,other,other,7
pl5yo85,contact,contact,0
pl5yo85,geologic_struc,geologic structure,1
pl5yo85,geomorphic_fea,geomorphic feature,2
pl5yo85,anthropenic_fe,anthropogenic feature,3
pl5yo85,scale_bar,scale bar,4
pl5yo85,geological_cross_section,geological cross section,5
pl5yo85,geophysical_cross_section,geophysical cross section,6
pl5yo85,stratigraphic_section,stratigraphic section,7
pl5yo85,other_feature,other feature,8
lx9ax28,depositional,depositional,0
lx9ax28,intrusive,intrusive,1
lx9ax28,metamorphic,metamorphic,2
lx9ax28,marker_layer,marker layer,3
lx9ax28,other,other,4
bi4sw60,stratigraphic,stratigraphic,0
bi4sw60,alluvial,alluvial,1
bi4sw60,unconformity,unconformity,2
bi4sw60,angular_unconf,angular unconformity,3
bi4sw60,disconformity,disconformity,4
bi4sw60,nonconformity,nonconformity,5
bi4sw60,volcanic,volcanic,6
bi4sw60,other,other,7
cj4zw02,dike,dike,0
cj4zw02,sill,sill,1
cj4zw02,pluton,pluton,2
cj4zw02,migmatite,migmatite,3
cj4zw02,injectite,injectite,4
cj4zw02,unknown,other,5
pb5wo52,btwn_2_dif_mm,between different metamorphic rocks,0
pb5wo52,isograd,isograd,2
pb5wo52,other,other,
iz4fr14,fault,fault,0
iz4fr14,shear_zone,shear zone,1
iz4fr14,deformation_zo,deformation zone,2
iz4fr14,fold_axial_tra,fold axial trace,3
iz4fr14,other_structur,other structural zone,4
os1df47,dextral,dextral strike-slip,1
os1df47,sinistral,sinistral strike-slip,2
os1df47,normal,normal,3
os1df47,low_angle_norm,low-angle normal,4
os1df47,reverse,reverse,5
os1df47,thrust,thrust,6
os1df47,dextral_reverse,dextral reverse,7
os1df47,dextral_normal,dextral normal,8
os1df47,sinistral_reverse,sinistral reverse,9
os1df47,sinistral_normal,sinistral normal,10
os1df47,high_angle,high-angle,
os1df47,other,other,
hz6ha86,deformation_ba,deformation band,
hz6ha86,fracture_zone,fracture zone,
hz6ha86,damage_zone,damage zone,
hz6ha86,alteration_zon,alteration zone,
hz6ha86,structural_dom,structural domain boundary,
hz6ha86,other,other,
wg6ry31,syncline,syncline,0
wg6ry31,anticline,anticline,1
wg6ry31,monocline,monocline,2
wg6ry31,antiformal_syn,antiformal syncline,3
wg6ry31,synformal_anti,synformal anticline,4
wg6ry31,synform,synform,5
wg6ry31,antiform,antiform,6
wg6ry31,s_fold,s-fold,7
wg6ry31,z_fold,z-fold,8
wg6ry31,m_fold,m-fold,9
wg6ry31,sheath,sheath,10
wg6ry31,ptygmatic,ptygmatic,11
wg6ry31,unknown,other,12
iq4bx64,plunging,plunging,0
iq4bx64,upright,upright,1
iq4bx64,overturned,overturned,2
iq4bx64,vertical,vertical,3
iq4bx64,unknown,unknown,4
iq4bx64,horizontal,horizontal,5
iq4bx64,recumbent,recumbent,6
iq4bx64,inclined,inclined,7
iq4bx64,reclined,reclined,8
iq4bx64,other,other,9
er5hu03,gulley,gulley,0
er5hu03,ridge,ridge,1
er5hu03,striation,striation,2
er5hu03,rill,rill,3
er5hu03,stream_bed,stream bed,4
er5hu03,shoreline_stra,shoreline/strandline,5
er5hu03,other,other,6
gw8je20,fence_line,fence line,0
gw8je20,property_line,property line,1
gw8je20,road,road,2
gw8je20,trail,trail,3
gw8je20,other,other,4
vt86z05,km,km,
vt86z05,m,m,
vt86z05,cm,cm,
vt86z05,mm,mm,
vt86z05,_m,um,
lh87q41,extent_of_mapp,extent of mapping,
lh87q41,extent_of_biol,extent of biological marker,
lh87q41,other,other,
rd1pp06,sharp,sharp,
rd1pp06,gradational,gradational,
rd1pp06,chilled,chilled,
rd1pp06,brecciated,brecciated,
rd1pp06,unknown,unknown,
rd1pp06,other,other,
